date_obj,Chinchompa price
2017-02-07,1068
2017-02-08,1068
2017-02-09,1068
2017-02-10,1033
2017-02-11,1033
2017-02-12,1033
2017-02-13,1033
2017-02-14,1033
2017-02-15,1033
2017-02-16,982
2017-02-18,982
2017-02-19,982
2017-02-20,982
2017-02-21,938
2017-02-22,938
2017-02-23,938
2017-02-24,938
2017-02-25,938
2017-02-26,938
2017-02-27,938
2017-02-28,937
2017-03-01,937
2017-03-02,937
2017-03-03,937
2017-03-04,937
2017-03-05,937
2017-03-06,951
2017-03-07,951
2017-03-08,951
2017-03-09,951
2017-03-10,951
2017-03-11,951
2017-03-12,949
2017-03-13,949
2017-03-14,949
2017-03-15,949
2017-03-16,949
2017-03-17,926
2017-03-18,926
2017-03-19,926
2017-03-20,926
2017-03-21,926
2017-03-22,894
2017-03-23,894
2017-03-24,894
2017-03-25,894
2017-03-26,894
2017-03-27,880
2017-03-28,880
2017-03-29,880
2017-03-30,880
2017-03-31,880
2017-04-01,891
2017-04-02,891
2017-04-03,891
2017-04-04,891
2017-04-12,953
2017-04-13,953
2017-04-14,953
2017-04-15,953
2017-04-16,936
2017-04-17,936
2017-04-18,936
2017-04-19,936
2017-04-20,936
2017-04-21,955
2017-04-22,955
2017-04-23,955
2017-04-24,955
2017-04-25,929
2017-04-26,929
2017-04-27,929
2017-04-28,929
2017-04-29,929
2017-04-30,953
2017-05-01,953
2017-05-02,953
2017-05-03,953
2017-05-04,953
2017-05-05,976
2017-05-06,976
2017-05-07,976
2017-05-08,976
2017-05-09,976
2017-05-10,976
2017-05-11,974
2017-05-12,974
2017-05-13,974
2017-05-14,974
2017-05-15,974
2017-05-16,947
2017-05-17,947
2017-05-18,947
2017-05-19,947
2017-05-20,947
2017-05-21,947
2017-05-22,954
2017-05-23,954
2017-05-24,954
2017-05-25,954
2017-05-26,954
2017-05-27,954
2017-05-28,936
2017-05-29,936
2017-05-30,936
2017-05-31,936
2017-06-01,936
2017-06-02,939
2017-06-03,939
2017-06-04,939
2017-06-05,939
2017-06-06,939
2017-06-07,957
2017-06-08,957
2017-06-09,957
2017-06-10,957
2017-06-11,929
2017-06-12,929
2017-06-13,929
2017-06-14,929
2017-06-15,929
2017-06-16,891
2017-06-17,891
2017-06-18,891
2017-06-19,891
2017-06-20,891
2017-06-21,924
2017-06-22,924
2017-06-23,924
2017-06-24,924
2017-06-25,924
2017-06-26,924
2017-06-27,962
2017-06-28,962
2017-06-29,962
2017-06-30,962
2017-07-01,962
2017-07-02,962
2017-07-03,949
2017-07-04,949
2017-07-05,949
2017-07-06,949
2017-07-07,949
2017-07-08,949
2017-07-13,903
2017-07-14,874
2017-07-15,874
2017-07-16,874
2017-07-17,874
2017-07-18,874
2017-07-19,874
2017-07-20,884
2017-07-21,884
2017-07-22,884
2017-07-23,884
2017-07-24,884
2017-07-25,884
2017-07-26,929
2017-07-27,929
2017-07-28,929
2017-07-29,929
2017-07-30,929
2017-07-31,954
2017-08-01,954
2017-08-02,954
2017-08-03,954
2017-08-04,954
2017-08-05,1002
2017-08-06,1002
2017-08-09,1002
2017-08-10,1051
2017-08-11,1051
2017-08-12,1051
2017-08-13,1051
2017-08-14,1051
2017-08-15,1067
2017-08-16,1067
2017-08-17,1067
2017-08-18,1067
2017-08-19,1067
2017-08-20,1119
2017-08-21,1119
2017-08-22,1119
2017-08-23,1119
2017-08-24,1119
2017-08-25,1119
2017-08-26,1169
2017-08-27,1169
2017-08-28,1169
2017-08-29,1169
2017-08-30,1169
2017-08-31,1169
2017-09-01,1222
2017-09-02,1222
2017-09-03,1222
2017-09-04,1222
2017-09-05,1222
2017-09-06,1209
2017-09-07,1209
2017-09-08,1209
2017-09-09,1209
2017-09-10,1209
2017-09-11,1160
2017-09-12,1160
2017-09-13,1160
2017-09-14,1160
2017-09-15,1160
2017-09-16,1160
2017-09-17,1136
2017-09-18,1136
2017-09-19,1136
2017-09-20,1136
2017-09-21,1136
2017-09-22,1136
2017-09-23,1087
2017-09-24,1087
2017-09-25,1087
2017-09-26,1087
2017-09-27,1087
2017-09-28,1087
2017-09-29,1048
2017-09-30,1048
2017-10-01,1048
2017-10-02,1048
2017-10-03,1048
2017-10-04,1048
2017-10-05,1048
2017-10-06,1028
2017-10-07,1028
2017-10-08,1028
2017-10-09,1028
2017-10-10,1028
2017-10-11,1028
2017-10-12,1014
2017-10-13,1014
2017-10-14,1014
2017-10-15,1014
2017-10-16,1014
2017-10-17,1014
2017-10-18,1014
2017-10-19,1014
2017-10-20,1014
2017-10-21,1014
2017-10-22,1014
2017-10-23,1014
2017-10-24,1055
2017-10-25,1055
2017-10-26,1055
2017-10-27,1055
2017-10-28,1055
2017-10-29,1014
2017-10-30,1014
2017-10-31,1014
2017-11-01,1014
2017-11-02,1014
2017-11-03,1014
2017-11-04,1018
2017-11-05,1018
2017-11-06,1018
2017-11-07,1018
2017-11-08,1018
2017-11-09,1018
2017-11-10,1051
2017-11-11,1051
2017-11-12,1051
2017-11-13,1051
2017-11-14,1051
2017-11-15,1051
2017-11-16,1004
2017-11-17,1004
2017-11-18,1004
2017-11-19,1004
2017-11-20,1004
2017-11-21,982
2017-11-22,982
2017-11-23,982
2017-11-24,982
2017-11-25,982
2017-11-26,982
2017-11-27,986
2017-11-28,986
2017-11-29,986
2017-11-30,986
2017-12-01,986
2017-12-02,986
2017-12-03,1011
2017-12-04,1011
2017-12-05,1011
2017-12-06,1011
2017-12-07,1011
2017-12-08,1011
2017-12-09,962
2017-12-10,962
2017-12-11,962
2017-12-12,962
2017-12-13,962
2017-12-14,939
2017-12-15,939
2017-12-16,939
2017-12-17,939
2017-12-18,939
2017-12-19,957
2017-12-20,957
2017-12-21,957
2017-12-22,957
2017-12-23,957
2017-12-24,939
2017-12-25,939
2017-12-26,939
2017-12-27,939
2017-12-28,939
2017-12-29,908
2017-12-30,908
2017-12-31,908
2018-01-01,908
2018-01-02,908
2018-01-03,920
2018-01-04,920
2018-01-05,920
2018-01-06,920
2018-01-07,940
2018-01-08,940
2018-01-09,940
2018-01-10,940
2018-01-11,940
2018-01-12,953
2018-01-13,953
2018-01-14,953
2018-01-15,953
2018-01-16,983
2018-01-17,983
2018-01-18,983
2018-01-19,983
2018-01-20,983
2018-01-21,988
2018-01-22,988
2018-01-23,988
2018-01-24,974
2018-01-25,974
2018-01-26,974
2018-01-27,974
2018-01-28,954
2018-01-29,954
2018-01-30,954
2018-01-31,954
2018-02-01,949
2018-02-02,949
2018-02-03,949
