date_obj,Cowhide price
2018-10-27,148
2018-10-28,149
2018-10-29,149
2018-10-30,145
2018-10-31,143
2018-11-01,137
2018-11-03,128
2018-11-04,122
2018-11-05,116
2018-11-06,111
2018-11-07,105
2018-11-08,100
2018-11-09,95
2018-11-10,94
2018-11-11,95
2018-11-12,98
2018-11-13,101
2018-11-14,102
2018-11-15,102
2018-11-16,102
2018-11-17,101
2018-11-18,98
2018-11-19,95
2018-11-20,96
2018-11-21,95
2018-11-22,95
2018-11-23,97
2018-11-24,99
2018-11-25,103
2018-11-26,104
2018-11-27,104
2018-11-28,104
2018-11-29,106
2018-12-01,108
2018-12-02,107
2018-12-03,110
2018-12-04,110
2018-12-05,112
2018-12-07,111
2018-12-09,108
2018-12-10,107
2018-12-11,111
2018-12-12,112
2018-12-13,111
2018-12-14,110
2018-12-15,109
2018-12-16,105
2018-12-17,101
2018-12-18,98
2018-12-19,98
2018-12-20,97
2018-12-21,97
2018-12-22,97
2018-12-23,95
2018-12-24,93
2018-12-25,92
2018-12-26,93
2018-12-27,94
2018-12-28,95
2018-12-29,94
2018-12-30,93
2018-12-31,92
2019-01-01,92
2019-01-02,94
2019-01-03,94
2019-01-04,94
2019-01-05,96
2019-01-06,100
2019-01-08,105
2019-01-10,103
2019-01-11,105
2019-01-12,108
2019-01-13,111
2019-01-14,111
2019-01-15,110
2019-01-16,111
2019-01-17,114
2019-01-18,117
2019-01-19,121
2019-01-20,123
2019-01-21,123
2019-01-22,125
2019-01-23,126
2019-01-24,126
2019-01-25,121
2019-01-26,117
2019-01-27,118
2019-01-28,119
2019-01-29,118
2019-01-30,121
2019-01-31,123
2019-02-01,123
2019-02-02,121
2019-02-03,118
2019-02-04,117
2019-02-05,118
2019-02-06,117
2019-02-07,116
2019-02-08,118
2019-02-09,118
2019-02-10,117
2019-02-11,118
2019-02-12,117
2019-02-13,117
2019-02-14,121
2019-02-15,123
2019-02-16,122
2019-02-17,120
2019-02-18,115
2019-02-19,116
2019-02-20,116
2019-02-21,118
2019-02-22,118
2019-02-23,116
2019-02-24,113
2019-02-25,113
2019-02-26,115
2019-02-27,119
2019-02-28,124
2019-03-01,126
2019-03-02,123
2019-03-03,120
2019-03-04,120
2019-03-05,119
2019-03-06,119
2019-03-07,125
2019-03-08,127
2019-03-09,123
2019-03-10,126
2019-03-11,129
2019-03-12,133
2019-03-13,136
2019-03-14,139
2019-03-15,134
2019-03-16,131
2019-03-17,128
2019-03-18,125
2019-03-19,126
2019-03-20,129
2019-03-21,132
2019-03-22,137
2019-03-23,137
2019-03-24,138
2019-03-25,140
2019-03-26,141
2019-03-27,149
2019-03-28,151
2019-03-29,149
2019-03-30,149
2019-03-31,146
2019-04-01,140
2019-04-02,141
2019-04-03,139
2019-04-04,144
2019-04-05,143
2019-04-06,147
2019-04-07,145
2019-04-08,145
2019-04-09,147
2019-04-10,147
2019-04-11,148
2019-04-12,149
2019-04-13,145
2019-04-14,145
2019-04-15,152
2019-04-16,154
2019-04-17,155
2019-04-18,159
2019-04-19,162
2019-04-20,164
2019-04-21,162
2019-04-22,162
2019-04-23,162
2019-04-24,165
2019-04-25,163
2019-04-26,158
2019-04-27,153
2019-04-28,149
2019-04-29,146
2019-04-30,148
2019-05-01,153
2019-05-02,159
2019-05-03,161
2019-05-04,165
2019-05-05,167
2019-05-06,165
2019-05-07,164
2019-05-08,166
2019-05-09,167
2019-05-10,170
2019-05-11,171
2019-05-12,166
2019-05-13,159
2019-05-14,158
2019-05-15,158
2019-05-16,159
2019-05-17,158
2019-05-18,156
2019-05-19,155
2019-05-20,156
2019-05-21,158
2019-05-22,158
2019-05-23,156
2019-05-24,151
2019-05-25,150
2019-05-26,151
2019-05-27,150
2019-05-28,150
2019-05-29,151
2019-05-30,151
2019-05-31,153
2019-06-01,153
2019-06-02,153
2019-06-03,151
2019-06-04,149
2019-06-05,146
2019-06-06,141
2019-06-07,138
2019-06-08,140
2019-06-09,141
2019-06-10,145
2019-06-11,145
2019-06-12,148
2019-06-13,147
2019-06-14,148
2019-06-15,154
2019-06-16,151
2019-06-17,147
2019-06-18,150
2019-06-19,146
2019-06-20,146
2019-06-21,146
2019-06-22,145
2019-06-23,147
2019-06-24,145
2019-06-25,145
2019-06-26,147
2019-06-27,144
2019-06-28,138
2019-06-29,134
2019-06-30,131
2019-07-01,134
2019-07-02,134
2019-07-03,136
2019-07-04,137
2019-07-05,134
2019-07-06,134
2019-07-07,137
2019-07-08,139
2019-07-09,140
2019-07-10,143
2019-07-11,140
2019-07-12,139
2019-07-13,144
2019-07-14,141
2019-07-15,143
2019-07-16,144
2019-07-17,145
2019-07-18,146
2019-07-19,143
2019-07-20,142
2019-07-21,141
2019-07-22,141
2019-07-23,136
2019-07-24,134
2019-07-25,135
2019-07-26,132
2019-07-27,129
2019-07-28,128
2019-07-29,124
2019-07-30,123
2019-07-31,126
2019-08-01,126
2019-08-02,122
2019-08-03,117
2019-08-04,115
2019-08-05,110
2019-08-06,108
2019-08-07,111
2019-08-08,115
2019-08-09,117
2019-08-10,118
2019-08-11,119
2019-08-12,118
2019-08-13,114
2019-08-14,109
2019-08-15,104
2019-08-16,104
2019-08-17,107
2019-08-18,108
2019-08-19,106
2019-08-20,104
2019-08-21,103
2019-08-22,98
2019-08-23,99
2019-08-24,99
2019-08-24,99
2019-08-25,99
2019-08-25,99
2019-08-26,99
2019-08-26,99
