date_obj,Bones%20to%20peaches%20(tablet) price
2017-04-22,1038
2017-04-23,1038
2017-04-24,1023
2017-04-25,1000
2017-04-26,1000
2017-04-27,1001
2017-04-28,1001
2017-04-29,1012
2017-04-30,1012
2017-05-01,1009
2017-05-02,1009
2017-05-03,1007
2017-05-04,1004
2017-05-05,1004
2017-05-06,1001
2017-05-07,1001
2017-05-08,1025
2017-05-09,1037
2017-05-10,1037
2017-05-11,1034
2017-05-12,1028
2017-05-13,1028
2017-05-14,1028
2017-05-15,1001
2017-05-16,1001
2017-05-17,988
2017-05-18,990
2017-05-19,990
2017-05-20,996
2017-05-21,996
2017-05-22,996
2017-05-23,996
2017-05-24,961
2017-05-25,961
2017-05-26,920
2017-05-27,906
2017-05-28,906
2017-05-29,926
2017-05-30,926
2017-05-31,919
2017-06-01,919
2017-06-02,909
2017-06-03,909
2017-06-04,880
2017-06-05,880
2017-06-06,875
2017-06-07,875
2017-06-08,878
2017-06-09,878
2017-06-10,861
2017-06-11,836
2017-06-12,836
2017-06-13,795
2017-06-14,795
2017-06-15,786
2017-06-16,786
2017-06-17,821
2017-06-18,862
2017-06-19,862
2017-06-20,856
2017-06-21,856
2017-06-22,838
2017-06-23,838
2017-06-24,811
2017-06-25,811
2017-06-26,840
2017-06-27,840
2017-06-28,868
2017-06-29,862
2017-06-30,862
2017-07-01,872
2017-07-02,872
2017-07-03,912
2017-07-04,912
2017-07-05,952
2017-07-06,952
2017-07-07,951
2017-07-08,951
2017-07-13,841
2017-07-14,874
2017-07-15,874
2017-07-16,915
2017-07-17,952
2017-07-18,952
2017-07-19,967
2017-07-20,967
2017-07-21,979
2017-07-22,979
2017-07-23,970
2017-07-24,970
2017-07-25,922
2017-07-26,922
2017-07-27,881
2017-07-28,881
2017-07-29,877
2017-07-30,877
2017-07-31,877
2017-08-01,884
2017-08-02,880
2017-08-03,880
2017-08-04,896
2017-08-05,933
2017-08-06,933
2017-08-09,959
2017-08-10,947
2017-08-11,947
2017-08-12,937
2017-08-13,937
2017-08-14,960
2017-08-15,960
2017-08-16,940
2017-08-17,960
2017-08-18,960
2017-08-19,973
2017-08-20,956
2017-08-21,956
2017-08-22,927
2017-08-23,927
2017-08-24,921
2017-08-25,921
2017-08-26,893
2017-08-27,893
2017-08-28,868
2017-08-29,868
2017-08-30,847
2017-08-31,847
2017-09-01,807
2017-09-02,818
2017-09-03,818
2017-09-04,850
2017-09-05,860
2017-09-06,860
2017-09-07,833
2017-09-08,833
2017-09-09,861
2017-09-10,861
2017-09-11,899
2017-09-12,899
2017-09-13,932
2017-09-14,943
2017-09-15,943
2017-09-16,977
2017-09-17,987
2017-09-18,987
2017-09-19,970
2017-09-20,950
2017-09-22,922
2017-09-23,922
2017-09-24,919
2017-09-25,919
2017-09-26,880
2017-09-27,880
2017-09-28,849
2017-09-29,849
2017-09-30,838
2017-10-01,838
2017-10-02,802
2017-10-03,802
2017-10-04,770
2017-10-05,770
2017-10-06,786
