date_obj,Tooth%20half%20of%20key price
2019-04-07,9958
2019-04-08,10332
2019-04-09,10758
2019-04-10,11069
2019-04-11,10731
2019-04-12,10628
2019-04-13,10556
2019-04-14,10187
2019-04-15,9864
2019-04-16,9693
2019-04-17,9385
2019-04-18,9205
2019-04-19,8969
2019-04-20,8832
2019-04-21,9055
2019-04-22,8797
2019-04-23,8869
2019-04-24,9174
2019-04-25,9310
2019-04-26,9335
2019-04-27,9483
2019-04-28,9485
2019-04-29,9406
2019-04-30,9393
2019-05-01,9454
2019-05-02,9471
2019-05-03,9755
2019-05-04,9789
2019-05-05,9779
2019-05-06,10033
2019-05-07,10106
2019-05-08,10114
2019-05-09,10120
2019-05-10,10510
2019-05-11,10958
2019-05-12,10860
2019-05-13,10995
2019-05-14,11076
2019-05-15,11190
2019-05-16,11104
2019-05-17,11073
2019-05-18,11063
2019-05-19,11091
2019-05-20,11442
2019-05-21,11882
2019-05-22,11794
2019-05-23,11708
2019-05-24,11885
2019-05-25,11798
2019-05-26,11693
2019-05-27,11300
2019-05-28,11418
2019-05-29,11397
2019-05-30,11429
2019-05-31,11270
2019-06-01,11226
2019-06-02,11055
2019-06-03,10729
2019-06-04,10567
2019-06-05,10287
2019-06-06,10455
2019-06-07,10400
2019-06-08,10402
2019-06-09,10255
2019-06-10,10495
2019-06-11,10870
2019-06-12,10950
2019-06-13,10968
2019-06-14,10865
2019-06-15,10413
2019-06-16,10428
2019-06-17,10291
2019-06-18,10198
2019-06-19,10531
2019-06-20,10371
2019-06-21,10458
2019-06-22,10564
2019-06-23,10686
2019-06-24,10567
2019-06-25,10574
2019-06-26,10628
2019-06-27,10453
2019-06-28,10283
2019-06-29,10261
2019-06-30,10703
2019-07-01,10959
2019-07-02,10988
2019-07-03,10984
2019-07-04,11100
2019-07-05,10775
2019-07-06,10661
2019-07-07,10766
2019-07-08,10738
2019-07-09,10821
2019-07-10,10720
2019-07-11,10896
2019-07-12,11007
2019-07-13,10912
2019-07-14,11042
2019-07-15,11144
2019-07-16,11223
2019-07-17,11668
2019-07-18,11874
2019-07-19,11591
2019-07-20,11417
2019-07-21,11577
2019-07-22,11121
2019-07-23,11418
2019-07-24,11989
2019-07-25,11745
2019-07-26,11157
2019-07-27,10612
2019-07-28,10349
2019-07-29,9859
2019-07-30,9835
2019-07-31,9818
2019-08-01,9720
2019-08-02,9550
2019-08-03,9236
2019-08-04,9125
2019-08-05,8936
2019-08-06,8739
2019-08-07,9156
2019-08-08,9437
2019-08-09,9252
2019-08-10,9553
2019-08-11,9749
2019-08-12,9560
2019-08-13,9456
2019-08-14,9385
2019-08-15,9477
2019-08-16,9688
2019-08-17,9727
2019-08-18,9760
2019-08-19,9737
2019-08-20,9709
2019-08-21,9686
2019-08-22,9263
2019-08-23,9246
2019-08-24,9565
2019-08-24,9565
2019-08-25,9582
2019-08-25,9582
2019-08-26,9734
2019-08-26,9734
2019-08-27,9575
2019-08-27,9575
2019-08-28,9580
2019-08-29,9695
2019-08-30,9757
2019-08-31,9976
2019-09-01,9930
2019-09-02,9662
2019-09-03,9861
2019-09-04,9973
2019-09-05,10088
2019-09-06,10083
2019-09-07,9947
2019-09-08,9466
2019-09-09,9324
2019-09-10,9506
2019-09-11,9868
2019-09-12,10170
2019-09-13,10182
2019-09-14,10236
2019-09-15,10065
2019-09-16,10179
2019-09-17,10206
2019-09-18,10225
2019-09-19,10288
2019-09-20,10084
2019-09-21,9863
2019-09-22,9669
2019-09-23,9730
2019-09-24,9823
2019-09-25,9970
2019-09-26,10020
2019-09-27,10102
2019-09-28,9943
2019-09-29,9550
2019-09-30,9712
2019-10-01,9896
2019-10-02,9794
2019-10-03,9818
2019-10-04,9668
2019-10-05,9727
2019-10-06,9627
2019-10-07,9635
2019-10-08,9703
2019-10-09,9843
2019-10-10,9787
2019-10-11,9724
2019-10-12,9427
2019-10-13,9432
2019-10-14,9740
2019-10-15,9630
2019-10-16,9645
2019-10-17,9288
2019-10-18,9021
2019-10-19,9085
2019-10-20,9241
2019-10-21,9244
2019-10-22,9166
2019-10-23,9247
2019-10-24,9319
2019-10-25,9443
2019-10-26,9622
2019-10-27,9794
2019-10-28,9978
2019-10-29,10026
2019-10-30,9721
2019-10-31,9645
2019-11-01,9497
2019-11-02,9719
2019-11-03,9797
2019-11-04,9595
2019-11-05,9491
2019-11-06,9222
2019-11-07,9224
2019-11-08,9587
2019-11-09,9382
2019-11-10,9398
2019-11-11,9713
2019-11-12,9941
2019-11-13,10112
2019-11-14,9861
2019-11-15,9849
2019-11-16,9680
2019-11-17,9839
2019-11-18,9740
2019-11-19,9770
2019-11-20,9792
2019-11-21,9615
2019-11-22,9772
2019-11-23,9698
2019-11-24,9908
2019-11-25,9902
2019-11-26,9969
2019-11-27,10052
2019-11-28,9833
2019-11-29,9948
2019-11-30,9775
2019-12-01,9487
2019-12-02,9886
2019-12-03,9827
2019-12-04,9559
2019-12-05,9590
2019-12-06,9654
2019-12-07,9577
2019-12-08,9455
2019-12-09,9595
2019-12-10,9620
2019-12-11,9534
2019-12-12,9661
2019-12-13,9745
2019-12-14,9841
2019-12-15,9743
2019-12-16,9731
2019-12-17,9807
2019-12-18,9729
2019-12-19,9818
2019-12-20,9853
2019-12-21,9852
2019-12-22,9764
2019-12-23,9679
2019-12-24,9660
2019-12-25,9562
2019-12-26,9426
2019-12-27,9672
2019-12-28,9814
2019-12-29,9779
2019-12-30,9769
2019-12-31,9767
2020-01-01,9786
2020-01-02,9840
2020-01-03,9865
2020-01-04,9740
2020-01-05,9805
2020-01-06,9768
2020-01-07,9700
2020-01-08,9613
2020-01-09,9916
2020-01-10,10118
2020-01-11,10152
2020-01-12,10032
2020-01-13,9998
2020-01-14,10006
2020-01-15,10033
2020-01-16,10058
2020-01-17,10166
2020-01-18,10280
2020-01-19,10248
2020-01-20,9984
2020-01-21,9746
2020-01-22,9980
2020-01-23,10088
2020-01-24,10187
2020-01-25,10133
2020-01-26,9911
2020-01-27,9737
2020-01-28,9915
2020-01-29,9882
2020-01-30,9982
2020-01-31,10079
2020-02-01,9941
2020-02-02,10019
2020-02-03,10094
2020-02-04,10150
2020-02-05,10127
2020-02-06,9833
2020-02-07,9631
2020-02-08,9292
2020-02-09,9447
2020-02-10,9646
2020-02-11,9644
2020-02-12,9666
2020-02-13,9768
2020-02-14,9809
2020-02-15,9784
2020-02-16,9768
2020-02-17,9750
2020-02-18,9767
2020-02-19,9748
2020-02-20,9737
2020-02-21,9756
2020-02-22,9757
2020-02-23,9651
2020-02-24,9621
2020-02-25,9917
2020-02-26,9747
2020-02-27,9805
2020-02-28,9788
2020-02-29,9619
2020-03-01,9648
2020-03-02,9723
2020-03-03,9749
2020-03-04,9714
2020-03-05,9759
2020-03-06,9602
2020-03-07,9708
2020-03-08,9725
2020-03-09,9732
2020-03-10,9739
2020-03-11,9797
2020-03-12,9666
2020-03-13,9783
2020-03-14,9603
2020-03-15,9732
2020-03-16,9695
2020-03-17,9747
2020-03-18,9706
2020-03-19,9414
2020-03-20,9581
2020-03-21,9714
2020-03-22,9568
2020-03-23,9552
2020-03-24,9676
2020-03-25,9625
2020-03-26,9706
2020-03-27,9830
2020-03-28,9930
2020-03-29,10040
2020-03-30,10039
2020-03-31,10067
2020-04-01,10045
2020-04-02,9662
2020-04-03,9414
2020-04-04,9529
2020-04-05,9676
2020-04-06,10025
2020-04-07,10284
2020-04-08,10232
2020-04-09,10222
2020-04-10,10337
2020-04-11,10155
2020-04-12,10003
2020-04-13,9728
2020-04-14,10027
2020-04-15,10446
2020-04-16,10499
2020-04-17,10695
2020-04-18,10285
2020-04-19,10260
2020-04-20,10559
2020-04-21,10874
2020-04-22,10761
2020-04-23,10548
2020-04-24,10469
2020-04-25,10492
2020-04-26,10148
2020-04-27,10276
2020-04-28,10299
2020-04-29,10490
2020-04-30,10781
2020-05-01,10618
2020-05-02,10701
2020-05-03,10586
2020-05-04,10714
2020-05-05,10636
2020-05-06,10677
2020-05-07,10904
2020-05-08,10655
2020-05-09,10286
2020-05-10,10229
2020-05-11,10551
2020-05-12,10525
2020-05-13,10886
