date_obj,Sapphire%20dragon%20bolts%20(e) price
2019-11-26,876
2019-11-27,876
2019-11-28,876
2019-11-29,876
2019-11-30,851
2019-12-01,851
2019-12-02,851
2019-12-03,836
2019-12-04,836
2019-12-05,836
2019-12-06,836
2019-12-07,800
2019-12-08,800
2019-12-09,800
2019-12-10,800
2019-12-11,781
2019-12-12,781
2019-12-13,781
2019-12-14,781
2019-12-15,802
2019-12-16,802
2019-12-17,802
2019-12-18,802
2019-12-19,802
2019-12-20,819
2019-12-21,819
2019-12-22,819
2019-12-23,819
2019-12-24,819
2019-12-25,811
2019-12-26,811
2019-12-27,811
2019-12-28,811
2019-12-29,811
2019-12-30,797
2019-12-31,797
2020-01-01,797
2020-01-02,829
2020-01-03,829
2020-01-04,829
2020-01-05,829
2020-01-06,831
2020-01-07,831
2020-01-08,831
2020-01-09,855
2020-01-10,855
2020-01-11,855
2020-01-12,830
2020-01-13,830
2020-01-14,830
2020-01-15,830
2020-01-16,854
2020-01-17,854
2020-01-18,854
2020-01-19,854
2020-01-20,891
2020-01-21,891
2020-01-22,891
2020-01-23,891
2020-01-24,891
2020-01-25,891
2020-01-26,903
2020-01-27,903
2020-01-28,903
2020-01-29,903
2020-01-30,889
2020-01-31,889
2020-02-01,889
2020-02-02,889
2020-02-03,915
2020-02-04,915
2020-02-05,915
2020-02-06,915
2020-02-07,915
2020-02-08,949
2020-02-09,949
2020-02-10,949
2020-02-11,949
2020-02-12,906
2020-02-13,906
2020-02-14,906
2020-02-15,906
2020-02-16,907
2020-02-17,907
2020-02-18,907
2020-02-19,907
2020-02-20,896
2020-02-21,896
2020-02-22,896
2020-02-23,896
2020-02-24,896
2020-02-25,914
2020-02-26,914
2020-02-27,914
2020-02-28,914
2020-02-29,953
2020-03-01,953
2020-03-02,953
2020-03-03,953
2020-03-04,953
2020-03-05,1001
2020-03-06,1001
2020-03-07,1001
2020-03-08,1001
2020-03-09,1001
2020-03-10,1003
2020-03-11,1003
2020-03-12,1003
2020-03-13,1003
2020-03-14,1003
2020-03-15,1009
2020-03-16,1009
2020-03-17,1009
2020-03-18,1009
2020-03-19,966
2020-03-20,966
2020-03-21,966
2020-03-22,952
2020-03-23,952
2020-03-24,952
2020-03-25,978
2020-03-26,978
2020-03-27,978
2020-03-28,978
2020-03-29,982
2020-03-30,982
2020-03-31,982
2020-04-01,982
2020-04-02,951
2020-04-03,951
2020-04-04,951
2020-04-05,951
2020-04-06,933
