date_obj,White%20berries price
2017-02-03,775
2017-02-04,740
2017-02-05,703
2017-02-06,669
2017-02-07,644
2017-02-08,620
2017-02-09,620
2017-02-10,600
2017-02-11,596
2017-02-12,623
2017-02-13,648
2017-02-14,648
2017-02-15,624
2017-02-16,598
2017-02-18,612
2017-02-19,631
2017-02-20,654
2017-02-21,687
2017-02-22,722
2017-02-23,754
2017-02-24,762
2017-02-25,740
2017-02-26,721
2017-02-27,757
2017-02-28,787
2017-03-01,803
2017-03-02,824
2017-03-03,810
2017-03-04,809
2017-03-05,808
2017-03-06,824
2017-03-07,831
2017-03-08,823
2017-03-09,836
2017-03-10,816
2017-03-11,803
2017-03-12,811
2017-03-13,826
2017-03-14,826
2017-03-15,850
2017-03-16,893
2017-03-17,937
2017-03-18,936
2017-03-19,982
2017-03-20,1032
2017-03-21,1082
2017-03-22,1097
2017-03-23,1113
2017-03-24,1151
2017-03-25,1208
2017-03-26,1251
2017-03-27,1292
2017-03-28,1285
2017-03-29,1271
2017-03-30,1278
2017-03-31,1245
2017-04-01,1260
2017-04-02,1232
2017-04-03,1275
2017-04-04,1304
2017-04-12,1317
2017-04-13,1373
2017-04-14,1442
2017-04-15,1432
2017-04-16,1464
2017-04-17,1497
2017-04-18,1515
2017-04-19,1489
2017-04-20,1423
2017-04-21,1387
2017-04-22,1424
2017-04-23,1415
2017-04-24,1365
2017-04-25,1318
2017-04-26,1326
2017-04-27,1376
2017-04-28,1424
2017-04-29,1424
2017-04-30,1360
2017-05-01,1333
2017-05-02,1352
2017-05-03,1396
2017-05-04,1380
2017-05-05,1350
2017-05-06,1297
2017-05-07,1278
2017-05-08,1301
2017-05-09,1313
2017-05-10,1347
2017-05-11,1318
2017-05-12,1273
2017-05-13,1237
2017-05-14,1261
2017-05-15,1291
2017-05-16,1312
2017-05-17,1291
2017-05-18,1252
2017-05-19,1216
2017-05-20,1192
2017-05-21,1192
2017-05-22,1207
2017-05-23,1194
2017-05-24,1152
2017-05-25,1159
2017-05-26,1208
2017-05-27,1195
2017-05-28,1149
2017-05-29,1112
2017-05-30,1119
2017-05-31,1121
2017-06-01,1070
2017-06-02,1088
2017-06-03,1143
2017-06-06,1032
2017-06-07,1040
2017-06-08,1022
2017-06-09,1004
2017-06-10,975
2017-06-11,945
2017-06-12,919
2017-06-13,917
2017-06-14,963
