date_obj,Black%20elegant%20legs price
2017-01-31,31761
2017-02-01,31944
2017-02-02,31944
2017-02-03,31246
2017-02-04,31869
2017-02-05,31869
2017-02-06,32030
2017-02-07,32030
2017-02-08,31199
2017-02-09,31199
2017-02-10,30866
2017-02-11,30384
2017-02-12,30384
2017-02-13,30497
2017-02-14,30497
2017-02-15,30841
2017-02-16,30883
2017-02-18,30863
2017-02-19,30381
2017-02-20,30381
2017-02-21,29838
2017-02-22,29838
2017-02-23,28888
2017-02-24,28888
2017-02-25,27935
2017-02-26,27935
2017-02-27,27381
2017-02-28,27039
2017-03-01,26499
2017-03-02,26499
2017-03-03,25853
2017-03-04,24906
2017-03-05,24906
2017-03-06,24607
2017-03-07,24700
2017-03-08,24700
2017-03-09,23757
2017-03-10,23345
2017-03-11,22739
2017-03-12,22739
2017-03-13,22554
2017-03-14,21887
2017-03-15,22357
2017-03-16,22357
2017-03-17,22277
2017-03-18,22277
2017-03-19,22295
2017-03-20,22136
2017-03-21,21628
2017-03-22,21628
2017-03-23,20734
2017-03-24,20734
2017-03-25,20130
2017-03-26,19721
2017-03-27,19721
2017-03-28,19445
2017-03-29,19027
2017-03-30,19027
2017-03-31,18476
2017-04-01,18476
2017-04-02,18221
2017-04-03,18037
2017-04-04,18037
2017-04-12,17118
2017-04-13,16945
2017-04-14,16945
2017-04-15,16540
2017-04-16,16442
2017-04-17,16283
2017-04-18,16283
2017-04-19,16017
2017-04-20,16017
2017-04-21,15616
2017-04-22,15616
2017-04-23,15286
2017-04-24,15090
2017-04-25,14904
2017-04-26,14904
2017-04-27,14580
2017-04-28,14580
2017-04-29,14341
2017-04-30,14341
2017-05-01,14120
2017-05-02,14302
2017-05-03,14302
2017-05-04,14360
2017-05-05,14360
2017-05-06,14417
2017-05-07,14417
2017-05-08,14178
2017-05-09,13884
2017-05-10,13884
2017-05-11,13676
2017-05-12,13561
2017-05-13,13485
2017-05-14,13485
2017-05-15,13373
2017-05-16,13450
2017-05-17,13450
2017-05-18,13517
2017-05-19,13517
2017-05-20,13506
2017-05-21,13506
2017-05-22,12883
2017-05-23,12883
2017-05-24,12588
2017-05-25,12588
2017-05-26,12424
2017-05-27,12351
2017-05-28,12351
2017-05-29,12359
2017-05-30,12359
2017-05-31,11982
2017-06-01,11982
2017-06-02,11731
2017-06-03,11731
2017-06-04,11814
2017-06-05,11814
2017-06-06,12303
2017-06-07,12084
2017-06-08,12084
2017-06-09,11865
2017-06-10,11750
2017-06-11,11573
2017-06-12,11573
2017-06-13,11520
2017-06-14,11520
2017-06-15,11309
2017-06-16,11240
2017-06-17,11240
2017-06-18,11151
2017-06-19,11151
2017-06-20,11468
2017-06-21,11628
2017-06-22,11628
2017-06-23,11628
2017-06-24,11696
2017-06-25,11696
2017-06-26,11429
2017-06-27,11250
2017-06-28,11250
2017-06-29,11012
2017-06-30,11012
2017-07-01,11065
2017-07-02,11065
2017-07-03,11244
2017-07-04,11413
2017-07-05,11413
2017-07-06,11515
2017-07-07,11515
2017-07-08,11609
2017-07-13,11559
2017-07-14,11772
2017-07-15,11772
2017-07-16,11702
2017-07-17,12055
2017-07-18,12055
2017-07-19,12277
2017-07-20,12277
2017-07-21,12276
2017-07-22,12276
2017-07-23,12167
2017-07-24,12167
2017-07-25,12085
2017-07-26,12113
2017-07-27,12113
2017-07-28,12108
2017-07-29,12108
2017-07-30,11785
2017-07-31,11785
2017-08-01,11328
2017-08-02,11328
2017-08-03,11171
2017-08-04,11171
2017-08-05,11056
2017-08-06,11056
2017-08-07,11469
2017-08-08,11469
2017-08-09,11857
2017-08-10,11722
2017-08-11,11722
2017-08-12,11844
2017-08-13,11844
2017-08-14,11825
2017-08-15,12201
2017-08-16,12201
2017-08-17,12379
2017-08-18,12379
2017-08-19,12353
2017-08-20,12455
2017-08-21,12455
2017-08-22,12745
2017-08-23,12745
2017-08-24,12800
2017-08-25,12800
2017-08-26,12315
2017-08-27,12468
2017-08-28,12468
2017-08-29,12533
2017-08-30,12808
2017-08-31,12808
2017-09-01,12898
2017-09-02,12843
2017-09-03,12843
2017-09-04,12703
2017-09-05,12703
2017-09-06,12656
2017-09-07,12656
2017-09-08,12344
2017-09-09,12225
2017-09-10,12155
2017-09-11,12155
2017-09-12,12026
2017-09-13,12026
2017-09-14,12118
2017-09-15,12118
2017-09-16,11871
2017-09-17,11690
2017-09-18,11690
2017-09-19,11559
2017-09-20,11559
2017-09-22,11375
2017-09-23,11343
2017-09-24,11343
2017-09-25,11351
2017-09-26,11351
2017-09-27,11255
2017-09-28,11255
2017-09-29,11203
2017-09-30,11203
2017-10-01,11194
2017-10-02,11194
2017-10-03,11059
2017-10-04,11059
2017-10-05,11020
2017-10-06,11020
2017-10-07,10999
2017-10-08,10999
2017-10-09,11003
2017-10-10,10807
2017-10-11,10807
2017-10-12,10656
2017-10-13,10656
2017-10-14,10582
2017-10-15,10582
2017-10-16,10503
2017-10-17,10503
2017-10-18,10344
2017-10-19,10344
2017-10-20,10185
2017-10-21,10185
2017-10-22,9865
2017-10-23,9865
2017-10-24,9485
2017-10-25,9260
2017-10-26,9260
