date_obj,Smouldering%20stone price
2017-12-30,1187099
2017-12-31,1187099
2018-01-01,1215393
2018-01-02,1257301
2018-01-03,1318614
2018-01-04,1318614
2018-01-05,1331729
2018-01-06,1293715
2018-01-07,1293715
2018-01-08,1253433
2018-01-09,1253433
2018-01-10,1209842
2018-01-11,1209842
2018-01-12,1183239
2018-01-13,1197537
2018-01-14,1243620
2018-01-15,1303321
2018-01-16,1303321
2018-01-17,1337922
2018-01-18,1369879
2018-01-19,1369879
2018-01-20,1406916
2018-01-21,1447763
2018-01-22,1513576
2018-01-23,1577463
2018-01-24,1656336
2018-01-25,1738376
2018-01-26,1823937
2018-01-27,1812871
2018-01-28,1877614
2018-01-29,1914728
2018-01-30,1857691
2018-01-31,1788906
2018-02-01,1816188
2018-02-02,1820180
2018-02-04,1683213
2018-02-05,1623295
2018-02-06,1568510
2018-02-07,1521046
2018-02-08,1521046
2018-02-09,1487543
2018-02-10,1487543
2018-02-11,1495793
2018-02-12,1525244
2018-02-13,1539285
2018-02-14,1560918
2018-02-15,1521649
2018-02-16,1528252
2018-02-17,1530865
2018-02-18,1506966
2018-02-19,1564527
2018-02-20,1615956
2018-02-21,1672873
2018-02-22,1670690
2018-02-23,1667309
2018-02-24,1721503
2018-02-25,1800085
2018-02-26,1769884
2018-02-27,1834286
2018-02-28,1921548
2018-03-01,1946262
2018-03-02,1899308
2018-03-03,1831778
2018-03-04,1831778
2018-03-05,1873115
2018-03-06,1890036
2018-03-07,1883148
2018-03-08,1904187
2018-03-09,1884149
2018-03-10,1943258
2018-03-11,1982806
2018-03-12,2057819
2018-03-13,2025895
2018-03-14,1963719
2018-03-15,1887783
2018-03-16,1862789
2018-03-17,1837767
2018-03-18,1913024
2018-03-19,1913024
2018-03-20,1975824
2018-03-21,2017119
2018-03-23,2094346
2018-03-24,2109053
2018-03-26,2026087
2018-03-27,2019519
2018-03-28,2019519
2018-03-29,1995053
2018-03-30,1961902
2018-03-31,1957618
2018-04-01,1978667
2018-04-02,2033068
2018-04-03,1950046
2018-04-04,1929992
2018-04-05,1929992
2018-04-06,1943999
2018-04-08,1960071
2018-04-09,1981319
2018-04-10,1989384
2018-04-11,1957087
2018-04-12,1939305
2018-04-13,1960939
2018-04-14,1964653
2018-04-16,1987157
2018-04-17,2008728
2018-04-18,2008728
2018-04-19,2098384
2018-04-20,2203304
2018-04-21,2252721
2018-04-22,2217273
2018-04-23,2198883
2018-04-24,2186126
2018-04-25,2174295
2018-04-26,2174295
2018-04-27,2161318
2018-04-28,2248916
2018-04-29,2195747
2018-04-30,2238921
2018-05-01,2324546
2018-05-02,2337445
2018-05-03,2298258
2018-05-04,2277469
2018-05-05,2232633
2018-05-06,2232633
2018-05-07,2226236
2018-05-08,2299868
2018-05-09,2351604
2018-05-10,2465408
2018-05-11,2577847
2018-05-12,2601031
2018-05-13,2601031
2018-05-14,2490708
2018-05-15,2424998
2018-05-16,2365724
2018-05-17,2340421
2018-05-18,2389988
2018-05-19,2476339
2018-05-20,2488877
2018-05-21,2503600
2018-05-22,2503600
2018-05-23,2536677
2018-05-24,2457605
2018-05-25,2366583
2018-05-26,2410169
2018-05-27,2410169
2018-05-28,2380369
2018-05-29,2278455
2018-05-30,2204950
2018-05-31,2193838
2018-06-01,2150033
2018-06-02,2097246
2018-06-03,2059853
2018-06-04,2040855
2018-06-05,1963633
2018-06-06,1869772
2018-06-07,1869772
2018-06-08,1783343
2018-06-09,1783343
2018-06-10,1711262
2018-06-11,1642851
2018-06-12,1641361
2018-06-13,1698609
2018-06-14,1756011
2018-06-15,1773061
2018-06-16,1842529
2018-06-17,1846065
2018-06-18,1877591
2018-06-19,1878356
2018-06-20,1878356
2018-06-21,1851758
2018-06-22,1816772
2018-06-23,1816772
2018-06-24,1777588
2018-06-25,1781977
2018-06-26,1755411
2018-06-27,1751251
2018-06-28,1767322
2018-06-29,1771511
2018-06-30,1763529
2018-07-01,1744970
2018-07-02,1744970
2018-07-03,1767245
2018-07-04,1761972
2018-07-05,1817307
2018-07-06,1841959
2018-07-07,1810965
2018-07-08,1772837
2018-07-09,1740519
2018-07-10,1703712
2018-07-11,1678816
2018-07-12,1655546
2018-07-13,1609074
2018-07-14,1580310
2018-07-15,1580310
2018-07-16,1563944
2018-07-17,1596623
2018-07-18,1632395
2018-07-19,1632395
2018-07-20,1603030
2018-07-21,1563669
2018-07-22,1583074
2018-07-23,1592462
2018-07-24,1606594
2018-07-25,1614464
2018-07-26,1615887
2018-07-27,1601780
2018-07-28,1601780
2018-07-29,1587959
2018-07-30,1600247
2018-07-31,1669819
2018-08-01,1669819
2018-08-02,1722473
2018-08-03,1725335
2018-08-04,1670626
2018-08-05,1633114
2018-08-06,1586742
2018-08-07,1580201
2018-08-08,1572042
2018-08-09,1572042
2018-08-10,1596346
2018-08-11,1554872
2018-08-12,1559527
2018-08-14,1570573
2018-08-16,1576149
2018-08-17,1524161
2018-08-18,1499481
2018-08-19,1486691
2018-08-20,1532073
2018-08-21,1532073
2018-08-22,1523206
2018-08-23,1548308
2018-08-24,1575695
2018-08-25,1637106
2018-08-26,1705682
2018-08-27,1690694
2018-08-28,1635993
2018-08-29,1581923
2018-08-30,1571884
2018-08-31,1581915
2018-09-01,1568855
2018-09-02,1571597
2018-09-03,1566507
2018-09-04,1589636
2018-09-05,1576031
2018-09-06,1576031
2018-09-07,1563142
2018-09-08,1580686
2018-09-09,1582148
2018-09-10,1566377
2018-09-11,1566377
2018-09-12,1554503
2018-09-13,1552673
2018-09-14,1569217
2018-09-15,1596902
2018-09-16,1596902
2018-09-17,1599138
2018-09-18,1549068
2018-09-19,1519807
2018-09-20,1489067
2018-09-21,1477233
2018-09-22,1476934
2018-09-23,1439385
2018-09-24,1404333
2018-09-25,1404333
2018-09-26,1350560
2018-09-27,1283516
2018-09-28,1232622
2018-09-29,1190675
2018-09-30,1179669
2018-10-02,1240611
2018-10-03,1285129
2018-10-04,1285129
2018-10-05,1287089
2018-10-06,1277754
2018-10-07,1277754
2018-10-08,1223840
2018-10-09,1237555
2018-10-10,1222306
2018-10-11,1219137
2018-10-12,1203114
2018-10-13,1250243
2018-10-14,1232361
2018-10-15,1219678
2018-10-16,1230645
2018-10-17,1253942
2018-10-18,1298843
2018-10-19,1299905
2018-10-20,1299905
2018-10-21,1300967
2018-10-22,1324236
2018-10-23,1381085
2018-10-24,1423069
2018-10-25,1383605
2018-10-26,1363141
2018-10-27,1379215
2018-10-28,1400565
2018-10-29,1400565
2018-10-30,1408331
2018-10-31,1402593
2018-11-01,1411705
2018-11-03,1408272
2018-11-04,1416561
2018-11-05,1395043
2018-11-06,1380163
2018-11-07,1377036
2018-11-08,1393217
2018-11-09,1400626
2018-11-10,1406606
2018-11-11,1419826
2018-11-12,1423178
2018-11-13,1411996
2018-11-14,1417231
2018-11-15,1447700
2018-11-16,1453566
2018-11-17,1446298
2018-11-18,1422904
2018-11-19,1401444
2018-11-20,1395537
2018-11-21,1397744
2018-11-22,1362504
2018-11-23,1335664
2018-11-24,1371685
2018-11-25,1414997
2018-11-26,1419840
2018-11-27,1412710
2018-11-28,1451325
2018-11-29,1523525
2018-12-01,1583614
2018-12-02,1600419
2018-12-03,1600419
2018-12-05,1548154
2018-12-07,1435639
2018-12-09,1380793
2018-12-10,1381001
2018-12-11,1334868
2018-12-12,1288809
2018-12-13,1237468
2018-12-14,1180488
2018-12-15,1130403
2018-12-16,1076670
2018-12-17,1048566
2018-12-18,1044846
2018-12-19,1097089
2018-12-20,1130681
2018-12-21,1179610
2018-12-22,1211068
2018-12-23,1234466
2018-12-24,1273373
2018-12-25,1308712
2018-12-26,1335419
2018-12-27,1331031
2018-12-28,1355706
2018-12-29,1372257
2018-12-30,1376109
2018-12-31,1341131
2019-01-01,1326902
2019-01-02,1300779
2019-01-03,1307886
2019-01-04,1298399
2019-01-05,1268175
2019-01-06,1240887
2019-01-08,1209492
2019-01-10,1150893
2019-01-11,1143501
2019-01-12,1186660
2019-01-13,1207514
2019-01-14,1186507
2019-01-15,1174082
2019-01-16,1179174
2019-01-17,1212999
2019-01-18,1271361
2019-01-19,1323444
2019-01-20,1389617
