date_obj,Oil%20lamp price
2018-06-16,918
2018-06-17,918
2018-06-18,906
2018-06-19,906
2018-06-20,906
2018-06-21,905
2018-06-22,905
2018-06-23,905
2018-06-24,905
2018-06-25,905
2018-06-26,905
2018-06-27,902
2018-06-28,902
2018-06-29,902
2018-06-30,872
2018-07-01,872
2018-07-02,872
2018-07-03,878
2018-07-04,878
2018-07-05,878
2018-07-06,903
2018-07-07,903
2018-07-08,903
2018-07-09,907
2018-07-10,907
2018-07-11,907
2018-07-12,907
2018-07-13,907
2018-07-14,877
2018-07-15,877
2018-07-16,877
2018-07-17,866
2018-07-18,866
2018-07-19,866
2018-07-20,886
2018-07-21,886
2018-07-22,898
2018-07-23,898
2018-07-24,906
2018-07-25,906
2018-07-26,906
2018-07-27,922
2018-07-28,922
2018-07-29,922
2018-07-30,941
2018-07-31,941
2018-08-01,949
2018-08-02,949
2018-08-03,960
2018-08-04,960
2018-08-05,921
2018-08-06,921
2018-08-07,921
2018-08-08,904
2018-08-09,904
2018-08-10,904
2018-08-11,944
2018-08-12,944
2018-08-14,952
2018-08-16,908
2018-08-17,908
2018-08-18,873
2018-08-19,873
2018-08-20,864
2018-08-21,864
2018-08-22,864
2018-08-23,861
2018-08-24,861
2018-08-25,859
2018-08-26,859
2018-08-27,859
2018-08-28,842
2018-08-29,842
2018-08-30,842
2018-08-31,835
2018-09-01,835
2018-09-02,835
2018-09-03,849
2018-09-04,849
2018-09-05,821
2018-09-06,821
2018-09-07,821
2018-09-08,795
2018-09-09,795
2018-09-10,763
2018-09-11,763
2018-09-12,763
2018-09-13,742
2018-09-14,742
2018-09-15,708
2018-09-16,708
2018-09-17,708
2018-09-18,672
2018-09-19,672
2018-09-20,672
2018-09-21,641
2018-09-22,644
2018-09-23,644
2018-09-24,661
2018-09-25,661
2018-09-26,661
2018-09-27,673
2018-09-28,673
2018-09-29,673
2018-09-30,681
2018-10-02,681
2018-10-03,697
2018-10-04,697
2018-10-05,697
2018-10-06,684
2018-10-07,684
2018-10-08,684
2018-10-09,664
2018-10-10,664
2018-10-11,650
2018-10-12,650
2018-10-13,650
2018-10-14,618
2018-10-15,618
2018-10-16,618
2018-10-17,613
2018-10-18,613
2018-10-19,622
2018-10-20,622
2018-10-21,622
2018-10-22,646
2018-10-23,646
2018-10-24,646
2018-10-25,678
2018-10-26,678
2018-10-27,678
2018-10-28,710
2018-10-29,710
2018-10-30,710
2018-10-31,739
2018-11-01,739
2018-11-03,759
2018-11-04,787
2018-11-05,816
2018-11-06,816
2018-11-07,853
2018-11-08,853
2018-11-09,880
2018-11-10,913
2018-11-11,913
2018-11-12,935
2018-11-13,935
2018-11-15,962
2018-11-16,961
2018-11-17,961
2018-11-18,975
2018-11-19,975
2018-11-20,949
2018-11-21,949
2018-11-22,930
2018-11-23,930
2018-11-24,906
2018-11-25,874
2018-11-26,874
2018-11-27,856
2018-11-28,856
2018-11-29,860
2018-12-01,826
2018-12-02,786
2018-12-03,786
2018-12-04,746
2018-12-05,712
2018-12-07,681
2018-12-09,646
2018-12-10,613
2018-12-11,613
2018-12-12,582
2018-12-13,553
2018-12-14,553
2018-12-15,525
2018-12-16,499
2018-12-17,499
2018-12-18,474
2018-12-19,450
2018-12-20,435
2018-12-21,435
