date_obj,Pat%20of%20butter price
2018-02-26,59
2018-02-27,59
2018-03-01,56
2018-03-02,56
2018-03-03,56
2018-03-04,56
2018-03-05,56
2018-03-06,56
2018-03-07,53
2018-03-08,53
2018-03-09,53
2018-03-10,53
2018-03-11,53
2018-03-12,53
2018-03-13,52
2018-03-14,52
2018-03-15,52
2018-03-16,52
2018-03-17,52
2018-03-18,52
2018-03-19,52
2018-03-20,50
2018-03-21,50
2018-03-23,50
2018-03-24,50
2018-03-26,50
2018-03-27,51
2018-03-28,51
2018-03-29,51
2018-03-30,51
2018-03-31,51
2018-04-01,51
2018-04-02,51
2018-04-03,51
2018-04-04,51
2018-04-05,51
2018-04-06,51
2018-04-08,51
2018-04-09,51
2018-04-10,50
2018-04-11,50
2018-04-12,50
2018-04-13,50
2018-04-14,50
2018-04-15,50
2018-04-16,50
2018-04-17,50
2018-04-18,50
2018-04-19,50
2018-04-20,50
2018-04-21,50
2018-04-22,50
2018-04-23,50
2018-04-24,50
2018-04-25,49
2018-04-26,49
2018-04-27,49
2018-04-28,49
2018-04-29,49
2018-04-30,49
2018-05-01,49
2018-05-02,49
2018-05-03,49
2018-05-04,48
2018-05-05,48
2018-05-06,48
2018-05-07,48
2018-05-08,48
2018-05-09,48
2018-05-10,48
2018-05-11,48
2018-05-12,45
2018-05-13,45
2018-05-14,45
2018-05-15,45
2018-05-16,45
2018-05-17,45
2018-05-18,45
2018-05-19,42
2018-05-20,42
2018-05-21,42
2018-05-22,42
2018-05-23,42
2018-05-24,42
2018-05-25,42
2018-05-26,40
2018-05-27,40
2018-05-28,40
2018-05-29,40
2018-05-30,40
2018-05-31,40
2018-06-01,40
2018-06-02,41
2018-06-03,41
2018-06-04,41
2018-06-05,41
2018-06-06,41
2018-06-07,41
2018-06-08,41
2018-06-09,41
2018-06-10,41
2018-06-11,41
2018-06-12,41
2018-06-13,41
2018-06-14,41
2018-06-15,41
2018-06-16,41
2018-06-17,41
2018-06-18,41
2018-06-19,40
2018-06-20,40
2018-06-21,40
2018-06-22,40
2018-06-23,40
2018-06-24,40
2018-06-25,40
2018-06-26,40
2018-06-27,40
2018-06-28,40
2018-06-29,40
2018-06-30,40
2018-07-01,40
2018-07-02,40
2018-07-03,40
2018-07-04,38
2018-07-05,38
2018-07-06,38
2018-07-07,38
2018-07-08,38
2018-07-09,38
2018-07-10,36
2018-07-11,36
2018-07-12,36
2018-07-13,36
2018-07-14,36
2018-07-15,36
2018-07-16,36
2018-07-17,35
2018-07-18,35
2018-07-19,35
2018-07-20,35
2018-07-21,35
2018-07-22,34
2018-07-23,34
2018-07-24,34
2018-07-25,34
2018-07-26,32
2018-07-27,32
2018-07-28,32
2018-07-29,32
2018-07-30,33
2018-07-31,33
2018-08-01,33
2018-08-02,33
2018-08-03,35
2018-08-04,35
2018-08-05,35
2018-08-06,37
2018-08-07,37
2018-08-08,37
2018-08-09,37
2018-08-10,39
2018-08-11,39
2018-08-12,39
2018-08-14,40
2018-08-16,40
2018-08-17,42
2018-08-18,42
2018-08-19,42
2018-08-20,42
2018-08-21,45
2018-08-22,45
2018-08-23,45
2018-08-24,45
2018-08-25,48
2018-08-26,48
2018-08-27,48
2018-08-28,48
2018-08-29,50
2018-08-30,50
2018-08-31,50
2018-09-01,50
2018-09-02,53
2018-09-03,53
2018-09-04,53
2018-09-05,53
2018-09-06,56
2018-09-07,56
2018-09-08,56
2018-09-09,56
2018-09-10,59
2018-09-11,59
2018-09-12,59
2018-09-13,59
2018-09-14,59
2018-09-15,61
2018-09-16,61
2018-09-17,61
2018-09-18,61
2018-09-19,61
2018-09-20,61
2018-09-21,65
2018-09-22,65
2018-09-23,65
2018-09-24,65
2018-09-25,65
2018-09-26,69
2018-09-27,69
2018-09-28,69
2018-09-29,69
2018-09-30,69
2018-10-02,73
2018-10-03,73
2018-10-04,73
2018-10-05,73
2018-10-06,76
2018-10-07,76
2018-10-08,76
2018-10-09,76
2018-10-10,76
2018-10-11,79
2018-10-12,79
2018-10-13,79
2018-10-14,79
2018-10-15,83
2018-10-16,83
2018-10-17,83
2018-10-18,83
2018-10-19,88
2018-10-20,88
2018-10-21,88
2018-10-22,88
2018-10-23,88
2018-10-24,93
2018-10-25,93
2018-10-26,93
2018-10-27,93
2018-10-28,95
2018-10-29,95
2018-10-30,95
2018-10-31,95
2018-11-01,100
2018-11-03,100
2018-11-04,100
2018-11-05,104
2018-11-06,104
2018-11-07,104
2018-11-08,104
2018-11-09,110
2018-11-10,110
2018-11-11,110
2018-11-12,116
2018-11-13,116
2018-11-15,121
2018-11-16,121
2018-11-17,121
2018-11-18,127
2018-11-19,127
2018-11-20,133
2018-11-21,133
2018-11-22,133
2018-11-23,140
2018-11-24,140
2018-11-25,147
2018-11-26,147
2018-11-27,147
2018-11-28,155
2018-11-29,155
2018-12-01,162
2018-12-02,162
2018-12-03,162
2018-12-04,162
2018-12-05,170
2018-12-07,170
2018-12-09,179
2018-12-10,179
2018-12-11,179
2018-12-12,179
2018-12-13,179
2018-12-14,179
2018-12-15,179
2018-12-16,179
2018-12-17,170
2018-12-18,170
2018-12-19,170
2018-12-20,167
2018-12-21,167
2018-12-22,167
2018-12-23,170
2018-12-24,170
2018-12-25,170
2018-12-26,175
2018-12-27,175
2018-12-28,175
2018-12-29,167
2018-12-30,167
2018-12-31,161
2019-01-01,161
2019-01-02,161
2019-01-03,152
2019-01-04,152
2019-01-05,148
2019-01-06,148
2019-01-08,148
2019-01-10,146
2019-01-11,146
2019-01-12,148
2019-01-13,148
2019-01-14,148
2019-01-15,148
2019-01-16,148
2019-01-17,148
2019-01-18,148
2019-01-19,148
2019-01-20,148
2019-01-21,148
2019-01-22,148
2019-01-23,148
2019-01-24,146
2019-01-25,146
2019-01-26,145
2019-01-27,145
2019-01-28,145
2019-01-29,145
2019-01-30,145
2019-01-31,145
2019-02-01,141
2019-02-02,141
2019-02-03,141
2019-02-04,143
2019-02-05,143
2019-02-06,143
2019-02-07,147
2019-02-08,147
2019-02-09,147
2019-02-10,153
2019-02-11,153
2019-02-12,153
2019-02-13,161
2019-02-14,161
2019-02-15,161
2019-02-16,169
2019-02-17,169
2019-02-18,169
2019-02-19,172
2019-02-20,172
2019-02-21,172
2019-02-22,166
2019-02-23,166
2019-02-24,163
2019-02-25,163
2019-02-26,163
2019-02-27,154
2019-02-28,154
2019-03-01,154
2019-03-02,149
2019-03-03,149
2019-03-04,149
2019-03-05,143
2019-03-06,143
2019-03-07,143
2019-03-08,143
2019-03-09,139
2019-03-10,139
2019-03-11,139
2019-03-12,139
2019-03-13,139
2019-03-14,139
2019-03-15,139
2019-03-16,144
2019-03-17,144
2019-03-18,144
2019-03-19,146
2019-03-20,146
2019-03-21,146
2019-03-22,147
