date_obj,Uncut%20ruby price
2017-10-31,1619
2017-11-01,1631
2017-11-02,1634
2017-11-03,1627
2017-11-04,1616
2017-11-05,1609
2017-11-06,1592
2017-11-07,1600
2017-11-08,1592
2017-11-09,1580
2017-11-10,1579
2017-11-11,1589
2017-11-12,1604
2017-11-13,1600
2017-11-14,1603
2017-11-15,1597
2017-11-16,1596
2017-11-17,1625
2017-11-18,1658
2017-11-19,1646
2017-11-20,1630
2017-11-21,1626
2017-11-22,1641
2017-11-23,1623
2017-11-24,1608
2017-11-25,1568
2017-11-26,1558
2017-11-27,1558
2017-11-28,1562
2017-11-29,1565
2017-11-30,1531
2017-12-01,1513
2017-12-02,1501
2017-12-03,1520
2017-12-04,1547
2017-12-05,1529
2017-12-06,1522
2017-12-07,1517
2017-12-08,1505
2017-12-09,1504
2017-12-10,1529
2017-12-11,1529
2017-12-12,1548
2017-12-13,1580
2017-12-14,1612
2017-12-15,1590
2017-12-16,1600
2017-12-17,1558
2017-12-18,1532
2017-12-19,1556
2017-12-20,1564
2017-12-21,1560
2017-12-22,1564
2017-12-23,1571
2017-12-24,1589
2017-12-25,1593
2017-12-26,1581
2017-12-27,1584
2017-12-28,1599
2017-12-29,1562
2017-12-30,1590
2017-12-31,1605
2018-01-01,1610
2018-01-02,1617
2018-01-03,1638
2018-01-04,1644
2018-01-05,1631
2018-01-06,1622
2018-01-07,1609
2018-01-08,1606
2018-01-09,1584
2018-01-10,1584
2018-01-11,1583
2018-01-12,1590
2018-01-13,1584
2018-01-14,1590
2018-01-15,1598
2018-01-16,1602
2018-01-17,1592
2018-01-18,1591
2018-01-19,1594
2018-01-20,1569
2018-01-21,1552
2018-01-22,1587
2018-01-23,1593
2018-01-24,1594
2018-01-25,1594
2018-01-26,1586
2018-01-27,1597
2018-01-28,1602
2018-01-29,1604
2018-01-30,1601
2018-02-01,1605
2018-02-02,1606
2018-02-03,1603
2018-02-04,1597
2018-02-05,1599
2018-02-06,1601
