date_obj,Red%20salamander price
2019-02-01,61
2019-02-02,61
2019-02-03,59
2019-02-04,59
2019-02-05,57
2019-02-06,55
2019-02-07,54
2019-02-08,53
2019-02-09,53
2019-02-10,53
2019-02-11,54
2019-02-12,57
2019-02-13,59
2019-02-14,59
2019-02-15,61
2019-02-16,63
2019-02-17,61
2019-02-18,61
2019-02-19,63
2019-02-20,64
2019-02-21,65
2019-02-22,66
2019-02-23,64
2019-02-24,63
2019-02-25,59
2019-02-26,58
2019-02-27,60
2019-02-28,58
2019-03-01,59
2019-03-02,61
2019-03-03,63
2019-03-04,65
2019-03-05,68
2019-03-06,70
2019-03-07,71
2019-03-08,71
2019-03-09,70
2019-03-10,70
2019-03-11,68
2019-03-12,65
2019-03-13,65
2019-03-14,63
2019-03-15,64
2019-03-16,63
2019-03-17,62
2019-03-18,62
2019-03-19,62
2019-03-20,63
2019-03-21,63
2019-03-22,63
2019-03-23,64
2019-03-24,63
2019-03-25,63
2019-03-26,60
2019-03-27,60
2019-03-28,60
2019-03-29,62
2019-03-30,62
2019-03-31,61
2019-04-01,60
2019-04-02,60
2019-04-03,60
2019-04-04,59
2019-04-05,61
2019-04-06,61
2019-04-07,60
2019-04-08,59
2019-04-09,59
2019-04-10,60
2019-04-11,62
2019-04-12,62
2019-04-13,60
2019-04-14,61
2019-04-15,63
2019-04-16,63
2019-04-17,62
2019-04-18,64
2019-04-19,66
2019-04-20,63
2019-04-21,62
2019-04-22,66
2019-04-23,69
2019-04-24,73
2019-04-25,77
2019-04-26,80
2019-04-27,83
2019-04-28,88
2019-04-29,93
2019-04-30,95
2019-05-01,97
2019-05-02,101
2019-05-03,104
2019-05-04,105
2019-05-05,110
2019-05-06,107
2019-05-07,105
2019-05-08,111
2019-05-09,111
2019-05-10,112
2019-05-11,111
2019-05-12,116
2019-05-13,121
2019-05-14,119
2019-05-15,119
2019-05-16,123
2019-05-17,123
2019-05-18,119
2019-05-19,119
2019-05-20,120
2019-05-21,121
2019-05-22,125
2019-05-23,127
2019-05-24,132
2019-05-25,137
2019-05-26,144
2019-05-27,148
2019-05-28,155
2019-05-29,152
2019-05-30,149
2019-05-31,147
2019-06-01,143
2019-06-02,138
2019-06-03,140
