date_obj,Lava%20dragon%20bones price
2018-11-22,6859
2018-11-23,6743
2018-11-24,6901
2018-11-25,7129
2018-11-26,7209
2018-11-27,7282
2018-11-28,7244
2018-11-29,7127
2018-12-01,7020
2018-12-02,6989
2018-12-03,6977
2018-12-04,6897
2018-12-05,6858
2018-12-07,6707
2018-12-09,6560
2018-12-10,6429
2018-12-11,6428
2018-12-12,6603
2018-12-13,6663
2018-12-14,6788
2018-12-15,6836
2018-12-16,6907
2018-12-17,6936
2018-12-18,6966
2018-12-19,6874
2018-12-20,6845
2018-12-21,6837
2018-12-22,6766
2018-12-23,6700
2018-12-24,6693
2018-12-25,6745
2018-12-26,6711
2018-12-27,6648
2018-12-28,6658
2018-12-29,6609
2018-12-30,6578
2018-12-31,6555
2019-01-01,6525
2019-01-02,6490
2019-01-03,6444
2019-01-04,6444
2019-01-05,6420
2019-01-06,6409
2019-01-08,6367
2019-01-10,5947
2019-01-11,5649
2019-01-12,5367
2019-01-13,5258
2019-01-14,5426
2019-01-15,5592
2019-01-16,5749
2019-01-17,5684
2019-01-18,5664
2019-01-19,5552
2019-01-20,5634
2019-01-21,5592
2019-01-22,5532
2019-01-23,5479
2019-01-24,5618
2019-01-25,5556
2019-01-26,5552
2019-01-27,5636
2019-01-28,5669
2019-01-29,5733
2019-01-30,5877
2019-01-31,5808
2019-02-01,5654
2019-02-02,5614
2019-02-03,5659
2019-02-04,5646
2019-02-05,5516
2019-02-06,5473
2019-02-07,5398
2019-02-08,5350
2019-02-09,5341
2019-02-10,5419
2019-02-11,5393
2019-02-12,5427
2019-02-13,5416
2019-02-14,5369
2019-02-15,5379
2019-02-16,5311
2019-02-17,5210
2019-02-18,5275
2019-02-19,5177
2019-02-20,5083
2019-02-21,5091
2019-02-22,5275
2019-02-23,5047
2019-02-24,4886
2019-02-25,4834
2019-02-26,4879
2019-02-27,4651
2019-02-28,4621
2019-03-01,4698
2019-03-02,4756
2019-03-03,4815
2019-03-04,4715
2019-03-05,4639
2019-03-06,4548
2019-03-07,4582
2019-03-08,4624
2019-03-09,4649
2019-03-10,4725
2019-03-11,4709
2019-03-12,4653
2019-03-13,4606
2019-03-14,4551
2019-03-15,4477
2019-03-16,4402
2019-03-17,4391
2019-03-18,4388
2019-03-19,4213
2019-03-20,4204
2019-03-21,4415
2019-03-22,4541
2019-03-23,4605
2019-03-24,4639
2019-03-25,4751
2019-03-26,4746
2019-03-27,4752
2019-03-28,4836
2019-03-29,4881
2019-03-30,4939
2019-03-31,4953
