date_obj,Weapon%20poison price
2017-06-28,237
2017-06-29,237
2017-06-30,237
2017-07-01,237
2017-07-02,237
2017-07-03,237
2017-07-04,237
2017-07-05,227
2017-07-06,227
2017-07-07,227
2017-07-08,227
2017-07-13,218
2017-07-14,218
2017-07-15,227
2017-07-16,227
2017-07-17,227
2017-07-18,227
2017-07-19,227
2017-07-20,227
2017-07-21,225
2017-07-22,225
2017-07-23,225
2017-07-24,225
2017-07-25,225
2017-07-26,225
2017-07-27,220
2017-07-28,220
2017-07-29,220
2017-07-30,220
2017-07-31,220
2017-08-01,220
2017-08-02,220
2017-08-03,220
2017-08-04,220
2017-08-05,220
2017-08-06,220
2017-08-09,230
2017-08-10,230
2017-08-11,230
2017-08-12,236
2017-08-13,236
2017-08-14,236
2017-08-15,236
2017-08-16,236
2017-08-17,236
2017-08-18,243
2017-08-19,243
2017-08-20,243
2017-08-21,243
2017-08-22,243
2017-08-23,256
2017-08-24,256
2017-08-25,256
2017-08-26,256
2017-08-27,256
2017-08-28,256
2017-08-29,268
2017-08-30,268
2017-08-31,268
2017-09-01,268
2017-09-02,268
2017-09-03,268
2017-09-04,269
2017-09-05,269
2017-09-06,269
2017-09-07,269
2017-09-08,269
2017-09-09,283
2017-09-10,283
2017-09-11,283
2017-09-12,283
2017-09-13,283
2017-09-14,283
2017-09-15,287
2017-09-16,287
2017-09-17,287
2017-09-18,287
2017-09-19,287
2017-09-20,293
2017-09-21,293
2017-09-22,293
2017-09-23,293
2017-09-24,293
2017-09-25,293
2017-09-26,308
2017-09-27,308
2017-09-28,308
2017-09-29,308
2017-09-30,308
2017-10-01,302
2017-10-02,302
2017-10-03,302
2017-10-04,302
2017-10-05,302
2017-10-06,313
2017-10-07,313
2017-10-08,313
2017-10-09,313
2017-10-10,313
2017-10-11,327
2017-10-12,327
2017-10-13,327
2017-10-14,327
2017-10-15,327
2017-10-16,344
2017-10-17,344
2017-10-18,344
2017-10-19,344
2017-10-20,344
2017-10-21,344
2017-10-22,362
2017-10-23,362
2017-10-24,362
2017-10-25,362
2017-10-26,362
2017-10-27,381
2017-10-28,381
2017-10-29,381
2017-10-30,381
2017-10-31,381
2017-11-01,381
2017-11-02,397
2017-11-03,397
2017-11-04,397
2017-11-05,397
2017-11-06,397
2017-11-07,412
2017-11-08,412
2017-11-09,412
2017-11-10,412
2017-11-11,412
2017-11-12,412
2017-11-13,433
2017-11-14,433
2017-11-15,433
2017-11-16,433
2017-11-17,433
2017-11-18,433
2017-11-19,450
2017-11-20,450
2017-11-21,450
2017-11-22,450
2017-11-23,450
2017-11-24,450
2017-11-25,471
2017-11-26,471
2017-11-27,471
2017-11-28,471
2017-11-29,471
2017-11-30,471
2017-12-01,454
2017-12-02,454
2017-12-03,454
2017-12-04,454
2017-12-05,454
2017-12-06,454
2017-12-07,431
2017-12-08,431
2017-12-09,431
2017-12-10,431
2017-12-11,410
2017-12-12,410
2017-12-13,410
2017-12-14,410
2017-12-15,392
2017-12-16,392
2017-12-17,392
2017-12-18,392
2017-12-19,392
2017-12-20,381
2017-12-21,381
2017-12-22,381
2017-12-23,381
2017-12-24,381
2017-12-25,361
2017-12-26,361
2017-12-27,361
2017-12-28,361
2017-12-29,347
2017-12-30,347
2017-12-31,347
2018-01-01,347
2018-01-02,347
2018-01-03,333
2018-01-04,333
2018-01-05,333
2018-01-06,333
2018-01-07,324
2018-01-08,324
2018-01-09,324
2018-01-10,324
2018-01-11,324
2018-01-12,314
2018-01-13,314
2018-01-14,314
2018-01-15,314
2018-01-16,311
2018-01-17,311
2018-01-18,311
2018-01-19,311
2018-01-20,311
2018-01-21,310
2018-01-22,310
2018-01-23,310
2018-01-24,301
2018-01-25,301
2018-01-26,301
2018-01-27,301
2018-01-28,296
2018-01-29,296
2018-01-30,296
2018-02-01,295
2018-02-02,295
2018-02-03,295
2018-02-04,295
2018-02-05,299
2018-02-06,299
2018-02-07,299
2018-02-08,299
2018-02-09,311
2018-02-10,311
2018-02-11,311
2018-02-12,311
2018-02-13,311
2018-02-14,311
2018-02-15,311
2018-02-16,311
2018-02-17,323
2018-02-18,323
2018-02-19,323
2018-02-20,323
2018-02-21,323
2018-02-22,323
2018-02-23,323
2018-02-24,323
2018-02-25,323
2018-02-26,314
2018-02-27,314
2018-02-28,314
2018-03-01,314
2018-03-02,324
2018-03-03,324
2018-03-04,324
2018-03-05,324
2018-03-06,324
2018-03-07,328
2018-03-08,328
2018-03-09,328
2018-03-10,328
2018-03-11,328
2018-03-12,335
2018-03-13,335
2018-03-14,335
2018-03-15,335
2018-03-16,335
2018-03-17,343
2018-03-18,343
2018-03-19,343
2018-03-20,343
2018-03-21,346
2018-03-23,346
2018-03-24,346
2018-03-26,355
2018-03-27,355
2018-03-28,355
2018-03-29,372
2018-03-30,372
2018-03-31,372
2018-04-01,372
2018-04-02,372
2018-04-03,381
2018-04-04,381
2018-04-05,381
2018-04-06,381
2018-04-08,391
2018-04-09,391
2018-04-10,391
2018-04-11,391
2018-04-12,405
2018-04-13,405
2018-04-14,405
2018-04-16,405
2018-04-17,389
2018-04-18,389
2018-04-19,389
2018-04-20,389
2018-04-21,389
2018-04-22,376
2018-04-23,376
2018-04-24,376
2018-04-25,376
2018-04-26,376
2018-04-27,383
2018-04-28,383
2018-04-29,383
2018-04-30,383
2018-05-01,383
2018-05-02,391
2018-05-03,391
2018-05-04,391
2018-05-05,391
2018-05-06,391
2018-05-07,396
2018-05-08,396
2018-05-09,396
2018-05-10,396
2018-05-11,396
2018-05-12,405
2018-05-13,405
2018-05-14,405
2018-05-15,405
2018-05-16,405
2018-05-17,413
2018-05-18,413
2018-05-19,413
2018-05-20,413
2018-05-21,412
2018-05-22,412
2018-05-23,412
