date_obj,Dragon%20crossbow price
2019-12-02,2863267
2019-12-03,2876644
2019-12-04,2855933
2019-12-05,2852403
2019-12-06,2841684
2019-12-07,2845476
2019-12-08,2854602
2019-12-09,2842466
2019-12-10,2829121
2019-12-11,2835896
2019-12-12,2827499
2019-12-13,2835315
2019-12-14,2844162
2019-12-15,2854629
2019-12-16,2859038
2019-12-17,2857710
2019-12-18,2897173
2019-12-19,2893947
2019-12-20,2912045
2019-12-21,2899204
2019-12-22,2881902
2019-12-23,2868770
2019-12-24,2852316
2019-12-25,2856866
2019-12-26,2864537
2019-12-27,2975394
2019-12-28,3091137
2019-12-29,3162652
2019-12-30,3166022
2019-12-31,3102136
2020-01-01,3085229
2020-01-02,3061345
2020-01-03,3047824
2020-01-04,3030568
2020-01-05,3013507
2020-01-06,3000804
2020-01-07,2973469
2020-01-08,2987890
2020-01-09,2955330
2020-01-10,2888015
2020-01-11,2914666
2020-01-12,2898596
2020-01-13,2876941
2020-01-14,2895121
2020-01-15,2885197
2020-01-16,2874364
2020-01-17,2865579
2020-01-18,2959350
2020-01-19,2979209
2020-01-20,2941985
2020-01-21,2920618
2020-01-22,2917225
2020-01-23,2892867
2020-01-24,2885296
2020-01-25,2880115
2020-01-26,2881861
2020-01-27,2870758
2020-01-28,2870218
2020-01-29,2862360
2020-01-30,2850938
2020-01-31,2840730
2020-02-01,2840060
2020-02-02,2843103
2020-02-03,2841172
2020-02-04,2838906
2020-02-05,2827838
2020-02-06,2703170
2020-02-07,2689736
2020-02-08,2644655
2020-02-09,2666765
2020-02-10,2668140
2020-02-11,2657458
2020-02-12,2647882
2020-02-13,2641120
2020-02-14,2632210
2020-02-15,2633812
2020-02-16,2649850
2020-02-17,2642769
2020-02-18,2661310
2020-02-19,2654427
2020-02-20,2648966
2020-02-21,2653103
2020-02-22,2681540
2020-02-23,2719756
2020-02-24,2758324
2020-02-25,2772902
2020-02-26,2804173
2020-02-27,2787777
2020-02-28,2778848
2020-02-29,2798606
2020-03-01,2822908
2020-03-02,2800015
2020-03-03,2795624
2020-03-04,2725077
2020-03-05,2678502
2020-03-06,2660392
2020-03-07,2655073
2020-03-08,2657016
2020-03-09,2651893
2020-03-10,2653995
2020-03-11,2645954
2020-03-12,2630789
2020-03-13,2605286
2020-03-14,2579299
2020-03-15,2590102
2020-03-16,2579606
2020-03-17,2580931
2020-03-18,2601108
2020-03-19,2604493
2020-03-20,2700983
2020-03-21,2720611
2020-03-22,2835261
2020-03-23,2914192
2020-03-24,2962541
2020-03-25,3035234
2020-03-26,3027683
2020-03-27,3032478
2020-03-28,3037674
2020-03-29,3153189
2020-03-30,3138415
2020-03-31,3173589
2020-04-01,3163933
2020-04-02,3156534
2020-04-03,3140494
2020-04-04,3189346
2020-04-05,3254707
2020-04-06,3250230
2020-04-07,3255498
2020-04-08,3261246
2020-04-09,3272995
2020-04-10,3266135
2020-04-11,3368352
2020-04-12,3439852
2020-04-13,3466458
2020-04-14,3465826
2020-04-15,3516250
2020-04-16,3579472
2020-04-17,3618687
2020-04-18,3792253
2020-04-19,3955465
2020-04-20,3929583
2020-04-21,3984367
2020-04-22,4026936
2020-04-23,4021677
2020-04-24,3958829
2020-04-25,3794079
2020-04-26,3689181
2020-04-27,3614018
2020-04-28,3555163
2020-04-29,3520603
2020-04-30,3428311
2020-05-01,3416864
2020-05-02,3296828
2020-05-03,3155849
2020-05-04,3040839
2020-05-05,3012597
2020-05-06,3004874
2020-05-07,2995461
2020-05-08,3000596
2020-05-09,2992690
2020-05-10,3000420
2020-05-11,3065618
2020-05-12,3145534
2020-05-13,3162815
