date_obj,Chilli%20potato price
2018-01-15,380
2018-01-16,380
2018-01-17,361
2018-01-18,361
2018-01-19,361
2018-01-20,357
2018-01-21,357
2018-01-22,357
2018-01-23,350
2018-01-24,350
2018-01-25,337
2018-01-26,337
2018-01-27,345
2018-01-28,345
2018-01-29,329
2018-01-30,329
2018-01-31,317
2018-02-01,317
2018-02-02,317
2018-02-03,308
2018-02-04,308
2018-02-05,309
2018-02-06,309
2018-02-07,315
2018-02-08,315
2018-02-09,330
2018-02-10,330
2018-02-11,320
2018-02-12,320
2018-02-13,324
2018-02-14,324
2018-02-15,315
2018-02-16,315
2018-02-17,329
2018-02-18,329
2018-02-19,332
2018-02-20,332
2018-02-21,324
2018-02-22,324
2018-02-23,325
2018-02-24,325
2018-02-25,319
2018-02-26,319
2018-02-27,308
2018-02-28,308
2018-03-01,315
2018-03-02,315
2018-03-03,305
2018-03-04,305
2018-03-05,290
2018-03-06,290
2018-03-07,278
2018-03-08,278
2018-03-09,278
2018-03-10,278
2018-03-11,277
2018-03-12,277
2018-03-13,289
2018-03-14,289
2018-03-15,299
2018-03-16,299
2018-03-17,304
2018-03-18,304
2018-03-20,295
2018-03-21,295
2018-03-23,296
2018-03-24,296
2018-03-25,296
2018-03-26,296
2018-03-27,301
2018-03-28,301
2018-03-29,304
2018-03-30,304
2018-03-31,304
2018-04-01,304
2018-04-02,297
2018-04-03,297
2018-04-04,290
2018-04-05,290
2018-04-06,302
2018-04-07,302
2018-04-08,302
2018-04-09,302
2018-04-10,308
2018-04-11,308
2018-04-12,304
2018-04-13,304
2018-04-14,304
2018-04-15,295
2018-04-16,295
2018-04-17,295
2018-04-18,295
2018-04-19,295
2018-04-20,287
2018-04-21,287
2018-04-22,302
2018-04-23,302
2018-04-24,296
2018-04-25,296
2018-04-26,296
2018-04-27,281
2018-04-28,281
2018-04-29,278
2018-04-30,278
2018-05-01,277
2018-05-03,277
2018-05-04,271
2018-05-05,275
2018-05-07,275
2018-05-08,270
2018-05-09,270
2018-05-10,281
2018-05-11,281
2018-05-12,274
2018-05-13,274
2018-05-14,274
2018-05-15,278
2018-05-16,278
2018-05-17,267
2018-05-18,267
2018-05-19,271
2018-05-20,271
2018-05-21,276
2018-05-22,276
2018-05-23,275
2018-05-24,275
2018-05-25,275
2018-05-26,285
2018-05-27,285
2018-05-28,273
2018-05-29,273
2018-05-30,281
2018-05-31,281
2018-06-01,289
2018-06-02,289
2018-06-03,289
2018-06-04,289
2018-06-05,290
2018-06-06,290
2018-06-07,282
2018-06-08,282
2018-06-09,282
2018-06-10,282
2018-06-11,271
2018-06-12,271
2018-06-13,262
2018-06-14,262
2018-06-15,267
2018-06-16,267
2018-06-17,263
2018-06-18,263
2018-06-19,271
2018-06-20,271
2018-06-21,271
2018-06-22,280
2018-06-23,280
2018-06-24,291
2018-06-25,291
2018-06-26,294
2018-06-27,294
2018-06-28,291
2018-06-29,291
2018-06-30,291
2018-07-01,291
2018-07-02,303
2018-07-03,303
2018-07-04,307
2018-07-05,307
2018-07-06,306
2018-07-07,306
2018-07-08,315
2018-07-09,315
2018-07-10,319
2018-07-11,319
2018-07-12,319
2018-07-13,312
2018-07-14,312
2018-07-15,312
2018-07-16,307
2018-07-17,307
2018-07-18,301
2018-07-19,301
2018-07-20,309
2018-07-21,309
2018-07-22,314
2018-07-23,314
2018-07-24,314
2018-07-25,327
2018-07-26,327
2018-07-27,330
2018-07-28,330
2018-07-29,327
2018-07-30,327
2018-07-31,327
2018-08-01,327
2018-08-02,337
2018-08-03,337
2018-08-04,354
2018-08-05,354
2018-08-06,365
2018-08-07,365
2018-08-08,363
2018-08-09,363
2018-08-10,369
2018-08-11,369
2018-08-12,380
2018-08-14,387
2018-08-16,387
2018-08-17,392
2018-08-18,392
2018-08-19,399
2018-08-20,382
2018-08-21,382
2018-08-22,367
2018-08-23,367
2018-08-24,372
2018-08-25,381
2018-08-26,381
2018-08-27,384
2018-08-28,384
2018-08-29,394
2018-08-30,394
2018-08-31,401
2018-09-01,401
2018-09-02,397
2018-09-03,397
2018-09-04,384
2018-09-05,384
2018-09-06,384
2018-09-07,393
2018-09-08,393
2018-09-09,395
2018-09-10,395
2018-09-11,389
2018-09-12,389
2018-09-13,398
2018-09-14,398
2018-09-15,410
2018-09-16,410
2018-09-17,410
2018-09-18,420
2018-09-19,420
2018-09-20,421
2018-09-21,421
2018-09-22,417
2018-09-23,417
2018-09-24,418
2018-09-25,418
2018-09-26,415
2018-09-27,415
2018-09-28,426
2018-09-29,426
2018-09-30,435
2018-10-01,435
2018-10-02,433
2018-10-03,433
2018-10-04,420
2018-10-05,420
2018-10-06,404
2018-10-07,404
2018-10-08,408
2018-10-09,408
2018-10-10,416
2018-10-11,416
2018-10-12,425
2018-10-13,425
2018-10-14,436
2018-10-15,436
2018-10-16,422
2018-10-17,422
2018-10-18,409
2018-10-19,409
2018-10-20,406
2018-10-21,406
2018-10-22,414
2018-10-23,414
2018-10-24,412
2018-10-25,412
2018-10-26,420
2018-10-27,420
2018-10-28,409
2018-10-29,409
2018-10-30,392
2018-10-31,392
2018-11-01,399
2018-11-03,400
2018-11-04,400
2018-11-05,389
2018-11-06,389
2018-11-07,386
2018-11-08,386
2018-11-09,371
2018-11-10,364
2018-11-11,364
2018-11-12,376
2018-11-13,376
2018-11-14,384
2018-11-15,384
2018-11-16,390
2018-11-17,390
2018-11-18,372
2018-11-19,372
2018-11-20,370
2018-11-21,370
2018-11-22,377
2018-11-23,377
2018-11-24,371
2018-11-25,364
2018-11-26,364
2018-11-27,359
2018-11-28,360
2018-11-29,360
2018-12-01,361
2018-12-02,365
2018-12-03,365
2018-12-04,367
2018-12-05,366
2018-12-07,376
2018-12-09,372
2018-12-10,373
2018-12-11,373
2018-12-12,386
2018-12-13,393
2018-12-14,393
2018-12-15,400
2018-12-16,409
2018-12-17,409
2018-12-18,396
2018-12-19,396
2018-12-20,388
2018-12-21,375
2018-12-22,375
2018-12-23,369
2018-12-24,369
2018-12-25,361
2018-12-26,361
2018-12-27,354
2018-12-28,354
2018-12-29,352
2018-12-30,352
2018-12-31,348
2019-01-01,348
2019-01-02,349
2019-01-03,349
2019-01-04,338
2019-01-05,342
2019-01-06,337
2019-01-08,335
2019-01-10,343
2019-01-11,343
2019-01-12,347
2019-01-13,350
2019-01-14,357
2019-01-15,349
2019-01-16,349
2019-01-17,342
2019-01-18,337
2019-01-19,324
2019-01-20,313
2019-01-21,313
2019-01-22,320
2019-01-23,319
2019-01-24,319
2019-01-25,321
2019-01-26,327
2019-01-27,336
2019-01-28,351
2019-01-29,349
2019-01-30,332
2019-01-31,332
2019-02-01,327
2019-02-02,327
2019-02-03,320
2019-02-04,320
2019-02-05,318
2019-02-06,318
2019-02-07,316
2019-02-08,317
2019-02-09,320
2019-02-10,320
2019-02-11,313
2019-02-12,313
2019-02-13,309
2019-02-14,309
2019-02-15,299
2019-02-16,302
2019-02-17,302
2019-02-18,295
2019-02-19,295
2019-02-20,287
2019-02-21,299
2019-02-22,299
2019-02-23,300
2019-02-24,296
2019-02-25,294
2019-02-26,294
2019-02-27,293
2019-02-28,293
2019-03-01,297
2019-03-02,297
2019-03-03,292
2019-03-04,300
2019-03-05,292
2019-03-06,294
2019-03-07,288
2019-03-08,288
2019-03-09,279
2019-03-10,278
2019-03-11,279
2019-03-12,275
2019-03-13,275
2019-03-14,276
2019-03-15,276
2019-03-16,271
2019-03-17,268
2019-03-18,268
2019-03-19,267
2019-03-20,272
2019-03-21,271
2019-03-22,271
2019-03-23,265
2019-03-24,255
2019-03-25,255
2019-03-26,268
2019-03-27,268
2019-03-28,282
2019-03-29,291
2019-03-30,291
2019-03-31,292
2019-04-01,302
2019-04-02,302
2019-04-03,295
2019-04-04,296
2019-04-05,296
2019-04-06,295
2019-04-07,298
2019-04-08,298
2019-04-09,298
2019-04-10,296
2019-04-11,296
2019-04-12,287
2019-04-13,277
2019-04-14,279
2019-04-15,279
2019-04-16,280
2019-04-17,280
2019-04-18,274
2019-04-19,274
2019-04-20,268
2019-04-21,268
2019-04-22,267
2019-04-23,267
2019-04-24,267
2019-04-25,274
2019-04-26,273
2019-04-27,273
2019-04-28,270
2019-04-29,270
2019-04-30,261
2019-05-01,261
2019-05-02,261
2019-05-03,256
2019-05-04,245
2019-05-05,245
2019-05-06,233
2019-05-07,230
2019-05-08,230
2019-05-09,223
2019-05-10,226
2019-05-11,226
2019-05-12,232
2019-05-13,227
2019-05-14,226
2019-05-15,226
2019-05-16,231
2019-05-17,231
2019-05-18,233
2019-05-19,233
2019-05-20,236
2019-05-21,236
2019-05-22,227
2019-05-23,223
2019-05-24,223
2019-05-25,221
2019-05-26,221
2019-05-27,216
2019-05-28,216
2019-05-29,218
2019-05-30,218
2019-05-31,228
2019-06-01,228
2019-06-02,229
2019-06-03,229
2019-06-04,221
2019-06-05,210
2019-06-06,210
2019-06-07,205
2019-06-08,196
2019-06-09,195
2019-06-10,195
2019-06-11,202
2019-06-12,202
2019-06-13,208
2019-06-14,208
2019-06-15,207
2019-06-16,216
2019-06-17,219
2019-06-18,219
2019-06-19,218
2019-06-20,227
2019-06-21,227
2019-06-22,229
2019-06-23,228
2019-06-24,228
2019-06-25,231
2019-06-26,231
2019-06-27,228
2019-06-28,228
2019-06-29,237
2019-06-30,237
2019-07-01,237
2019-07-02,240
2019-07-03,240
2019-07-04,239
2019-07-05,251
2019-07-06,251
2019-07-07,251
2019-07-08,251
2019-07-09,249
2019-07-10,255
2019-07-11,255
2019-07-12,260
2019-07-13,260
2019-07-14,266
2019-07-15,266
2019-07-16,274
2019-07-17,267
2019-07-18,267
2019-07-19,257
2019-07-20,257
2019-07-21,258
2019-07-22,258
2019-07-23,263
2019-07-24,263
2019-07-25,266
2019-07-26,266
2019-07-27,273
2019-07-28,273
2019-07-29,266
2019-07-30,255
2019-07-31,245
2019-08-01,245
2019-08-02,241
2019-08-03,240
2019-08-04,240
2019-08-05,247
2019-08-06,247
2019-08-07,240
2019-08-08,240
2019-08-09,241
2019-08-10,237
2019-08-11,237
2019-08-12,245
2019-08-13,245
2019-08-14,253
2019-08-15,249
2019-08-16,256
2019-08-17,256
2019-08-18,251
2019-08-19,256
2019-08-20,256
2019-08-21,252
2019-08-22,244
2019-08-23,244
2019-08-24,242
2019-08-24,242
