date_obj,Adamant%20knife price
2018-01-19,372
2018-01-20,360
2018-01-21,351
2018-01-22,352
2018-01-23,355
2018-01-24,351
2018-01-25,357
2018-01-26,364
2018-01-27,368
2018-01-28,378
2018-01-29,381
2018-01-30,384
2018-01-31,382
2018-02-01,388
2018-02-02,396
2018-02-03,400
2018-02-04,400
2018-02-05,410
2018-02-06,392
2018-02-07,375
2018-02-08,390
2018-02-09,382
2018-02-10,379
2018-02-11,375
2018-02-12,381
2018-02-13,375
2018-02-14,379
2018-02-15,368
2018-02-16,365
2018-02-17,359
2018-02-18,346
2018-02-19,337
2018-02-20,327
2018-02-21,328
2018-02-22,336
2018-02-23,346
2018-02-24,364
2018-02-25,379
2018-02-26,377
2018-02-27,388
2018-02-28,389
2018-03-01,392
2018-03-02,374
2018-03-03,373
2018-03-04,361
2018-03-05,359
2018-03-06,361
2018-03-07,374
2018-03-08,373
2018-03-09,377
2018-03-10,381
2018-03-11,377
2018-03-12,385
2018-03-13,399
2018-03-14,405
2018-03-15,406
2018-03-16,410
2018-03-17,405
2018-03-18,404
2018-03-19,407
2018-03-20,395
2018-03-21,398
2018-03-22,402
2018-03-23,401
2018-03-24,403
2018-03-25,406
2018-03-26,421
2018-03-27,413
2018-03-28,405
2018-03-29,400
2018-03-30,398
2018-03-31,398
2018-04-01,399
2018-04-02,405
2018-04-03,402
2018-04-04,404
2018-04-05,408
2018-04-06,412
2018-04-07,417
2018-04-08,425
2018-04-09,437
2018-04-10,444
2018-04-11,443
2018-04-12,427
2018-04-13,423
2018-04-14,415
2018-04-15,405
2018-04-16,407
2018-04-17,397
2018-04-18,392
2018-04-19,396
2018-04-20,395
2018-04-21,396
2018-04-22,399
2018-04-23,394
2018-04-24,400
2018-04-25,396
2018-04-26,394
2018-04-27,395
2018-04-28,386
2018-04-29,391
2018-04-30,401
2018-05-01,401
2018-05-02,392
2018-05-03,396
2018-05-04,395
2018-05-05,393
2018-05-06,399
2018-05-07,409
2018-05-08,410
2018-05-09,414
2018-05-10,417
2018-05-11,411
2018-05-12,409
2018-05-13,403
2018-05-14,415
2018-05-15,413
2018-05-16,409
2018-05-17,406
2018-05-18,406
2018-05-19,405
2018-05-20,405
2018-05-21,406
2018-05-22,406
2018-05-23,409
2018-05-24,404
2018-05-25,405
2018-05-26,405
2018-05-27,405
2018-05-28,401
2018-05-29,404
2018-05-30,406
2018-05-31,397
2018-06-01,394
2018-06-02,393
2018-06-03,387
2018-06-04,382
2018-06-05,375
2018-06-06,369
2018-06-07,363
2018-06-08,348
2018-06-09,337
2018-06-10,322
2018-06-11,313
2018-06-12,309
2018-06-13,310
2018-06-14,317
2018-06-15,312
2018-06-16,306
2018-06-17,308
2018-06-18,314
2018-06-19,323
2018-06-20,331
2018-06-21,348
2018-06-22,366
2018-06-23,381
2018-06-24,401
2018-06-25,415
2018-06-26,414
2018-06-27,414
2018-06-28,412
2018-06-29,411
2018-06-30,407
2018-07-01,400
2018-07-02,395
2018-07-03,375
2018-07-04,365
2018-07-05,354
2018-07-06,355
2018-07-07,359
2018-07-08,366
2018-07-09,373
2018-07-10,384
2018-07-11,392
2018-07-12,385
2018-07-13,387
2018-07-14,391
2018-07-15,397
2018-07-16,403
2018-07-17,403
2018-07-18,398
2018-07-19,389
2018-07-20,397
2018-07-21,408
2018-07-22,399
2018-07-23,403
2018-07-24,411
2018-07-25,419
2018-07-26,418
2018-07-27,417
2018-07-28,436
2018-07-29,433
2018-07-30,417
2018-07-31,397
2018-08-01,386
2018-08-02,367
2018-08-03,348
2018-08-04,330
2018-08-05,318
2018-08-06,318
2018-08-07,319
2018-08-08,324
2018-08-09,321
2018-08-10,317
2018-08-11,326
2018-08-12,327
2018-08-14,347
2018-08-16,365
2018-08-17,370
2018-08-18,376
2018-08-19,371
2018-08-20,379
2018-08-21,383
2018-08-22,388
2018-08-23,398
2018-08-24,411
2018-08-25,423
2018-08-26,430
2018-08-27,436
2018-08-28,417
2018-08-29,397
2018-08-30,377
2018-08-31,358
2018-09-01,356
2018-09-02,339
2018-09-03,326
2018-09-04,336
2018-09-05,348
2018-09-06,362
2018-09-07,380
2018-09-08,373
2018-09-09,382
2018-09-10,375
2018-09-11,364
2018-09-12,366
2018-09-13,355
2018-09-14,353
2018-09-15,355
2018-09-16,364
2018-09-17,368
2018-09-18,374
2018-09-19,382
2018-09-20,401
2018-09-21,413
2018-09-22,419
2018-09-23,413
2018-09-24,410
2018-09-25,405
2018-09-26,405
2018-09-27,396
2018-09-28,396
2018-09-29,394
2018-09-30,398
2018-10-01,407
2018-10-02,423
2018-10-03,422
2018-10-04,432
2018-10-05,417
2018-10-06,406
2018-10-07,408
2018-10-08,387
2018-10-09,368
2018-10-10,372
2018-10-11,368
2018-10-12,358
2018-10-13,353
2018-10-14,362
2018-10-15,377
2018-10-16,389
2018-10-17,389
2018-10-18,391
2018-10-19,402
2018-10-20,385
2018-10-21,384
2018-10-22,382
