date_obj,Gilded%20magic%20wardrobe%20(flatpack) price
2017-06-29,849
2017-06-30,849
2017-07-01,849
2017-07-02,849
2017-07-03,849
2017-07-04,849
2017-07-05,849
2017-07-06,849
2017-07-07,849
2017-07-08,849
2017-07-13,849
2017-07-14,849
2017-07-15,849
2017-07-16,871
2017-07-17,871
2017-07-18,871
2017-07-19,871
2017-07-20,871
2017-07-21,871
2017-07-22,871
2017-07-23,871
2017-07-24,871
2017-07-25,871
2017-07-26,871
2017-07-27,871
2017-07-28,871
2017-07-29,871
2017-07-30,871
2017-07-31,871
2017-08-01,871
2017-08-02,871
2017-08-03,871
2017-08-04,871
2017-08-05,871
2017-08-06,871
2017-08-09,871
2017-08-10,871
2017-08-11,871
2017-08-12,871
2017-08-13,871
2017-08-14,871
2017-08-15,871
2017-08-16,871
2017-08-17,871
2017-08-18,871
2017-08-19,871
2017-08-20,871
2017-08-21,871
2017-08-22,871
2017-08-23,871
2017-08-24,871
2017-08-25,871
2017-08-26,871
2017-08-27,871
2017-08-28,871
2017-08-29,871
2017-08-30,871
2017-08-31,871
2017-09-01,871
2017-09-02,871
2017-09-03,871
2017-09-04,871
2017-09-05,871
2017-09-06,871
2017-09-07,871
2017-09-08,871
2017-09-09,871
2017-09-10,871
2017-09-11,871
2017-09-12,871
2017-09-13,871
2017-09-14,871
2017-09-15,871
2017-09-16,871
2017-09-17,871
2017-09-18,871
2017-09-19,871
2017-09-20,871
2017-09-21,871
2017-09-22,871
2017-09-23,871
2017-09-24,871
2017-09-25,871
2017-09-26,871
2017-09-27,871
2017-09-28,871
2017-09-29,871
2017-09-30,871
2017-10-01,871
2017-10-02,871
2017-10-03,871
2017-10-04,871
2017-10-05,871
2017-10-06,871
2017-10-07,913
2017-10-08,913
2017-10-09,913
2017-10-10,913
2017-10-11,913
2017-10-12,913
2017-10-13,913
2017-10-14,913
2017-10-15,913
2017-10-16,913
2017-10-17,913
2017-10-18,913
2017-10-19,913
2017-10-20,913
2017-10-21,913
2017-10-22,913
2017-10-23,913
2017-10-24,913
2017-10-25,913
2017-10-26,913
2017-10-27,913
2017-10-28,913
2017-10-29,913
2017-10-30,913
2017-10-31,913
2017-11-01,913
2017-11-02,913
2017-11-03,913
2017-11-04,913
2017-11-05,913
2017-11-06,913
2017-11-07,913
2017-11-08,913
2017-11-09,913
2017-11-10,913
2017-11-11,913
2017-11-12,913
2017-11-13,913
2017-11-14,913
2017-11-15,913
2017-11-16,913
2017-11-17,913
2017-11-18,913
2017-11-19,913
2017-11-20,913
2017-11-21,913
2017-11-22,913
2017-11-23,913
2017-11-24,913
2017-11-25,913
2017-11-26,913
2017-11-27,913
2017-11-28,913
2017-11-29,913
2017-11-30,913
2017-12-01,913
2017-12-02,913
2017-12-03,913
2017-12-04,913
2017-12-05,913
2017-12-06,913
2017-12-07,913
2017-12-08,913
2017-12-09,913
2017-12-10,913
2017-12-11,913
2017-12-12,913
2017-12-13,913
2017-12-14,913
2017-12-15,913
2017-12-16,913
2017-12-17,913
2017-12-18,913
2017-12-19,913
2017-12-20,913
2017-12-21,913
2017-12-22,913
2017-12-23,913
2017-12-24,913
2017-12-25,913
2017-12-26,913
2017-12-27,913
2017-12-28,913
2017-12-29,913
2017-12-30,957
2017-12-31,957
2018-01-01,957
2018-01-02,957
2018-01-03,957
2018-01-04,957
2018-01-05,957
2018-01-06,957
2018-01-07,957
2018-01-08,957
2018-01-09,957
2018-01-10,957
2018-01-11,957
2018-01-12,957
2018-01-13,957
2018-01-14,957
2018-01-15,957
2018-01-16,957
2018-01-17,957
2018-01-18,957
2018-01-19,957
2018-01-20,957
2018-01-21,957
2018-01-22,957
2018-01-23,957
2018-01-24,957
2018-01-25,957
2018-01-26,957
2018-01-27,957
2018-01-28,957
2018-01-29,957
2018-01-30,957
2018-01-31,957
2018-02-01,957
2018-02-02,957
2018-02-03,957
2018-02-04,957
2018-02-05,957
2018-02-06,957
2018-02-07,957
2018-02-08,957
2018-02-09,957
2018-02-10,1000
2018-02-11,1000
2018-02-12,1000
2018-02-13,1000
2018-02-14,1000
2018-02-15,1000
2018-02-16,1000
2018-02-17,1000
2018-02-18,1000
2018-02-19,1000
2018-02-20,1000
2018-02-21,1000
2018-02-22,1000
2018-02-23,1000
2018-02-24,1000
2018-02-25,1000
2018-02-26,1000
2018-02-27,1000
