date_obj,Book%20of%20balance%20page%20set price
2019-03-25,31892
2019-03-26,32948
2019-03-27,32948
2019-03-28,34520
2019-03-29,35619
2019-03-30,35619
2019-03-31,35345
2019-04-01,36825
2019-04-02,38350
2019-04-03,39651
2019-04-04,40184
2019-04-05,39898
2019-04-06,39898
2019-04-07,39328
2019-04-08,40609
2019-04-09,40365
2019-04-10,40556
2019-04-11,40475
2019-04-12,40518
2019-04-13,40939
2019-04-14,40563
2019-04-15,39368
2019-04-16,38608
2019-04-17,38608
2019-04-18,38141
2019-04-19,36940
2019-04-20,36428
2019-04-21,36428
2019-04-22,35658
2019-04-23,34400
2019-04-24,33161
2019-04-25,32991
2019-04-26,32669
2019-04-27,32669
2019-04-28,33235
2019-04-29,32497
2019-04-30,32197
2019-05-01,32197
2019-05-02,31512
2019-05-03,30853
2019-05-04,30529
2019-05-05,30884
2019-05-06,30884
2019-05-07,30168
2019-05-08,30168
2019-05-09,28981
2019-05-10,27769
2019-05-11,27769
2019-05-12,26964
2019-05-13,25868
2019-05-14,25499
2019-05-15,25499
2019-05-16,25035
2019-05-17,25035
2019-05-18,24486
2019-05-19,24486
2019-05-20,23314
2019-05-21,23314
2019-05-22,23015
2019-05-23,22650
2019-05-24,22650
2019-05-25,22270
2019-05-26,21800
2019-05-27,21868
2019-05-28,21910
2019-05-29,21803
2019-05-30,22191
2019-05-31,22191
2019-06-01,22517
2019-06-02,23079
2019-06-03,22943
2019-06-04,22649
2019-06-05,22271
2019-06-06,22387
2019-06-07,22387
2019-06-08,21989
2019-06-09,22149
2019-06-10,22149
2019-06-11,21421
2019-06-12,21421
2019-06-13,20568
2019-06-14,20878
2019-06-15,20878
2019-06-16,20385
2019-06-17,20423
2019-06-18,20423
2019-06-19,20697
2019-06-20,21246
2019-06-21,21995
2019-06-22,21995
2019-06-23,22731
2019-06-24,22731
2019-06-25,23246
2019-06-26,23885
2019-06-27,24965
2019-06-28,24965
2019-06-29,25969
2019-06-30,25410
2019-07-01,25410
2019-07-02,25837
2019-07-03,25837
2019-07-04,25950
2019-07-05,25693
2019-07-06,25693
2019-07-07,25740
2019-07-08,25740
2019-07-09,25906
2019-07-10,25812
2019-07-11,25812
2019-07-12,26069
2019-07-13,26069
2019-07-14,27032
2019-07-15,27032
2019-07-16,28384
2019-07-17,29112
2019-07-18,30381
2019-07-19,31760
2019-07-20,33222
2019-07-21,34710
2019-07-22,36272
2019-07-23,37715
2019-07-24,37715
2019-07-25,38185
2019-07-26,38185
2019-07-27,39202
2019-07-28,39202
2019-07-29,38012
2019-07-30,38012
2019-07-31,38507
2019-08-01,38507
2019-08-02,38063
2019-08-03,38322
2019-08-04,38322
2019-08-05,37455
2019-08-06,37455
2019-08-07,35846
2019-08-08,35846
2019-08-09,34123
2019-08-10,32416
2019-08-11,32416
2019-08-12,30816
2019-08-13,30816
2019-08-14,29275
2019-08-15,29275
2019-08-16,27856
2019-08-17,27856
2019-08-18,26496
2019-08-19,26496
2019-08-20,25441
2019-08-21,25441
2019-08-22,24202
2019-08-23,24202
2019-08-24,23333
2019-08-24,23333
2019-08-25,23333
2019-08-25,23333
2019-08-26,22166
2019-08-27,22166
2019-08-27,22166
2019-08-28,21122
2019-08-29,21122
2019-08-30,20596
2019-08-31,20596
2019-09-01,19830
2019-09-02,19830
2019-09-03,19665
2019-09-04,19665
2019-09-05,19280
2019-09-06,19280
2019-09-07,18982
2019-09-08,18898
2019-09-09,18898
2019-09-10,18832
2019-09-11,18752
2019-09-12,18752
2019-09-13,18528
2019-09-14,18528
2019-09-15,18075
2019-09-16,17346
2019-09-17,17346
2019-09-18,16478
2019-09-19,16478
2019-09-20,15680
2019-09-21,15680
2019-09-22,14948
2019-09-23,14205
2019-09-24,14205
2019-09-25,14698
2019-09-26,14698
2019-09-27,14152
2019-09-28,14152
2019-09-29,13729
2019-09-30,13729
2019-10-01,14237
2019-10-02,14237
2019-10-03,14840
2019-10-04,14840
2019-10-05,15342
2019-10-06,15661
2019-10-07,15661
2019-10-08,15781
2019-10-09,15781
2019-10-10,16352
2019-10-11,16352
2019-10-12,17131
2019-10-13,17914
2019-10-14,17914
2019-10-15,18029
2019-10-16,18029
2019-10-17,17880
2019-10-18,17880
2019-10-19,17558
2019-10-20,17558
2019-10-21,16680
2019-10-22,16680
2019-10-23,16162
2019-10-24,16162
2019-10-25,15672
2019-10-26,15672
2019-10-27,14899
2019-10-28,14628
2019-10-29,14628
2019-10-30,14628
2019-10-31,15169
2019-11-01,15169
2019-11-02,15404
2019-11-03,15404
2019-11-04,15870
2019-11-05,15870
2019-11-06,16212
2019-11-07,16212
2019-11-08,16585
2019-11-09,16585
2019-11-10,15933
2019-11-11,15933
2019-11-12,15288
2019-11-13,15288
2019-11-14,15278
2019-11-15,15278
2019-11-16,15119
2019-11-17,15119
2019-11-18,15220
2019-11-19,15220
2019-11-20,15651
2019-11-21,15651
2019-11-22,16373
2019-11-23,16373
2019-11-24,17035
2019-11-25,17035
2019-11-26,17178
2019-11-27,17178
2019-11-28,16610
2019-11-29,16610
2019-11-30,15997
2019-12-01,15997
2019-12-02,16135
2019-12-03,16135
2019-12-04,16179
2019-12-05,16179
2019-12-06,16277
2019-12-07,16277
2019-12-08,15765
2019-12-09,15765
2019-12-10,15932
2019-12-11,15932
2019-12-12,16264
2019-12-13,16264
2019-12-14,16814
2019-12-15,17103
2019-12-16,17103
2019-12-17,17531
2019-12-18,17531
2019-12-19,17569
2019-12-20,17569
2019-12-21,17905
2019-12-22,17905
2019-12-23,18126
2019-12-24,18126
2019-12-25,18605
2019-12-26,18605
2019-12-27,18059
2019-12-28,18059
2019-12-29,17907
2019-12-30,17907
2019-12-31,18092
2020-01-01,18092
2020-01-02,17928
2020-01-03,17928
2020-01-04,17762
2020-01-05,17582
2020-01-06,17582
2020-01-07,17349
2020-01-08,17349
2020-01-09,17294
2020-01-10,17239
2020-01-11,16963
2020-01-12,16963
2020-01-13,16919
2020-01-14,16919
2020-01-15,17040
2020-01-16,17040
2020-01-17,16970
2020-01-18,16970
2020-01-19,16898
2020-01-20,16898
2020-01-21,16963
2020-01-22,16963
2020-01-23,17250
2020-01-24,17250
2020-01-25,17103
2020-01-26,16850
2020-01-27,16850
2020-01-28,16689
2020-01-29,16689
2020-01-30,16007
2020-01-31,16007
2020-02-01,15206
2020-02-02,14445
2020-02-03,14445
2020-02-04,13755
2020-02-05,13755
2020-02-06,13086
2020-02-07,13086
2020-02-08,12822
2020-02-09,12822
2020-02-10,12441
2020-02-11,12441
2020-02-12,12501
2020-02-13,12501
2020-02-14,12719
2020-02-15,12719
2020-02-16,13274
2020-02-17,13884
2020-02-18,14487
2020-02-19,14487
2020-02-20,15211
2020-02-21,15211
2020-02-22,15873
2020-02-23,16617
2020-02-24,17326
2020-02-25,17880
2020-02-26,18144
2020-02-27,18454
2020-02-28,19067
2020-02-29,19067
2020-03-01,18811
2020-03-02,18811
2020-03-03,17870
2020-03-04,17870
2020-03-05,16976
2020-03-06,16682
2020-03-07,16682
2020-03-08,16029
2020-03-09,16277
2020-03-10,17091
2020-03-11,17091
2020-03-12,17924
2020-03-13,17924
2020-03-14,18576
2020-03-15,19204
2020-03-16,19403
2020-03-17,19403
2020-03-18,19478
2020-03-19,19370
2020-03-20,19050
2020-03-21,19173
2020-03-22,19590
2020-03-23,19167
2020-03-24,19020
2020-03-25,19600
2020-03-26,19320
2020-03-27,19271
2020-03-28,19446
2020-03-29,19594
2020-03-30,19775
2020-03-31,19875
2020-04-01,19754
2020-04-02,19067
2020-04-03,19067
2020-04-04,18250
2020-04-05,17353
2020-04-06,17202
2020-04-07,16663
2020-04-08,16018
2020-04-09,15332
2020-04-10,14872
2020-04-11,14167
2020-04-12,14191
2020-04-13,14392
2020-04-14,14770
2020-04-15,15015
2020-04-16,15501
2020-04-17,15854
2020-04-18,16098
2020-04-19,16402
2020-04-20,16595
2020-04-21,17247
2020-04-22,17323
2020-04-23,17134
2020-04-24,17101
2020-04-25,16949
2020-04-26,16507
2020-04-27,16313
2020-04-28,15932
2020-04-29,15449
2020-04-30,15379
2020-05-01,15379
2020-05-02,15282
2020-05-03,15320
2020-05-04,15706
2020-05-05,15730
2020-05-06,16222
2020-05-07,16937
2020-05-08,17635
2020-05-09,17577
2020-05-10,17309
2020-05-11,17041
2020-05-12,16875
2020-05-13,17057
