date_obj,Ancient%20blessing price
2020-05-01,6284
2020-05-02,6291
2020-05-03,6374
2020-05-04,6375
2020-05-05,6390
2020-05-06,6310
2020-05-07,6166
2020-05-08,6077
2020-05-09,6023
2020-05-10,5941
2020-05-11,5905
2020-05-12,5841
2020-05-13,5865
