date_obj,Raw%20swordfish price
2018-06-16,370
2018-06-17,371
2018-06-18,372
2018-06-19,377
2018-06-20,379
2018-06-21,373
2018-06-22,370
2018-06-23,367
2018-06-24,366
2018-06-25,363
2018-06-26,360
2018-06-27,359
2018-06-28,357
2018-06-29,355
2018-06-30,353
2018-07-01,353
2018-07-02,349
2018-07-03,351
2018-07-04,357
2018-07-05,356
2018-07-06,357
2018-07-07,362
2018-07-08,370
2018-07-09,367
2018-07-10,362
2018-07-11,359
2018-07-12,358
2018-07-13,361
2018-07-14,360
2018-07-15,360
2018-07-16,361
2018-07-17,362
2018-07-18,362
2018-07-19,367
2018-07-20,371
2018-07-21,374
2018-07-22,377
2018-07-23,375
2018-07-24,380
2018-07-25,382
2018-07-26,380
2018-07-27,376
2018-07-28,376
2018-07-29,375
2018-07-30,368
2018-07-31,367
2018-08-01,375
2018-08-02,377
2018-08-03,381
2018-08-04,379
2018-08-05,379
2018-08-06,389
2018-08-07,393
2018-08-08,394
2018-08-09,391
2018-08-10,388
2018-08-11,385
2018-08-12,384
2018-08-14,392
2018-08-16,388
2018-08-17,383
2018-08-18,382
2018-08-19,381
2018-08-20,381
2018-08-21,385
2018-08-22,388
2018-08-23,400
2018-08-24,397
2018-08-25,395
2018-08-26,390
2018-08-27,389
2018-08-28,390
2018-08-29,395
2018-08-30,405
2018-08-31,401
2018-09-01,397
2018-09-02,406
2018-09-03,411
2018-09-04,419
2018-09-05,428
2018-09-06,427
2018-09-07,431
2018-09-08,428
2018-09-09,417
2018-09-10,408
2018-09-11,409
2018-09-12,411
2018-09-13,408
2018-09-14,405
2018-09-15,402
2018-09-16,400
2018-09-17,399
2018-09-18,403
2018-09-19,412
2018-09-20,413
2018-09-21,415
2018-09-22,410
2018-09-23,409
2018-09-24,406
2018-09-25,404
2018-09-26,403
2018-09-27,405
2018-09-28,405
2018-09-29,410
2018-09-30,412
2018-10-02,410
2018-10-03,409
2018-10-04,410
2018-10-05,411
2018-10-06,416
2018-10-07,415
2018-10-08,412
2018-10-09,410
2018-10-10,409
2018-10-11,409
2018-10-12,411
2018-10-13,409
2018-10-14,407
2018-10-15,405
2018-10-16,403
2018-10-17,401
2018-10-18,398
2018-10-19,402
2018-10-20,410
2018-10-21,408
2018-10-22,406
2018-10-23,405
2018-10-24,404
2018-10-25,404
2018-10-26,409
2018-10-27,407
2018-10-28,406
2018-10-29,406
2018-10-30,409
2018-10-31,417
2018-11-01,417
2018-11-03,413
2018-11-04,423
2018-11-05,429
2018-11-06,443
2018-11-07,453
2018-11-08,450
2018-11-09,447
2018-11-10,445
2018-11-11,444
2018-11-12,441
2018-11-13,441
2018-11-14,439
2018-11-15,435
2018-11-16,425
2018-11-17,418
2018-11-18,409
2018-11-19,407
2018-11-20,403
2018-11-21,398
2018-11-22,390
2018-11-23,385
2018-11-24,383
2018-11-25,389
2018-11-26,402
2018-11-27,401
2018-11-28,400
2018-12-01,396
2018-12-02,400
2018-12-03,402
2018-12-04,403
2018-12-05,405
2018-12-07,404
2018-12-09,403
2018-12-10,401
2018-12-11,400
2018-12-12,399
2018-12-13,397
2018-12-14,395
2018-12-15,395
2018-12-16,393
2018-12-17,394
2018-12-18,395
2018-12-19,396
2018-12-20,394
2018-12-21,392
2018-12-22,390
2018-12-23,388
2018-12-24,386
2018-12-25,386
2018-12-26,389
2018-12-27,390
2018-12-28,393
2018-12-29,392
2018-12-30,386
2018-12-31,385
2019-01-01,383
2019-01-02,382
2019-01-03,381
2019-01-04,379
2019-01-05,377
2019-01-06,377
2019-01-08,382
2019-01-10,376
2019-01-11,366
2019-01-12,362
2019-01-13,358
2019-01-14,354
2019-01-15,353
2019-01-16,354
2019-01-17,352
2019-01-18,350
2019-01-19,346
2019-01-20,345
2019-01-21,345
2019-01-22,344
2019-01-23,342
2019-01-24,341
2019-01-25,339
2019-01-26,336
2019-01-27,336
2019-01-29,335
2019-01-30,338
2019-01-31,351
2019-02-01,352
2019-02-02,348
2019-02-03,347
2019-02-04,347
2019-02-05,344
2019-02-06,342
2019-02-07,340
2019-02-08,337
2019-02-09,337
2019-02-10,343
2019-02-11,346
2019-02-12,344
2019-02-13,344
2019-02-14,341
2019-02-15,337
2019-02-16,335
2019-02-17,333
2019-02-18,330
2019-02-19,331
2019-02-20,332
2019-02-21,332
2019-02-22,332
2019-02-23,330
2019-02-24,328
2019-02-25,325
2019-02-26,325
2019-02-27,322
2019-02-28,321
2019-03-01,314
2019-03-02,308
2019-03-03,300
2019-03-04,286
2019-03-05,290
2019-03-06,286
2019-03-07,291
2019-03-08,294
2019-03-09,291
2019-03-10,284
2019-03-11,289
2019-03-12,292
2019-03-13,296
2019-03-14,298
2019-03-15,305
2019-03-16,301
2019-03-17,299
2019-03-18,296
2019-03-19,293
2019-03-20,290
2019-03-21,290
2019-03-22,289
2019-03-23,292
2019-03-24,293
2019-03-25,295
