date_obj,Heavy%20ballista price
2019-03-10,636229
2019-03-11,630443
2019-03-12,631101
2019-03-13,634757
2019-03-14,625916
2019-03-15,618062
2019-03-16,610013
2019-03-17,619065
2019-03-18,612294
2019-03-19,607880
2019-03-20,600608
2019-03-21,601151
2019-03-22,606699
2019-03-23,601736
2019-03-24,602808
2019-03-25,601680
2019-03-26,599444
2019-03-27,595103
2019-03-28,593891
2019-03-29,589004
2019-03-30,590560
2019-03-31,590355
2019-04-01,588931
2019-04-02,589273
2019-04-03,587591
2019-04-04,586743
2019-04-05,601983
2019-04-06,612185
2019-04-07,623628
2019-04-08,618401
2019-04-09,609269
2019-04-10,604690
2019-04-11,600809
2019-04-12,604261
2019-04-13,592606
2019-04-14,599106
2019-04-15,605073
2019-04-16,595488
2019-04-17,590725
2019-04-18,589875
2019-04-19,592224
2019-04-20,593209
2019-04-21,602626
2019-04-22,592573
2019-04-23,590626
2019-04-24,588775
2019-04-25,585031
2019-04-26,587829
2019-04-27,587512
2019-04-28,588361
2019-04-29,583473
2019-04-30,577959
2019-05-01,573080
2019-05-02,573208
2019-05-03,579396
2019-05-04,591525
2019-05-05,607309
2019-05-06,606278
2019-05-07,602205
2019-05-08,598741
2019-05-09,594480
2019-05-10,591752
2019-05-11,592854
2019-05-12,593476
2019-05-13,601362
2019-05-14,607981
2019-05-15,637569
2019-05-16,654473
2019-05-17,651395
2019-05-18,662595
2019-05-19,664492
2019-05-20,661412
2019-05-21,657918
2019-05-22,655476
2019-05-23,662174
2019-05-24,669595
2019-05-25,659743
2019-05-26,654176
2019-05-27,644156
2019-05-28,630762
2019-05-29,623315
2019-05-30,620320
2019-05-31,617285
2019-06-01,616028
2019-06-02,617920
2019-06-03,620462
2019-06-04,636557
2019-06-05,634999
2019-06-06,641330
2019-06-07,641041
2019-06-08,638735
2019-06-09,645508
2019-06-10,647815
2019-06-11,645126
2019-06-12,638528
2019-06-13,629478
2019-06-14,630221
2019-06-15,641770
2019-06-16,631890
2019-06-17,625404
2019-06-18,623787
2019-06-19,614545
2019-06-20,609908
2019-06-21,610487
2019-06-22,611698
2019-06-23,612191
2019-06-24,604177
2019-06-25,601101
2019-06-26,607530
2019-06-27,620285
2019-06-28,615482
2019-06-29,614350
2019-06-30,629981
2019-07-01,627635
2019-07-02,630336
2019-07-03,629192
2019-07-04,618977
2019-07-05,619372
2019-07-06,623214
2019-07-07,624615
2019-07-08,624043
2019-07-09,622231
2019-07-10,620957
2019-07-11,622386
2019-07-12,620874
2019-07-13,618764
2019-07-14,617671
2019-07-15,615610
2019-07-16,608146
2019-07-17,603287
2019-07-18,592097
2019-07-19,588822
2019-07-20,594570
2019-07-21,593628
2019-07-22,593530
2019-07-23,591858
2019-07-24,604531
2019-07-25,601836
2019-07-26,592353
2019-07-27,596479
2019-07-28,595287
2019-07-29,597913
2019-07-30,601802
2019-07-31,602824
2019-08-01,613624
2019-08-02,625628
2019-08-03,607288
2019-08-04,611677
2019-08-05,602162
2019-08-06,573444
2019-08-07,565891
2019-08-08,569800
2019-08-09,579358
2019-08-10,593553
2019-08-11,576490
2019-08-12,572623
2019-08-13,582175
2019-08-14,581856
2019-08-15,590773
2019-08-16,591975
2019-08-17,599566
2019-08-18,614955
2019-08-19,617476
2019-08-20,616582
2019-08-21,608341
2019-08-22,593261
2019-08-23,583757
2019-08-24,580815
2019-08-24,580815
2019-08-25,576460
2019-08-25,576460
2019-08-26,580381
2019-08-26,580381
2019-08-27,578452
2019-08-27,578452
2019-08-28,590116
2019-08-29,580406
2019-08-30,589819
2019-08-31,600298
2019-09-01,598960
2019-09-02,588096
2019-09-03,581822
2019-09-04,582294
2019-09-05,584570
2019-09-06,584210
2019-09-07,595795
2019-09-08,587379
2019-09-09,585051
2019-09-10,579898
2019-09-11,583444
2019-09-12,587626
2019-09-13,593468
2019-09-14,584776
2019-09-15,579559
2019-09-16,581115
2019-09-17,589874
2019-09-18,587342
2019-09-19,591162
2019-09-20,596586
2019-09-21,597922
2019-09-22,617251
2019-09-23,615680
2019-09-24,605306
2019-09-25,601497
2019-09-26,599999
2019-09-27,593610
2019-09-28,587616
2019-09-29,584054
2019-09-30,581598
2019-10-01,582056
2019-10-02,581849
2019-10-03,587292
2019-10-04,584496
2019-10-05,585377
2019-10-06,591815
2019-10-07,586080
2019-10-08,586093
2019-10-09,586017
2019-10-10,580249
2019-10-11,575300
2019-10-12,579092
2019-10-13,585794
2019-10-14,579892
2019-10-15,581803
2019-10-16,588202
2019-10-17,584724
2019-10-18,581248
2019-10-19,589960
2019-10-20,587321
2019-10-21,585536
2019-10-22,589158
2019-10-23,588230
2019-10-24,591333
2019-10-25,588244
2019-10-26,594668
2019-10-27,590047
2019-10-28,584325
2019-10-29,581890
2019-10-30,579430
2019-10-31,588958
2019-11-01,609438
2019-11-02,611692
2019-11-03,616639
2019-11-04,606198
2019-11-05,609460
2019-11-06,604649
2019-11-07,610635
2019-11-08,608537
2019-11-09,611415
2019-11-10,610039
2019-11-11,610180
2019-11-12,610417
2019-11-13,611189
2019-11-14,608688
2019-11-15,609476
2019-11-16,621137
2019-11-17,629274
2019-11-18,620609
2019-11-19,621011
2019-11-20,626331
2019-11-21,624393
2019-11-22,615581
2019-11-23,615783
2019-11-24,610733
2019-11-25,608966
2019-11-26,602079
2019-11-27,598777
2019-11-28,598786
2019-11-29,602693
2019-11-30,604875
2019-12-01,598343
2019-12-02,592350
2019-12-03,588483
2019-12-04,587579
2019-12-05,589848
2019-12-06,592498
2019-12-07,594135
2019-12-08,606885
2019-12-09,601752
2019-12-10,601864
2019-12-11,594600
2019-12-12,597846
2019-12-13,600050
2019-12-14,601007
2019-12-15,603592
2019-12-16,600148
2019-12-17,592913
2019-12-18,590540
2019-12-19,588113
2019-12-20,584378
2019-12-21,580644
2019-12-22,594808
2019-12-23,602572
2019-12-24,603318
2019-12-25,601196
2019-12-26,609629
2019-12-27,608865
2019-12-28,606905
2019-12-29,608016
