date_obj,Yellow%20hat price
2016-11-09,906
2016-11-10,906
2016-11-11,906
2016-11-12,906
2016-11-13,906
2016-11-14,906
2016-12-08,945
2016-12-09,945
2016-12-10,966
2016-12-11,966
2016-12-12,966
2016-12-13,966
2016-12-14,966
2016-12-15,966
2016-12-16,966
2016-12-17,966
2016-12-18,966
2016-12-19,959
2016-12-20,959
2016-12-21,959
2016-12-22,959
2016-12-23,959
2016-12-24,959
2016-12-25,959
2016-12-26,959
2016-12-27,964
2016-12-28,964
2016-12-29,964
2016-12-30,964
2016-12-31,964
2017-01-01,964
2017-01-02,964
2017-01-03,964
2017-01-04,968
2017-01-05,968
2017-01-06,968
2017-01-07,968
2017-01-08,968
2017-01-09,968
2017-01-10,968
2017-01-11,976
2017-01-12,976
2017-01-13,976
2017-01-14,976
2017-01-15,976
2017-01-16,976
2017-01-17,989
2017-01-18,989
2017-01-19,989
2017-01-20,989
2017-01-21,989
2017-01-22,989
2017-01-27,1019
2017-01-28,1019
2017-01-29,1033
2017-01-30,1033
2017-01-31,1033
2017-02-01,1033
2017-02-02,1033
2017-02-03,1021
2017-02-04,1021
2017-02-05,1021
2017-02-06,1021
2017-02-07,1021
2017-02-08,1018
2017-02-09,1018
2017-02-10,1018
2017-02-11,1018
2017-02-12,1018
2017-02-13,1018
2017-02-14,1060
2017-02-15,1060
2017-02-16,1060
2017-02-18,1060
2017-02-19,1060
2017-02-20,1060
2017-02-21,1109
2017-02-22,1109
2017-02-23,1109
2017-02-24,1109
2017-02-25,1109
2017-02-26,1109
2017-02-27,1109
2017-02-28,1108
2017-03-01,1108
2017-03-02,1108
2017-03-03,1108
2017-03-04,1108
2017-03-05,1108
2017-03-06,1108
2017-03-07,1108
2017-03-08,1108
2017-03-09,1108
2017-03-10,1108
2017-03-11,1108
2017-03-12,1075
2017-03-13,1075
2017-03-14,1075
2017-03-15,1075
2017-03-16,1075
2017-03-17,1075
2017-03-18,1034
2017-03-19,1034
2017-03-20,1034
2017-03-21,1034
2017-03-22,1034
2017-03-23,1034
2017-03-24,1006
2017-03-25,1006
2017-03-26,1006
2017-03-27,1006
2017-03-28,1006
2017-03-29,1006
2017-03-30,1006
2017-03-31,1017
2017-04-01,1017
2017-04-02,1017
2017-04-03,1017
2017-04-04,1017
2017-04-12,1065
2017-04-13,1065
2017-04-14,1065
2017-04-15,1065
2017-04-16,1089
2017-04-17,1089
2017-04-18,1089
2017-04-19,1089
2017-04-20,1089
2017-04-21,1087
2017-04-22,1087
2017-04-23,1087
2017-04-24,1087
2017-04-25,1087
2017-04-26,1087
2017-04-27,1123
2017-04-28,1123
2017-04-29,1123
2017-04-30,1123
2017-05-01,1123
2017-05-02,1079
2017-05-03,1079
2017-05-04,1079
2017-05-05,1079
2017-05-06,1079
2017-05-07,1079
2017-05-08,1033
2017-05-09,1033
2017-05-10,1033
2017-05-11,1033
2017-05-12,1033
2017-05-13,1033
2017-05-14,1030
2017-05-15,1030
2017-05-16,1030
2017-05-17,1030
2017-05-18,1030
2017-05-19,1030
2017-05-20,1030
2017-05-21,1014
2017-05-22,1014
2017-05-23,1014
2017-05-24,1014
2017-05-25,1014
2017-05-26,1014
2017-05-27,1014
2017-05-28,1029
2017-05-29,1029
2017-05-30,1029
2017-05-31,1029
2017-06-01,1029
2017-06-02,1029
2017-06-03,1029
2017-06-06,1034
2017-06-07,1034
2017-06-08,1034
2017-06-09,1034
2017-06-10,1015
2017-06-11,1015
2017-06-12,1015
2017-06-13,1015
2017-06-14,1015
2017-06-15,1015
2017-06-16,1025
2017-06-17,1025
2017-06-18,1025
2017-06-19,1025
2017-06-20,1025
2017-06-21,1025
2017-06-22,1019
2017-06-23,1019
2017-06-24,1019
2017-06-25,1019
2017-06-26,1019
2017-06-27,1019
2017-06-28,1043
2017-06-29,1043
2017-06-30,1043
2017-07-01,1043
2017-07-02,1043
2017-07-03,1043
2017-07-04,1043
2017-07-05,1068
2017-07-06,1068
2017-07-07,1068
2017-07-08,1068
2017-07-13,1068
2017-07-14,1068
2017-07-15,1068
2017-07-16,1068
2017-07-17,1068
2017-07-18,1068
2017-07-19,1092
2017-07-20,1092
2017-07-21,1092
2017-07-22,1092
2017-07-23,1092
2017-07-24,1092
2017-07-25,1100
2017-07-26,1100
2017-07-27,1100
2017-07-28,1100
2017-07-29,1100
2017-07-30,1100
2017-07-31,1100
2017-08-01,1069
2017-08-02,1069
2017-08-03,1069
2017-08-04,1069
2017-08-05,1069
2017-08-06,1069
2017-08-09,1096
2017-08-10,1096
2017-08-11,1096
2017-08-12,1096
2017-08-13,1096
2017-08-14,1108
2017-08-15,1108
2017-08-16,1108
2017-08-17,1108
2017-08-18,1108
2017-08-19,1108
2017-08-20,1099
2017-08-21,1099
2017-08-22,1099
2017-08-23,1099
2017-08-24,1099
2017-08-25,1099
2017-08-26,1099
2017-08-27,1080
2017-08-28,1080
2017-08-29,1080
2017-08-30,1080
2017-08-31,1080
2017-09-01,1080
2017-09-02,1080
2017-09-03,1095
2017-09-04,1095
2017-09-05,1095
2017-09-06,1095
2017-09-07,1095
2017-09-08,1095
2017-09-09,1095
2017-09-10,1111
2017-09-11,1111
2017-09-12,1111
2017-09-13,1111
2017-09-14,1111
2017-09-15,1111
2017-09-16,1111
