date_obj,Flattened%20hide price
2017-06-08,17824
2017-06-09,17824
2017-06-10,17824
2017-06-11,17824
2017-06-12,17824
2017-06-13,17824
2017-06-14,17824
2017-06-15,17824
2017-06-16,17824
2017-06-17,17824
2017-06-18,17824
2017-06-19,17824
2017-06-20,17824
2017-06-21,17824
2017-06-22,17824
2017-06-23,17824
2017-06-24,17824
2017-06-25,17824
2017-06-26,17824
2017-06-27,17824
2017-06-28,17824
2017-06-29,17824
2017-06-30,17824
2017-07-01,17824
2017-07-02,17824
2017-07-03,17824
2017-07-04,17824
2017-07-05,17824
2017-07-06,17824
2017-07-07,17824
2017-07-08,17824
2017-07-13,17824
2017-07-14,17824
2017-07-15,17824
2017-07-16,17824
2017-07-17,17824
2017-07-18,17824
2017-07-19,17824
2017-07-20,17824
2017-07-21,17824
2017-07-22,17824
2017-07-23,17824
2017-07-24,17824
2017-07-25,17824
2017-07-26,17824
2017-07-27,17824
2017-07-28,17824
2017-07-29,17824
2017-07-30,17824
2017-07-31,17824
2017-08-01,17824
2017-08-02,17824
2017-08-03,17824
2017-08-04,17824
2017-08-05,17824
2017-08-06,17824
2017-08-09,17824
2017-08-10,17824
2017-08-11,17824
2017-08-12,17824
2017-08-13,17824
2017-08-14,17824
2017-08-15,17824
2017-08-16,17824
2017-08-17,17824
2017-08-18,17824
2017-08-19,17824
2017-08-20,17824
2017-08-21,17824
2017-08-22,17824
2017-08-23,17824
2017-08-24,17824
2017-08-25,17824
2017-08-26,17824
2017-08-27,17824
2017-08-28,17824
2017-08-29,17824
2017-08-30,17824
2017-08-31,17824
2017-09-01,17824
2017-09-02,17824
2017-09-03,17824
2017-09-04,17824
2017-09-05,17824
2017-09-06,17824
2017-09-07,17824
2017-09-08,17824
2017-09-09,17824
2017-09-10,16986
2017-09-11,16986
2017-09-12,16986
2017-09-13,16986
2017-09-14,16986
2017-09-15,16986
2017-09-16,16986
2017-09-17,16986
2017-09-18,16986
2017-09-19,16986
2017-09-20,16986
2017-09-21,16986
2017-09-22,16986
2017-09-23,16986
2017-09-24,16986
2017-09-25,16986
2017-09-26,16986
2017-09-27,16986
2017-09-28,16986
2017-09-29,16986
2017-09-30,16986
2017-10-01,16986
2017-10-02,16986
2017-10-03,16986
2017-10-04,16986
2017-10-05,16986
2017-10-06,16986
2017-10-07,16986
2017-10-08,16986
2017-10-09,16986
2017-10-10,16986
2017-10-11,16986
2017-10-12,16986
2017-10-13,16986
2017-10-14,16986
2017-10-15,16986
2017-10-16,16986
2017-10-17,16986
2017-10-18,16986
2017-10-19,16986
2017-10-20,16986
2017-10-21,16986
2017-10-22,16986
2017-10-23,16986
2017-10-24,16986
2017-10-25,16986
2017-10-26,16986
2017-10-27,16986
2017-10-28,16986
2017-10-29,16986
2017-10-30,16986
2017-10-31,16986
2017-11-01,16986
2017-11-02,16986
2017-11-03,16986
2017-11-04,16986
2017-11-05,16986
2017-11-06,16986
2017-11-07,16986
2017-11-08,16986
2017-11-09,16986
2017-11-10,16986
2017-11-11,16986
2017-11-12,16986
2017-11-13,16986
