date_obj,Oak%20blackjack(d) price
2018-03-23,349
2018-03-24,349
2018-03-26,349
2018-03-27,349
2018-03-28,349
2018-03-29,349
2018-03-30,349
2018-03-31,349
2018-04-01,349
2018-04-02,349
2018-04-03,349
2018-04-04,349
2018-04-05,349
2018-04-06,349
2018-04-07,349
2018-04-08,349
2018-04-09,349
2018-04-10,349
2018-04-11,349
2018-04-12,349
2018-04-13,349
2018-04-14,349
2018-04-15,349
2018-04-16,349
2018-04-17,349
2018-04-18,349
2018-04-19,349
2018-04-20,349
2018-04-21,349
2018-04-22,362
2018-04-23,362
2018-04-24,362
2018-04-25,362
2018-04-26,362
2018-04-27,362
2018-04-28,362
2018-04-29,362
2018-04-30,362
2018-05-01,362
2018-05-02,362
2018-05-04,362
2018-05-05,362
2018-05-06,362
2018-05-07,362
2018-05-08,362
2018-05-09,362
2018-05-10,362
2018-05-11,362
2018-05-12,362
2018-05-13,362
2018-05-14,362
2018-05-15,362
2018-05-16,362
2018-05-17,362
2018-05-18,362
2018-05-19,362
2018-05-20,362
2018-05-21,362
2018-05-22,362
2018-05-23,362
2018-05-24,362
2018-05-25,362
2018-05-26,362
2018-05-27,362
2018-05-28,362
2018-05-29,362
2018-05-30,362
2018-05-31,362
2018-06-01,362
2018-06-02,362
2018-06-03,362
2018-06-04,362
2018-06-05,362
2018-06-06,362
2018-06-07,362
2018-06-08,362
2018-06-09,362
2018-06-10,362
2018-06-11,362
2018-06-12,362
2018-06-13,362
2018-06-14,362
2018-06-15,362
2018-06-16,362
2018-06-17,362
2018-06-18,362
2018-06-19,362
2018-06-20,362
2018-06-21,362
2018-06-22,362
2018-06-23,362
2018-06-24,362
2018-06-25,362
2018-06-26,362
2018-06-27,362
2018-06-28,362
2018-06-29,362
2018-06-30,362
2018-07-01,362
2018-07-02,362
2018-07-03,362
2018-07-04,362
2018-07-05,362
2018-07-06,362
2018-07-07,362
2018-07-08,362
2018-07-09,362
2018-07-10,362
2018-07-11,362
2018-07-12,362
2018-07-13,362
2018-07-14,362
2018-07-15,362
2018-07-16,362
2018-07-17,362
2018-07-18,362
2018-07-19,362
2018-07-20,362
2018-07-21,362
2018-07-22,362
2018-07-23,362
2018-07-24,362
2018-07-25,362
2018-07-26,362
2018-07-27,362
2018-07-28,362
2018-07-29,362
2018-07-30,362
2018-07-31,362
2018-08-01,362
2018-08-02,362
2018-08-03,362
2018-08-04,362
2018-08-05,362
2018-08-06,362
2018-08-07,362
2018-08-08,362
2018-08-09,362
2018-08-10,362
2018-08-11,362
2018-08-12,362
2018-08-14,362
2018-08-16,362
2018-08-17,362
2018-08-18,362
2018-08-19,362
2018-08-20,362
2018-08-21,362
2018-08-22,362
2018-08-23,362
2018-08-24,362
2018-08-25,362
2018-08-26,362
2018-08-27,362
2018-08-28,362
2018-08-29,362
2018-08-30,362
2018-08-31,362
2018-09-01,362
2018-09-02,362
2018-09-03,362
2018-09-04,362
2018-09-05,362
2018-09-06,362
2018-09-07,370
2018-09-08,370
2018-09-09,370
2018-09-10,370
2018-09-11,370
2018-09-12,370
2018-09-13,370
2018-09-14,370
2018-09-15,370
2018-09-16,370
2018-09-17,370
2018-09-18,370
2018-09-19,370
2018-09-20,370
2018-09-21,370
2018-09-22,370
2018-09-23,370
2018-09-24,370
2018-09-25,370
2018-09-26,370
2018-09-27,370
2018-09-28,370
2018-09-29,370
2018-09-30,370
2018-10-02,370
2018-10-03,370
2018-10-04,370
2018-10-05,370
2018-10-06,370
2018-10-07,370
2018-10-08,370
2018-10-09,370
2018-10-10,370
2018-10-11,370
2018-10-12,370
2018-10-13,370
2018-10-14,370
2018-10-15,370
2018-10-16,370
2018-10-17,370
2018-10-18,370
2018-10-19,370
2018-10-20,370
2018-10-21,370
2018-10-22,370
2018-10-23,370
2018-10-24,370
2018-10-25,370
2018-10-26,370
2018-10-27,370
2018-10-28,370
2018-10-29,370
2018-10-30,370
2018-10-31,353
2018-11-01,353
2018-11-03,353
2018-11-04,353
2018-11-05,353
2018-11-06,353
2018-11-07,353
2018-11-08,353
2018-11-09,353
2018-11-10,353
2018-11-11,353
2018-11-12,353
2018-11-13,353
2018-11-15,353
2018-11-16,353
2018-11-17,353
2018-11-18,353
2018-11-19,353
2018-11-20,353
2018-11-21,353
2018-11-22,353
2018-11-23,353
2018-11-24,353
2018-11-25,353
2018-11-26,353
2018-11-27,353
2018-11-28,353
2018-11-29,353
2018-12-01,353
2018-12-02,353
2018-12-03,353
2018-12-05,353
2018-12-07,353
2018-12-09,353
2018-12-10,353
2018-12-11,353
2018-12-12,358
2018-12-13,358
2018-12-14,358
2018-12-15,358
2018-12-16,358
2018-12-17,358
2018-12-18,358
2018-12-19,358
2018-12-20,358
2018-12-21,358
2018-12-22,358
2018-12-23,358
2018-12-24,358
2018-12-25,358
2018-12-26,358
2018-12-27,358
2018-12-28,358
2018-12-29,358
2018-12-30,358
2018-12-31,358
2019-01-01,358
2019-01-02,358
2019-01-03,358
2019-01-04,358
2019-01-05,358
2019-01-06,358
2019-01-08,358
2019-01-10,358
2019-01-11,358
2019-01-12,358
2019-01-13,358
2019-01-14,358
2019-01-15,358
2019-01-16,358
2019-01-17,358
2019-01-18,358
2019-01-19,371
2019-01-20,371
2019-01-21,371
2019-01-22,371
2019-01-23,371
2019-01-24,371
2019-01-25,371
2019-01-26,371
2019-01-27,371
2019-01-28,371
2019-01-29,371
2019-01-30,371
2019-01-31,371
2019-02-01,371
2019-02-02,371
2019-02-03,371
2019-02-04,371
2019-02-05,371
2019-02-06,371
2019-02-07,371
2019-02-08,371
2019-02-09,371
2019-02-10,371
2019-02-11,371
2019-02-12,371
2019-02-13,371
2019-02-14,371
2019-02-15,371
2019-02-16,371
2019-02-17,371
2019-02-18,371
2019-02-19,371
2019-02-20,371
2019-02-21,371
2019-02-22,371
2019-02-23,371
2019-02-24,371
2019-02-25,371
2019-02-26,370
2019-02-27,370
2019-02-28,370
2019-03-01,370
2019-03-02,370
2019-03-03,370
2019-03-04,370
2019-03-05,370
2019-03-06,370
2019-03-07,370
2019-03-08,370
2019-03-09,370
2019-03-10,370
2019-03-11,370
2019-03-12,370
2019-03-13,370
2019-03-14,370
2019-03-15,370
2019-03-16,370
2019-03-17,370
2019-03-18,370
2019-03-19,370
2019-03-20,370
2019-03-21,370
2019-03-22,370
2019-03-23,370
2019-03-24,370
2019-03-25,370
2019-03-26,370
2019-03-27,370
2019-03-28,370
2019-03-29,370
2019-03-30,370
2019-03-31,370
2019-04-01,370
2019-04-02,370
2019-04-03,370
2019-04-04,370
2019-04-05,370
2019-04-06,370
2019-04-07,370
2019-04-08,370
2019-04-09,370
2019-04-10,370
2019-04-11,370
2019-04-12,365
2019-04-13,365
2019-04-14,365
2019-04-15,365
2019-04-16,365
2019-04-17,365
2019-04-18,365
2019-04-19,365
2019-04-20,365
2019-04-21,365
2019-04-22,365
2019-04-23,365
2019-04-24,365
2019-04-25,365
2019-04-26,365
2019-04-27,365
2019-04-28,365
2019-04-29,365
2019-04-30,365
2019-05-01,365
2019-05-02,365
2019-05-03,365
2019-05-04,365
2019-05-05,365
2019-05-06,365
2019-05-07,365
2019-05-08,365
2019-05-09,365
2019-05-10,365
2019-05-11,365
2019-05-12,365
2019-05-13,365
2019-05-14,365
2019-05-15,365
2019-05-16,365
2019-05-17,365
2019-05-18,365
2019-05-19,365
2019-05-20,365
2019-05-21,365
2019-05-22,365
2019-05-23,365
2019-05-24,365
2019-05-25,365
2019-05-26,365
2019-05-27,365
2019-05-28,365
2019-05-29,365
2019-05-30,365
2019-05-31,365
2019-06-01,365
2019-06-02,365
2019-06-03,365
2019-06-04,365
2019-06-05,378
2019-06-06,378
2019-06-07,378
2019-06-08,378
2019-06-09,378
2019-06-10,378
2019-06-11,378
2019-06-12,378
2019-06-13,378
2019-06-14,378
2019-06-15,378
2019-06-16,378
2019-06-17,378
2019-06-18,378
2019-06-19,378
2019-06-20,378
2019-06-21,378
2019-06-22,378
2019-06-23,378
2019-06-24,378
2019-06-25,378
2019-06-26,378
2019-06-27,378
2019-06-28,378
2019-06-29,378
2019-06-30,378
2019-07-01,378
2019-07-02,378
2019-07-03,378
2019-07-04,378
2019-07-05,378
2019-07-06,378
2019-07-07,378
2019-07-08,378
2019-07-09,378
2019-07-10,378
2019-07-11,378
2019-07-12,378
2019-07-13,378
2019-07-14,378
2019-07-15,378
2019-07-16,378
2019-07-17,378
2019-07-18,378
2019-07-19,378
2019-07-20,378
2019-07-21,378
2019-07-22,378
2019-07-23,378
2019-07-24,378
2019-07-25,378
2019-07-26,378
2019-07-27,378
2019-07-28,378
2019-07-29,370
2019-07-30,370
2019-07-31,370
2019-08-01,370
2019-08-02,370
2019-08-03,370
2019-08-04,370
2019-08-05,370
2019-08-06,370
2019-08-07,370
2019-08-08,370
2019-08-09,370
2019-08-10,370
2019-08-11,370
2019-08-12,370
2019-08-13,370
2019-08-14,370
2019-08-15,370
2019-08-16,370
2019-08-17,370
