date_obj,Tribal%20top%20(yellow) price
2017-08-20,3742
2017-08-21,3742
2017-08-22,3742
2017-08-23,3742
2017-08-24,3742
2017-08-25,3742
2017-08-26,3742
2017-08-27,3742
2017-08-28,3742
2017-08-29,3742
2017-08-30,3742
2017-08-31,3742
2017-09-01,3742
2017-09-02,3742
2017-09-03,3778
2017-09-04,3778
2017-09-05,3778
2017-09-06,3778
2017-09-07,3778
2017-09-08,3778
2017-09-09,3778
2017-09-10,3778
2017-09-11,3778
2017-09-12,3778
2017-09-13,3778
2017-09-14,3778
2017-09-15,3778
2017-09-16,3778
2017-09-17,3778
2017-09-18,3778
2017-09-19,3778
2017-09-20,3778
2017-09-21,3875
2017-09-22,3875
2017-09-23,3875
2017-09-24,3875
2017-09-25,3875
2017-09-26,3875
2017-09-27,3875
2017-09-28,3875
2017-09-29,3875
2017-09-30,3875
2017-10-01,3875
2017-10-02,3875
2017-10-03,3875
2017-10-04,3875
2017-10-05,3875
2017-10-06,3875
2017-10-07,3875
2017-10-08,3875
2017-10-09,3875
2017-10-10,3875
2017-10-11,3875
2017-10-12,3929
2017-10-13,3929
2017-10-14,3929
2017-10-15,3929
2017-10-16,3929
2017-10-17,3929
2017-10-18,3929
2017-10-19,3929
2017-10-20,3929
2017-10-21,3929
2017-10-22,3929
2017-10-23,3929
2017-10-24,3929
2017-10-25,3929
2017-10-26,3929
2017-10-27,3929
2017-10-28,3929
2017-10-29,3929
2017-10-30,3969
2017-10-31,3969
2017-11-01,3969
2017-11-02,3969
2017-11-03,3969
2017-11-04,3969
2017-11-05,3969
2017-11-06,3969
2017-11-07,3969
2017-11-08,3969
2017-11-09,3969
2017-11-10,3969
2017-11-11,3969
2017-11-12,3969
2017-11-13,3969
2017-11-14,3969
2017-11-15,3969
2017-11-16,3861
2017-11-17,3861
2017-11-18,3861
2017-11-19,3861
2017-11-20,3861
2017-11-21,3861
2017-11-22,3861
2017-11-23,3861
2017-11-24,3861
2017-11-25,3861
2017-11-26,3861
2017-11-27,3861
2017-11-28,3861
2017-11-29,3861
2017-11-30,3861
2017-12-01,3861
2017-12-02,3861
2017-12-03,3861
2017-12-04,3861
2017-12-05,3861
2017-12-06,3861
2017-12-07,3861
2017-12-08,3861
2017-12-09,3979
2017-12-10,3979
2017-12-11,3979
2017-12-12,3979
2017-12-13,3979
2017-12-14,3979
2017-12-15,3979
2017-12-16,3979
2017-12-17,3979
2017-12-18,3979
2017-12-19,3979
2017-12-20,3979
2017-12-21,3979
2017-12-22,3979
2017-12-23,3979
2017-12-24,3979
2017-12-25,3979
2017-12-26,3979
2017-12-27,3979
2017-12-28,3979
2017-12-29,3979
2017-12-30,4028
2017-12-31,4028
2018-01-01,4028
2018-01-02,4028
2018-01-03,4028
2018-01-04,4028
2018-01-05,4028
2018-01-06,4028
2018-01-07,4028
2018-01-08,4028
2018-01-09,4028
2018-01-10,4028
2018-01-11,4028
2018-01-12,4028
2018-01-13,4028
2018-01-14,4007
2018-01-15,4007
2018-01-16,4007
2018-01-17,4007
2018-01-18,4007
2018-01-19,4007
2018-01-20,4007
2018-01-21,4007
2018-01-22,4007
2018-01-23,4007
2018-01-24,3962
2018-01-25,3962
2018-01-26,3962
2018-01-27,3962
2018-01-28,3962
2018-01-29,3962
2018-01-30,3962
2018-02-01,4061
2018-02-02,4061
2018-02-03,4061
2018-02-04,4061
2018-02-05,4061
2018-02-06,4061
2018-02-07,4061
2018-02-08,4061
2018-02-09,4061
2018-02-10,4073
2018-02-11,4073
2018-02-12,4073
2018-02-13,4073
2018-02-14,4073
2018-02-15,4073
2018-02-16,4073
2018-02-17,4073
2018-02-18,4073
2018-02-19,3999
2018-02-20,3999
2018-02-21,3999
2018-02-22,3999
2018-02-23,3999
2018-02-24,3999
2018-02-25,3999
2018-02-26,3999
2018-02-27,3999
2018-02-28,3999
2018-03-01,3999
2018-03-02,3964
2018-03-03,3964
2018-03-04,3964
2018-03-05,3964
2018-03-06,3964
2018-03-07,3964
2018-03-08,3964
2018-03-09,3964
2018-03-10,3964
2018-03-11,3964
2018-03-12,4047
2018-03-13,4047
2018-03-14,4047
2018-03-15,4047
2018-03-16,4047
2018-03-17,4047
2018-03-18,4047
2018-03-19,4047
2018-03-20,4047
2018-03-21,4047
2018-03-23,4047
2018-03-24,4047
2018-03-26,4092
2018-03-27,4092
2018-03-28,4092
2018-03-29,4092
2018-03-30,4092
2018-03-31,4092
2018-04-01,4092
2018-04-02,4092
2018-04-03,4092
2018-04-04,4092
2018-04-05,4092
