date_obj,Bandos%20d'hide%20boots price
2018-10-05,901326
2018-10-06,886292
2018-10-07,874017
2018-10-08,872192
2018-10-09,877629
2018-10-10,897982
2018-10-11,897477
2018-10-12,905616
2018-10-13,897719
2018-10-14,885547
2018-10-15,882905
2018-10-16,881056
2018-10-17,892940
2018-10-18,877315
2018-10-19,860708
2018-10-20,873455
2018-10-21,853765
2018-10-22,828715
2018-10-23,825399
2018-10-24,806080
2018-10-25,823882
2018-10-26,834535
2018-10-27,835024
2018-10-28,832624
2018-10-29,850387
2018-10-30,859832
2018-10-31,857075
2018-11-01,856627
2018-11-03,885767
2018-11-04,913892
2018-11-05,936617
2018-11-06,949850
2018-11-07,968606
2018-11-08,978264
2018-11-09,978222
2018-11-10,994239
2018-11-11,995912
2018-11-12,1002042
2018-11-13,1020697
2018-11-14,1008413
2018-11-15,1002800
2018-11-16,995702
2018-11-17,1000604
2018-11-18,1023043
2018-11-19,1023208
2018-11-20,1045259
2018-11-21,1063622
2018-11-22,1062105
2018-11-23,1071507
2018-11-24,1055634
2018-11-25,1067725
2018-11-26,1099490
2018-11-27,1111639
2018-11-28,1102089
2018-11-29,1079329
2018-12-01,1133302
2018-12-02,1103219
2018-12-03,1096845
2018-12-04,1100182
2018-12-05,1106287
2018-12-07,1109302
2018-12-09,1108088
2018-12-10,1123186
2018-12-11,1143474
2018-12-12,1170244
2018-12-13,1171839
2018-12-14,1164298
2018-12-15,1156207
2018-12-16,1149907
2018-12-17,1155757
2018-12-18,1168487
2018-12-19,1174555
2018-12-20,1196583
2018-12-21,1183611
2018-12-22,1207682
2018-12-23,1209917
2018-12-24,1189362
2018-12-25,1180993
2018-12-26,1182708
2018-12-27,1212393
2018-12-28,1219569
2018-12-29,1243507
2018-12-30,1281500
2018-12-31,1321395
2019-01-01,1333463
2019-01-02,1341667
2019-01-03,1317094
2019-01-04,1303979
2019-01-05,1288031
2019-01-06,1321191
2019-01-08,1273163
2019-01-10,1207467
2019-01-11,1156648
2019-01-12,1107246
2019-01-13,1052006
2019-01-14,1038405
2019-01-15,1025213
2019-01-16,1011877
2019-01-17,994028
2019-01-18,994981
2019-01-19,1029328
2019-01-20,1049623
2019-01-21,1061276
2019-01-22,1044830
2019-01-23,1036191
2019-01-24,1070175
2019-01-25,1111633
2019-01-26,1122118
2019-01-27,1151109
2019-01-28,1148072
2019-01-29,1120217
2019-01-30,1102501
2019-01-31,1094904
2019-02-01,1122832
2019-02-02,1127297
2019-02-03,1139946
2019-02-04,1170021
2019-02-05,1178793
2019-02-06,1194727
2019-02-07,1216528
2019-02-08,1223176
2019-02-09,1174769
2019-02-10,1166271
2019-02-11,1159612
2019-02-12,1155299
2019-02-13,1126132
2019-02-14,1115478
2019-02-15,1086771
2019-02-16,1059242
2019-02-17,1031628
2019-02-18,1024217
2019-02-19,1069837
2019-02-20,1090549
2019-02-21,1092631
2019-02-22,1117400
2019-02-23,1087014
2019-02-24,1051324
2019-02-25,1043938
2019-02-26,1038768
2019-02-27,1043191
2019-02-28,1047234
2019-03-01,1074628
2019-03-02,1109914
2019-03-03,1098476
2019-03-04,1071708
2019-03-05,1077118
2019-03-06,1071453
2019-03-07,1061652
2019-03-08,1048721
2019-03-09,1032263
2019-03-10,1030684
2019-03-11,1044822
2019-03-12,1053094
2019-03-13,1070832
2019-03-14,1060578
2019-03-15,1034625
2019-03-16,1027685
2019-03-17,1022694
2019-03-18,1030007
2019-03-19,1017885
2019-03-20,1028859
2019-03-21,1021362
2019-03-22,1003419
2019-03-23,995462
2019-03-24,981530
2019-03-25,970363
2019-03-26,966824
2019-03-27,993474
2019-03-28,995503
2019-03-29,1001832
2019-03-30,1006238
2019-03-31,980668
2019-04-01,973024
2019-04-02,987594
2019-04-03,993559
2019-04-04,1041842
2019-04-05,1080372
2019-04-06,1103405
2019-04-07,1139773
2019-04-08,1116660
2019-04-09,1111658
2019-04-10,1063599
2019-04-11,1032644
2019-04-12,1001829
2019-04-13,965161
2019-04-14,922612
2019-04-15,896756
2019-04-16,880311
2019-04-17,852380
2019-04-18,840081
2019-04-19,852611
2019-04-20,873650
2019-04-21,887106
2019-04-22,887663
2019-04-23,876159
2019-04-24,845074
2019-04-25,820912
2019-04-26,809615
2019-04-27,797130
2019-04-28,800807
2019-04-29,800550
2019-04-30,786467
2019-05-01,786761
2019-05-02,768312
2019-05-03,765181
2019-05-04,772370
2019-05-05,764795
2019-05-06,765193
2019-05-07,756503
2019-05-08,753553
2019-05-09,745445
2019-05-10,736812
2019-05-11,726451
2019-05-12,714160
2019-05-13,716423
2019-05-14,716798
2019-05-15,723569
2019-05-16,739374
2019-05-17,767659
2019-05-18,795448
2019-05-19,810968
2019-05-20,835749
2019-05-21,842431
2019-05-22,848718
2019-05-23,867175
2019-05-24,893536
2019-05-25,899501
2019-05-26,935427
2019-05-27,937260
2019-05-28,920790
2019-05-29,910897
2019-05-30,919138
2019-05-31,908061
2019-06-01,886492
2019-06-02,901959
2019-06-03,905520
2019-06-04,892398
2019-06-05,879463
2019-06-06,862291
2019-06-07,851826
2019-06-08,844046
2019-06-09,840788
2019-06-10,861207
2019-06-11,840483
2019-06-12,842300
2019-06-13,839768
2019-06-14,834354
2019-06-15,830484
2019-06-16,824476
2019-06-17,809748
2019-06-18,806166
2019-06-19,804210
2019-06-20,805711
2019-06-21,780360
2019-06-22,763450
2019-06-23,756042
2019-06-24,751246
2019-06-25,743445
2019-06-26,735788
2019-06-27,726040
2019-06-28,724653
2019-06-29,731694
2019-06-30,723655
2019-07-01,741254
2019-07-02,717095
2019-07-03,715856
2019-07-04,743134
2019-07-05,757097
2019-07-06,773137
2019-07-07,784355
2019-07-08,801606
2019-07-09,800420
2019-07-10,804103
2019-07-11,807578
2019-07-12,798245
2019-07-13,789701
2019-07-14,784301
2019-07-15,784197
2019-07-16,776488
2019-07-17,774070
2019-07-18,780228
2019-07-19,785169
2019-07-20,783472
2019-07-21,778225
2019-07-22,774755
2019-07-23,777744
2019-07-24,781172
2019-07-25,768746
2019-07-26,761128
2019-07-27,752197
2019-07-28,741728
2019-07-29,732629
2019-07-30,737906
2019-07-31,745973
2019-08-01,754381
2019-08-02,752984
2019-08-03,755281
2019-08-04,761743
2019-08-05,757083
2019-08-06,770428
2019-08-07,771014
2019-08-08,773540
2019-08-09,776779
2019-08-10,781514
2019-08-11,781402
2019-08-12,808751
2019-08-13,847115
2019-08-14,848579
2019-08-15,850243
2019-08-16,865114
2019-08-17,861997
2019-08-18,870467
2019-08-19,897362
2019-08-20,887154
2019-08-21,898957
2019-08-22,905376
2019-08-23,906018
2019-08-24,887289
2019-08-24,887289
2019-08-25,877760
2019-08-25,877760
2019-08-26,867845
2019-08-27,862515
2019-08-27,862515
2019-08-28,855807
2019-08-29,857757
2019-08-30,849119
2019-08-31,848737
2019-09-01,837642
2019-09-02,830098
2019-09-03,831530
2019-09-04,824473
2019-09-05,829542
2019-09-06,831463
2019-09-07,838476
2019-09-08,840686
2019-09-09,840236
2019-09-10,833396
2019-09-11,820329
2019-09-12,811369
2019-09-13,792943
2019-09-14,781467
2019-09-15,772997
2019-09-16,767468
2019-09-17,760988
2019-09-18,749647
2019-09-19,744510
2019-09-20,745412
2019-09-21,744656
2019-09-22,747869
2019-09-23,738972
2019-09-24,734985
2019-09-25,729712
2019-09-26,718872
2019-09-27,705669
2019-09-28,691203
2019-09-29,680733
2019-09-30,686206
2019-10-01,704159
