date_obj,Team-1%20cape price
2017-06-27,700
2017-06-28,700
2017-06-29,700
2017-06-30,696
2017-07-01,696
2017-07-02,696
2017-07-03,696
2017-07-04,696
2017-07-05,693
2017-07-06,693
2017-07-07,693
2017-07-08,693
2017-07-13,690
2017-07-14,690
2017-07-15,690
2017-07-16,690
2017-07-17,698
2017-07-18,698
2017-07-19,698
2017-07-20,698
2017-07-21,696
2017-07-22,696
2017-07-23,696
2017-07-24,696
2017-07-25,702
2017-07-26,702
2017-07-27,702
2017-07-28,708
2017-07-29,708
2017-07-30,708
2017-07-31,708
2017-08-01,691
2017-08-02,691
2017-08-03,691
2017-08-04,682
2017-08-05,682
2017-08-06,682
2017-08-09,704
2017-08-10,695
2017-08-11,695
2017-08-12,695
2017-08-13,695
2017-08-14,687
2017-08-15,687
2017-08-16,687
2017-08-17,679
2017-08-18,679
2017-08-19,679
2017-08-20,679
2017-08-21,690
2017-08-22,690
2017-08-23,690
2017-08-24,690
2017-08-25,678
2017-08-26,678
2017-08-27,678
2017-08-28,677
2017-08-29,677
2017-08-30,677
2017-08-31,677
2017-09-01,677
2017-09-02,665
2017-09-03,665
2017-09-04,665
2017-09-05,665
2017-09-06,637
2017-09-07,637
2017-09-08,637
2017-09-09,637
2017-09-10,605
2017-09-11,605
2017-09-12,605
2017-09-13,605
2017-09-14,600
2017-09-15,600
2017-09-16,600
2017-09-17,600
2017-09-19,598
2017-09-20,598
2017-09-21,598
2017-09-22,575
2017-09-23,575
2017-09-24,575
2017-09-25,575
2017-09-26,584
2017-09-27,584
2017-09-28,584
2017-09-29,584
2017-09-30,581
2017-10-01,581
2017-10-02,581
2017-10-03,581
2017-10-04,581
2017-10-05,588
2017-10-06,588
2017-10-07,588
2017-10-08,588
2017-10-09,593
2017-10-10,593
2017-10-11,593
2017-10-12,593
2017-10-13,613
2017-10-14,613
2017-10-15,613
2017-10-16,613
2017-10-17,613
2017-10-18,595
2017-10-19,595
2017-10-20,595
2017-10-21,595
2017-10-22,580
2017-10-23,580
2017-10-24,580
2017-10-25,580
2017-10-26,585
2017-10-27,585
2017-10-28,585
2017-10-29,585
2017-10-30,591
2017-10-31,591
2017-11-01,591
2017-11-02,591
2017-11-03,591
2017-11-04,585
2017-11-05,585
2017-11-06,585
2017-11-07,585
2017-11-08,585
2017-11-09,572
2017-11-10,572
2017-11-11,572
2017-11-12,572
2017-11-13,568
2017-11-14,568
2017-11-15,568
2017-11-16,568
2017-11-17,559
2017-11-18,559
2017-11-19,559
2017-11-20,559
2017-11-21,574
2017-11-22,574
2017-11-23,574
2017-11-24,574
2017-11-25,593
2017-11-26,593
2017-11-27,593
2017-11-28,593
2017-11-29,581
2017-11-30,581
2017-12-01,581
2017-12-02,581
2017-12-03,600
2017-12-04,600
2017-12-05,600
2017-12-06,600
2017-12-07,591
2017-12-08,591
2017-12-09,591
2017-12-10,591
2017-12-11,591
2017-12-12,591
2017-12-13,591
2017-12-14,591
2017-12-15,583
2017-12-16,583
2017-12-17,583
2017-12-18,583
2017-12-19,594
2017-12-20,594
2017-12-21,594
2017-12-22,594
2017-12-23,597
2017-12-24,597
2017-12-25,597
2017-12-26,597
2017-12-27,594
2017-12-28,594
2017-12-29,594
2017-12-30,599
2017-12-31,599
2018-01-01,599
2018-01-02,611
2018-01-03,611
2018-01-04,611
2018-01-05,615
2018-01-06,615
2018-01-07,615
2018-01-08,616
2018-01-09,616
2018-01-10,616
2018-01-11,616
2018-01-12,590
2018-01-13,590
2018-01-14,590
2018-01-15,581
2018-01-16,581
2018-01-17,581
2018-01-18,595
2018-01-19,595
2018-01-20,595
2018-01-21,610
2018-01-22,610
2018-01-23,610
2018-01-24,599
2018-01-25,599
2018-01-26,591
2018-01-27,591
2018-01-28,591
2018-01-29,591
2018-01-30,594
2018-02-01,571
2018-02-02,571
2018-02-03,560
2018-02-04,560
2018-02-05,545
2018-02-06,545
2018-02-07,532
2018-02-08,532
2018-02-09,520
2018-02-10,520
2018-02-11,519
2018-02-12,519
2018-02-13,520
2018-02-14,520
2018-02-15,519
2018-02-16,519
2018-02-17,529
2018-02-18,529
2018-02-19,540
2018-02-20,540
2018-02-21,526
2018-02-22,526
2018-02-23,538
2018-02-24,538
2018-02-25,541
2018-02-26,541
2018-02-27,542
2018-02-28,542
2018-03-01,542
2018-03-02,542
2018-03-03,542
2018-03-04,551
2018-03-05,551
2018-03-06,543
2018-03-07,543
2018-03-08,529
2018-03-09,529
2018-03-10,524
2018-03-11,524
2018-03-12,520
2018-03-13,520
2018-03-14,538
2018-03-15,538
