date_obj,Staff%20of%20earth price
2017-07-02,1000
2017-07-03,1010
2017-07-04,1002
2017-07-05,1002
2017-07-06,1002
2017-07-07,1002
2017-07-08,995
2017-07-13,1036
2017-07-14,1039
2017-07-15,1039
2017-07-16,1050
2017-07-17,1058
2017-07-18,1054
2017-07-19,1055
2017-07-20,1054
2017-07-21,1069
2017-07-22,1080
2017-07-23,1082
2017-07-24,1078
2017-07-25,1058
2017-07-26,1089
2017-07-27,1132
2017-07-28,1124
2017-07-29,1083
2017-07-30,1100
2017-07-31,1100
2017-08-01,1096
2017-08-02,1082
2017-08-03,1085
2017-08-04,1101
2017-08-05,1094
2017-08-06,1080
2017-08-09,1094
2017-08-10,1124
2017-08-11,1159
2017-08-12,1159
2017-08-13,1134
2017-08-14,1152
2017-08-15,1152
2017-08-17,1175
2017-08-18,1175
2017-08-19,1183
2017-08-20,1186
2017-08-21,1191
2017-08-22,1202
2017-08-23,1228
2017-08-24,1240
2017-08-25,1230
2017-08-26,1228
2017-08-27,1218
2017-08-28,1223
2017-08-29,1223
2017-08-30,1212
2017-08-31,1205
2017-09-01,1216
2017-09-02,1193
2017-09-03,1193
2017-09-04,1173
2017-09-05,1185
2017-09-06,1179
2017-09-07,1185
2017-09-08,1185
2017-09-09,1223
2017-09-10,1233
2017-09-11,1225
2017-09-12,1225
2017-09-13,1207
2017-09-14,1191
2017-09-15,1191
2017-09-16,1164
2017-09-17,1153
2017-09-19,1066
2017-09-20,1061
2017-09-21,1065
2017-09-22,1077
2017-09-23,1105
2017-09-24,1109
2017-09-25,1097
2017-09-26,1095
2017-09-27,1103
2017-09-28,1094
2017-09-29,1101
2017-09-30,1059
2017-10-01,1051
2017-10-02,1036
2017-10-03,1006
2017-10-04,1006
2017-10-05,986
2017-10-06,978
2017-10-07,955
2017-10-08,973
2017-10-09,1007
2017-10-10,1010
2017-10-11,1010
2017-10-12,995
2017-10-13,966
2017-10-14,968
2017-10-15,968
2017-10-16,954
2017-10-17,954
2017-10-18,989
2017-10-19,1036
2017-10-20,1041
2017-10-21,1040
2017-10-22,1029
2017-10-23,1041
2017-10-24,1082
2017-10-25,1127
2017-10-26,1178
2017-10-27,1154
2017-10-28,1154
2017-10-29,1146
2017-10-30,1120
2017-10-31,1079
2017-11-01,1079
2017-11-02,1041
2017-11-03,1052
2017-11-04,1078
2017-11-05,1026
2017-11-06,1002
2017-11-07,1026
2017-11-08,1030
2017-11-09,1033
2017-11-10,1042
2017-11-11,1081
2017-11-12,1093
2017-11-13,1108
2017-11-14,1094
2017-11-15,1128
2017-11-16,1119
2017-11-17,1126
2017-11-18,1126
2017-11-19,1178
2017-11-20,1235
2017-11-21,1294
2017-11-22,1334
2017-11-23,1336
2017-11-24,1333
2017-11-25,1359
2017-11-26,1388
2017-11-27,1388
2017-11-28,1368
2017-11-29,1366
2017-11-30,1361
2017-12-01,1369
2017-12-02,1348
2017-12-03,1346
2017-12-04,1350
2017-12-05,1361
2017-12-06,1362
2017-12-07,1377
2017-12-08,1377
2017-12-09,1339
2017-12-10,1314
2017-12-11,1292
2017-12-12,1242
2017-12-13,1179
2017-12-14,1137
2017-12-15,1112
2017-12-16,1092
2017-12-17,1091
2017-12-18,1122
2017-12-19,1179
2017-12-20,1238
2017-12-21,1298
2017-12-22,1342
2017-12-23,1379
2017-12-24,1409
2017-12-25,1413
2017-12-26,1398
2017-12-27,1395
2017-12-28,1430
2017-12-29,1445
2017-12-30,1439
2017-12-31,1395
2018-01-01,1385
2018-01-02,1345
2018-01-03,1320
2018-01-04,1291
2018-01-05,1246
2018-01-06,1233
2018-01-07,1215
2018-01-08,1207
2018-01-09,1206
2018-01-10,1236
2018-01-11,1259
2018-01-12,1254
2018-01-13,1248
2018-01-14,1241
2018-01-15,1251
2018-01-16,1250
2018-01-17,1246
2018-01-18,1297
2018-01-19,1297
2018-01-20,1282
2018-01-21,1291
2018-01-22,1268
2018-01-23,1244
2018-01-24,1242
2018-01-25,1252
2018-01-26,1240
2018-01-27,1250
2018-01-28,1263
2018-01-29,1256
2018-01-30,1228
2018-02-01,1173
2018-02-02,1174
2018-02-04,1170
2018-02-05,1167
2018-02-06,1173
2018-02-07,1160
2018-02-08,1114
2018-02-09,1087
2018-02-10,1060
2018-02-11,1039
2018-02-12,1057
2018-02-13,1082
2018-02-14,1092
2018-02-15,1096
2018-02-16,1108
2018-02-17,1136
2018-02-18,1129
2018-02-19,1141
2018-02-20,1153
2018-02-21,1163
2018-02-22,1143
2018-02-23,1125
2018-02-24,1099
2018-02-25,1092
2018-02-26,1099
2018-02-27,1137
2018-02-28,1119
2018-03-01,1098
2018-03-02,1086
2018-03-03,1071
2018-03-04,1054
2018-03-05,1080
2018-03-06,1121
2018-03-07,1070
2018-03-08,1074
2018-03-09,1050
2018-03-10,1043
2018-03-11,1048
2018-03-12,1061
2018-03-13,1055
2018-03-14,1054
2018-03-15,1097
2018-03-16,1136
2018-03-17,1138
2018-03-18,1137
2018-03-19,1142
2018-03-20,1134
2018-03-21,1122
2018-03-23,1112
2018-03-24,1113
2018-03-26,1146
2018-03-27,1170
2018-03-28,1169
