date_obj,Spined%20body price
2018-06-20,4343
2018-06-21,4343
2018-06-22,4266
2018-06-23,4266
2018-06-24,4266
2018-06-25,4317
2018-06-26,4317
2018-06-27,4317
2018-06-28,4330
2018-06-29,4330
2018-06-30,4341
2018-07-01,4341
2018-07-02,4341
2018-07-03,4352
2018-07-04,4352
2018-07-05,4352
2018-07-06,4286
2018-07-07,4286
2018-07-08,4326
2018-07-09,4326
2018-07-10,4367
2018-07-11,4367
2018-07-12,4367
2018-07-13,4394
2018-07-14,4394
2018-07-15,4362
2018-07-16,4362
2018-07-17,4327
2018-07-18,4327
2018-07-19,4327
2018-07-20,4316
2018-07-21,4316
2018-07-22,4432
2018-07-23,4432
2018-07-24,4398
2018-07-25,4398
2018-07-26,4322
2018-07-27,4322
2018-07-28,4314
2018-07-29,4314
2018-07-30,4347
2018-07-31,4444
2018-08-01,4444
2018-08-02,4565
2018-08-03,4565
2018-08-04,4626
2018-08-05,4626
2018-08-06,4541
2018-08-07,4541
2018-08-08,4394
2018-08-09,4394
2018-08-10,4394
2018-08-11,4450
2018-08-12,4450
2018-08-14,4457
2018-08-16,4507
2018-08-17,4461
2018-08-18,4461
2018-08-19,4461
2018-08-20,4498
2018-08-21,4498
2018-08-22,4498
2018-08-23,4523
2018-08-24,4523
2018-08-25,4400
2018-08-26,4400
2018-08-27,4405
2018-08-28,4405
2018-08-29,4551
2018-08-30,4551
2018-08-31,4581
2018-09-01,4581
2018-09-02,4495
2018-09-03,4495
2018-09-04,4490
2018-09-05,4490
2018-09-06,4490
2018-09-07,4609
2018-09-08,4609
2018-09-09,4578
2018-09-10,4578
2018-09-11,4578
2018-09-12,4627
2018-09-13,4627
2018-09-14,4672
2018-09-15,4672
2018-09-16,4672
2018-09-17,4555
2018-09-18,4555
2018-09-19,4496
2018-09-20,4496
2018-09-21,4496
2018-09-22,4491
2018-09-23,4491
2018-09-24,4465
2018-09-25,4465
2018-09-26,4465
2018-09-27,4555
2018-09-28,4555
2018-09-29,4555
2018-09-30,4589
2018-10-02,4517
2018-10-03,4445
2018-10-04,4445
2018-10-05,4445
2018-10-06,4486
2018-10-07,4486
2018-10-08,4486
2018-10-09,4711
2018-10-10,4711
2018-10-11,4942
2018-10-12,4942
2018-10-13,5189
2018-10-14,5189
2018-10-15,5449
2018-10-16,5449
2018-10-17,5449
2018-10-18,5722
2018-10-19,5722
2018-10-20,5722
2018-10-21,6009
2018-10-22,6009
2018-10-23,5814
2018-10-24,5814
2018-10-25,5612
2018-10-26,5612
2018-10-27,5427
2018-10-28,5427
2018-10-29,5185
2018-10-30,5185
2018-10-31,4976
2018-11-01,4976
2018-11-03,5131
2018-11-04,5054
2018-11-05,5039
2018-11-06,5039
2018-11-07,5159
2018-11-08,5159
2018-11-09,5226
2018-11-10,5226
2018-11-11,5160
2018-11-12,4972
2018-11-13,4972
2018-11-14,4818
2018-11-15,4818
2018-11-16,4941
2018-11-17,4941
2018-11-18,4948
2018-11-19,4948
2018-11-20,4776
2018-11-21,4776
2018-11-22,4667
2018-11-23,4667
2018-11-24,4619
2018-11-25,4508
2018-11-26,4508
2018-11-27,4505
2018-11-28,4505
2018-11-29,4540
