date_obj,Saradomin%20hilt price
2018-06-14,46035177
2018-06-15,46035177
2018-06-16,46035177
2018-06-17,46035177
2018-06-18,46035177
2018-06-19,46035177
2018-06-20,46035177
2018-06-21,43931500
2018-06-22,43931500
2018-06-23,43931500
2018-06-24,43931500
2018-06-25,43931500
2018-06-26,43931500
2018-06-27,43931500
2018-06-28,43931500
2018-06-29,43931500
2018-06-30,43931500
2018-07-01,43931500
2018-07-02,43931500
2018-07-03,43931500
2018-07-04,43931500
2018-07-05,43931500
2018-07-06,43931500
2018-07-07,43931500
2018-07-08,43931500
2018-07-09,42221047
2018-07-10,42221047
2018-07-11,42221047
2018-07-12,42221047
2018-07-13,42221047
2018-07-14,42221047
2018-07-15,42221047
2018-07-16,42221047
2018-07-17,42221047
2018-07-18,42221047
2018-07-19,42221047
2018-07-20,42221047
2018-07-21,42221047
2018-07-22,42221047
2018-07-23,42221047
2018-07-24,42385515
2018-07-25,42385515
2018-07-26,42385515
2018-07-27,42385515
2018-07-28,42385515
2018-07-29,42385515
2018-07-30,42385515
2018-07-31,42385515
2018-08-01,42385515
2018-08-02,42385515
2018-08-03,42385515
2018-08-04,42385515
2018-08-05,42385515
2018-08-06,42385515
2018-08-07,42385515
2018-08-08,42385515
2018-08-09,42385515
2018-08-10,42385515
2018-08-11,42119924
2018-08-12,42119924
2018-08-14,42119924
2018-08-16,42119924
2018-08-17,42119924
2018-08-18,42119924
2018-08-19,42119924
2018-08-20,42119924
2018-08-21,42119924
2018-08-22,42119924
2018-08-23,42119924
2018-08-24,42119924
2018-08-25,42119924
2018-08-26,42119924
2018-08-27,42119924
2018-08-28,42119924
2018-08-29,41880374
2018-08-30,41880374
2018-08-31,41880374
2018-09-01,41880374
2018-09-02,41880374
2018-09-03,41880374
2018-09-04,41880374
2018-09-05,41880374
2018-09-06,41880374
2018-09-07,41880374
2018-09-08,41880374
2018-09-09,41880374
2018-09-10,41880374
2018-09-11,41880374
2018-09-12,41880374
2018-09-13,41880374
2018-09-14,41880374
2018-09-15,41658158
2018-09-16,41658158
2018-09-17,41658158
2018-09-18,41658158
2018-09-19,41658158
2018-09-20,41658158
2018-09-21,41658158
2018-09-22,41658158
2018-09-23,41658158
2018-09-24,41658158
2018-09-25,41658158
2018-09-26,41658158
2018-09-27,41658158
2018-09-28,41658158
2018-09-29,41658158
2018-09-30,41658158
2018-10-02,41933494
2018-10-03,41933494
2018-10-04,41933494
2018-10-05,41933494
2018-10-06,41933494
2018-10-07,41933494
2018-10-08,41933494
2018-10-09,41933494
2018-10-10,41933494
2018-10-11,41933494
2018-10-12,41933494
2018-10-13,41933494
2018-10-14,41933494
2018-10-15,41933494
2018-10-16,41933494
2018-10-17,42620859
2018-10-18,42620859
2018-10-19,42620859
2018-10-20,42620859
2018-10-21,42620859
2018-10-22,42620859
2018-10-23,42620859
2018-10-24,42620859
2018-10-25,42620859
2018-10-26,42620859
2018-10-27,42620859
2018-10-28,42620859
2018-10-29,42620859
2018-10-30,42620859
2018-10-31,42620859
2018-11-01,42620859
2018-11-03,43558190
2018-11-04,43558190
2018-11-05,43558190
2018-11-06,43558190
2018-11-07,43558190
2018-11-08,43558190
