date_obj,Iron%20battleaxe price
2017-01-22,10
2017-01-23,10
2017-01-27,11
2017-01-28,11
2017-01-29,11
2017-01-30,12
2017-01-31,12
2017-02-01,12
2017-02-02,13
2017-02-03,13
2017-02-04,13
2017-02-05,13
2017-02-06,13
2017-02-07,13
2017-02-08,13
2017-02-09,13
2017-02-10,14
2017-02-11,14
2017-02-12,14
2017-02-13,14
2017-02-14,14
2017-02-15,14
2017-02-16,14
2017-02-18,14
2017-02-19,14
2017-02-20,14
2017-02-21,14
2017-02-22,14
2017-02-23,14
2017-02-24,14
2017-02-25,14
2017-02-26,14
2017-02-27,14
2017-02-28,14
2017-03-01,14
2017-03-02,14
2017-03-03,14
2017-03-04,15
2017-03-05,15
2017-03-06,15
2017-03-07,15
2017-03-08,16
2017-03-09,16
2017-03-10,16
2017-03-11,16
2017-03-12,16
2017-03-13,16
2017-03-14,16
2017-03-15,16
2017-03-16,16
2017-03-17,16
2017-03-18,16
2017-03-19,16
2017-03-20,16
2017-03-21,16
2017-03-22,16
2017-03-23,17
2017-03-24,17
2017-03-25,17
2017-03-26,17
2017-03-27,18
2017-03-28,18
2017-03-29,18
2017-03-30,18
2017-03-31,18
2017-04-01,18
2017-04-02,18
2017-04-04,18
2017-04-12,18
2017-04-13,19
2017-04-14,19
2017-04-15,19
2017-04-16,19
2017-04-17,19
2017-04-18,19
2017-04-19,20
2017-04-20,20
2017-04-21,20
2017-04-22,20
2017-04-23,21
2017-04-24,21
2017-04-25,21
2017-04-26,21
2017-04-27,21
2017-04-28,21
2017-04-29,21
2017-04-30,21
2017-05-01,21
2017-05-02,21
2017-05-03,21
2017-05-04,22
2017-05-05,22
2017-05-06,22
2017-05-07,22
2017-05-08,21
2017-05-09,21
2017-05-10,21
2017-05-11,21
2017-05-12,21
2017-05-13,21
2017-05-14,21
2017-05-15,21
2017-05-16,20
2017-05-17,20
2017-05-18,20
2017-05-19,20
2017-05-20,19
2017-05-21,19
2017-05-22,19
2017-05-23,19
2017-05-24,19
2017-05-25,19
2017-05-26,19
2017-05-27,19
2017-05-28,19
2017-05-29,19
2017-05-30,19
2017-05-31,19
2017-06-01,19
2017-06-02,19
2017-06-03,19
2017-06-04,19
2017-06-06,19
2017-06-07,19
2017-06-08,19
2017-06-09,19
2017-06-10,19
2017-06-11,19
2017-06-12,19
2017-06-13,19
2017-06-14,20
2017-06-15,20
2017-06-16,20
2017-06-17,20
2017-06-18,20
2017-06-19,20
2017-06-20,20
2017-06-21,20
2017-06-22,20
2017-06-23,20
2017-06-24,20
2017-06-25,19
2017-06-26,19
2017-06-27,19
2017-06-28,19
2017-06-29,19
2017-06-30,19
2017-07-01,19
2017-07-02,19
2017-07-03,19
2017-07-04,19
2017-07-05,19
2017-07-06,19
2017-07-07,19
2017-07-08,19
2017-07-13,19
2017-07-14,19
2017-07-15,19
2017-07-16,19
2017-07-17,19
2017-07-18,19
2017-07-19,19
2017-07-20,19
2017-07-21,19
2017-07-22,19
2017-07-23,19
2017-07-24,19
2017-07-25,19
2017-07-26,19
2017-07-27,19
2017-07-28,19
2017-07-29,19
2017-07-30,19
2017-07-31,19
2017-08-01,19
2017-08-02,19
2017-08-03,19
2017-08-04,19
2017-08-05,19
2017-08-06,19
2017-08-09,19
2017-08-10,19
2017-08-11,19
2017-08-12,19
2017-08-13,19
2017-08-14,19
2017-08-15,19
2017-08-16,19
2017-08-17,19
2017-08-18,19
2017-08-19,19
2017-08-20,19
2017-08-21,19
2017-08-22,19
2017-08-23,19
2017-08-24,19
2017-08-25,19
2017-08-26,19
2017-08-27,19
2017-08-28,19
2017-08-29,19
2017-08-30,18
2017-08-31,18
2017-09-01,18
2017-09-02,18
2017-09-03,18
2017-09-04,18
2017-09-05,17
2017-09-06,17
2017-09-07,17
2017-09-08,17
2017-09-09,17
2017-09-10,17
2017-09-11,17
2017-09-12,17
2017-09-13,17
2017-09-14,17
2017-09-15,17
2017-09-16,17
2017-09-17,17
2017-09-19,17
2017-09-20,17
2017-09-21,17
2017-09-22,17
2017-09-23,17
2017-09-24,17
2017-09-25,17
2017-09-26,17
2017-09-27,17
2017-09-28,17
2017-09-29,17
2017-09-30,17
2017-10-01,17
2017-10-02,17
2017-10-03,17
2017-10-04,17
2017-10-05,17
2017-10-06,17
2017-10-07,17
2017-10-08,17
2017-10-09,17
2017-10-10,17
2017-10-11,17
2017-10-12,17
2017-10-13,17
2017-10-14,17
2017-10-15,17
2017-10-16,17
2017-10-17,17
2017-10-18,17
2017-10-19,17
2017-10-20,17
2017-10-21,17
2017-10-22,17
2017-10-23,16
2017-10-24,16
2017-10-25,16
2017-10-26,16
2017-10-27,16
2017-10-28,16
2017-10-29,15
2017-10-30,15
2017-10-31,15
2017-11-01,15
2017-11-02,14
2017-11-03,14
2017-11-04,14
2017-11-05,13
2017-11-06,13
2017-11-07,13
