date_obj,Yellow%20robe%20bottoms price
2017-11-29,590
2017-11-30,590
2017-12-01,590
2017-12-02,590
2017-12-03,590
2017-12-04,590
2017-12-05,592
2017-12-06,592
2017-12-07,592
2017-12-08,592
2017-12-09,592
2017-12-10,592
2017-12-11,592
2017-12-12,592
2017-12-13,592
2017-12-14,592
2017-12-15,592
2017-12-16,592
2017-12-17,592
2017-12-18,592
2017-12-19,592
2017-12-20,592
2017-12-21,605
2017-12-22,605
2017-12-23,605
2017-12-24,605
2017-12-25,605
2017-12-26,605
2017-12-27,605
2017-12-28,605
2017-12-29,605
2017-12-30,605
2017-12-31,605
2018-01-01,605
2018-01-02,605
2018-01-03,605
2018-01-04,605
2018-01-05,596
2018-01-06,596
2018-01-07,596
2018-01-08,596
2018-01-09,596
2018-01-10,596
2018-01-11,596
2018-01-12,596
2018-01-13,596
2018-01-14,596
2018-01-15,596
2018-01-16,596
2018-01-17,596
2018-01-18,596
2018-01-19,596
2018-01-20,596
2018-01-21,609
2018-01-22,609
2018-01-23,609
2018-01-24,609
2018-01-25,609
2018-01-26,609
2018-01-27,609
2018-01-28,609
2018-01-29,619
2018-01-30,619
2018-02-01,619
2018-02-02,619
2018-02-03,619
2018-02-04,619
2018-02-05,619
2018-02-06,619
2018-02-07,619
2018-02-08,629
2018-02-09,629
2018-02-10,629
2018-02-11,629
2018-02-12,629
2018-02-13,629
2018-02-14,629
2018-02-15,629
2018-02-16,629
2018-02-17,626
2018-02-18,626
2018-02-19,626
2018-02-20,626
2018-02-21,626
2018-02-22,626
2018-02-23,626
2018-02-24,626
2018-02-25,641
2018-02-26,641
2018-02-27,641
2018-02-28,641
2018-03-01,641
2018-03-02,641
2018-03-03,641
2018-03-04,641
2018-03-05,641
2018-03-06,643
2018-03-07,643
2018-03-08,643
2018-03-09,643
2018-03-10,643
2018-03-11,643
2018-03-12,643
2018-03-13,643
2018-03-14,643
2018-03-15,651
2018-03-16,651
2018-03-17,651
2018-03-18,651
2018-03-20,651
2018-03-21,651
2018-03-23,651
2018-03-24,651
2018-03-26,650
2018-03-27,650
2018-03-28,650
2018-03-29,650
2018-03-30,650
2018-03-31,650
2018-04-01,650
2018-04-02,650
2018-04-03,650
2018-04-04,650
2018-04-05,656
2018-04-06,656
2018-04-08,656
2018-04-09,656
2018-04-10,656
2018-04-11,656
2018-04-12,656
2018-04-13,656
2018-04-14,656
2018-04-16,670
2018-04-17,670
2018-04-18,670
2018-04-19,670
2018-04-20,670
2018-04-21,670
2018-04-22,670
2018-04-23,670
2018-04-24,670
2018-04-25,670
2018-04-26,670
2018-04-27,670
2018-04-28,670
2018-04-29,673
2018-04-30,673
2018-05-02,673
2018-05-03,673
2018-05-04,673
2018-05-05,673
2018-05-06,673
2018-05-07,673
2018-05-08,673
2018-05-09,673
2018-05-10,680
2018-05-11,680
2018-05-12,680
2018-05-13,680
2018-05-14,680
2018-05-15,680
2018-05-16,680
2018-05-17,680
2018-05-18,680
2018-05-19,680
2018-05-20,663
2018-05-21,663
2018-05-22,663
2018-05-23,663
2018-05-24,663
2018-05-25,663
2018-05-26,663
2018-05-27,663
2018-05-28,663
2018-05-29,663
2018-05-30,663
2018-05-31,678
2018-06-01,678
2018-06-02,678
2018-06-03,678
2018-06-04,678
2018-06-05,678
2018-06-06,678
2018-06-07,678
2018-06-08,678
2018-06-09,678
2018-06-10,670
2018-06-11,670
2018-06-12,670
2018-06-13,670
2018-06-14,670
2018-06-15,670
2018-06-16,670
2018-06-17,670
2018-06-18,670
2018-06-19,670
2018-06-20,670
2018-06-21,666
2018-06-22,666
2018-06-23,666
2018-06-24,666
2018-06-25,666
2018-06-26,666
2018-06-27,666
2018-06-28,666
2018-06-29,666
2018-06-30,666
2018-07-01,665
2018-07-02,665
2018-07-03,665
2018-07-04,665
2018-07-05,665
2018-07-06,665
2018-07-07,665
2018-07-08,665
2018-07-09,665
2018-07-10,665
2018-07-11,677
2018-07-12,677
2018-07-13,677
2018-07-14,677
2018-07-15,677
2018-07-16,677
2018-07-17,677
2018-07-18,677
2018-07-19,677
2018-07-20,677
2018-07-21,696
2018-07-22,696
2018-07-23,696
2018-07-24,696
2018-07-25,696
2018-07-26,696
2018-07-27,696
2018-07-28,696
2018-07-29,727
2018-07-30,727
2018-07-31,727
2018-08-01,727
2018-08-02,727
2018-08-03,727
2018-08-04,761
2018-08-05,761
2018-08-06,761
2018-08-07,761
2018-08-08,761
2018-08-09,761
2018-08-10,761
2018-08-11,767
2018-08-12,767
2018-08-14,767
2018-08-16,767
2018-08-17,767
2018-08-18,789
2018-08-19,789
2018-08-20,789
2018-08-21,789
2018-08-22,789
2018-08-23,789
2018-08-24,794
2018-08-25,794
2018-08-26,794
2018-08-27,794
2018-08-28,794
2018-08-29,794
2018-08-30,794
2018-08-31,808
2018-09-01,808
2018-09-02,808
2018-09-03,808
2018-09-04,808
2018-09-05,808
2018-09-06,803
2018-09-07,803
2018-09-08,803
