date_obj,Blue%20hat price
2016-09-16,907
2016-09-17,907
2016-09-18,907
2016-09-19,907
2016-09-20,907
2016-09-21,907
2016-09-22,907
2016-09-23,907
2016-09-24,907
2016-09-25,894
2016-09-26,894
2016-09-27,894
2016-09-28,894
2016-09-29,894
2016-09-30,894
2016-10-01,894
2016-10-02,894
2016-10-03,894
2016-10-04,889
2016-10-05,889
2016-10-06,889
2016-10-07,889
2016-10-08,889
2016-10-09,889
2016-10-10,889
2016-10-11,889
2016-10-12,889
2016-10-13,889
2016-10-14,857
2016-10-15,857
2016-10-16,857
2016-10-17,857
2016-10-18,857
2016-10-19,857
2016-10-20,857
2016-10-21,857
2016-10-22,871
2016-10-23,871
2016-10-24,871
2016-10-25,871
2016-10-26,871
2016-10-27,871
2016-10-28,871
2016-10-29,871
2016-10-30,873
2016-10-31,873
2016-11-01,873
2016-11-02,873
2016-11-03,873
2016-11-04,873
2016-11-05,873
2016-11-06,873
2016-11-07,866
2016-11-08,866
2016-11-09,866
2016-11-10,866
2016-11-11,866
2016-11-12,866
2016-11-13,866
2016-11-14,866
2016-11-15,866
2016-12-07,898
2016-12-08,898
2016-12-09,898
2016-12-10,898
2016-12-11,898
2016-12-12,897
2016-12-13,897
2016-12-14,897
2016-12-15,897
2016-12-16,897
2016-12-17,897
2016-12-18,897
2016-12-19,897
2016-12-20,888
2016-12-21,888
2016-12-22,888
2016-12-23,888
2016-12-24,888
2016-12-25,888
2016-12-26,888
2016-12-27,921
2016-12-28,921
2016-12-29,921
2016-12-30,921
2016-12-31,921
2017-01-01,921
2017-01-02,921
2017-01-03,943
2017-01-04,943
2017-01-05,943
2017-01-06,943
2017-01-07,943
2017-01-08,943
2017-01-09,943
2017-01-10,943
2017-01-11,961
2017-01-12,961
2017-01-13,961
2017-01-14,961
2017-01-15,961
2017-01-16,961
2017-01-17,961
2017-01-18,982
2017-01-19,982
2017-01-20,982
2017-01-21,982
2017-01-22,982
2017-01-23,982
2017-01-27,963
2017-01-28,963
2017-01-29,963
2017-01-30,963
2017-01-31,963
2017-02-01,963
2017-02-02,940
2017-02-03,940
2017-02-04,940
2017-02-05,940
2017-02-06,940
2017-02-07,940
2017-02-08,940
2017-02-09,932
2017-02-10,932
2017-02-11,932
2017-02-12,932
2017-02-13,932
2017-02-14,932
2017-02-15,932
2017-02-16,914
2017-02-18,914
2017-02-19,914
2017-02-20,914
2017-02-21,914
2017-02-22,914
2017-02-23,914
2017-02-24,914
2017-02-25,910
2017-02-26,910
2017-02-27,910
2017-02-28,910
2017-03-01,910
2017-03-02,910
2017-03-03,910
2017-03-04,910
2017-03-05,926
2017-03-06,926
2017-03-07,926
2017-03-08,926
2017-03-09,926
2017-03-10,926
2017-03-11,926
2017-03-12,928
2017-03-13,928
2017-03-14,928
2017-03-15,928
2017-03-16,928
2017-03-17,928
2017-03-18,928
2017-03-19,910
2017-03-20,910
2017-03-21,910
2017-03-22,910
2017-03-23,910
2017-03-24,910
2017-03-25,910
2017-03-26,899
2017-03-27,899
2017-03-28,899
2017-03-29,899
2017-03-30,899
2017-03-31,899
2017-04-01,899
2017-04-02,899
2017-04-03,855
2017-04-04,855
2017-04-12,815
2017-04-13,815
2017-04-14,815
2017-04-15,815
2017-04-16,776
2017-04-17,776
2017-04-18,776
2017-04-19,776
2017-04-20,776
2017-04-21,776
2017-04-22,776
2017-04-23,776
2017-04-24,776
2017-04-25,776
2017-04-26,776
2017-04-27,776
2017-04-28,776
2017-04-29,784
2017-04-30,784
2017-05-01,784
2017-05-02,784
2017-05-03,784
2017-05-04,784
2017-05-05,784
2017-05-06,768
2017-05-07,768
2017-05-08,768
2017-05-09,768
2017-05-10,768
2017-05-11,768
2017-05-12,758
2017-05-13,758
2017-05-14,758
2017-05-15,758
2017-05-16,758
2017-05-17,758
2017-05-18,787
2017-05-19,787
2017-05-20,787
2017-05-21,787
2017-05-22,787
2017-05-23,787
2017-05-24,787
2017-05-25,801
2017-05-26,801
2017-05-27,801
2017-05-28,801
2017-05-29,801
2017-05-30,801
2017-05-31,822
2017-06-01,822
2017-06-02,822
2017-06-03,822
2017-06-04,822
2017-06-05,822
2017-06-06,815
2017-06-07,815
2017-06-08,815
2017-06-09,815
2017-06-10,815
2017-06-11,815
2017-06-12,793
2017-06-13,793
2017-06-14,793
2017-06-15,793
2017-06-16,793
2017-06-17,793
2017-06-18,793
2017-06-19,788
2017-06-20,788
2017-06-21,788
2017-06-22,788
2017-06-23,788
