date_obj,Shark price
2017-08-29,957
2017-08-30,956
2017-08-31,964
2017-09-01,967
2017-09-02,971
2017-09-03,975
2017-09-04,982
2017-09-05,1009
2017-09-06,1021
2017-09-07,1006
2017-09-08,997
2017-09-09,996
2017-09-10,1006
2017-09-11,1000
2017-09-12,993
2017-09-13,989
2017-09-14,985
2017-09-15,981
2017-09-16,978
2017-09-17,982
2017-09-19,980
2017-09-20,976
2017-09-21,977
2017-09-22,979
2017-09-23,975
2017-09-24,975
2017-09-25,971
2017-09-26,965
2017-09-27,953
2017-09-28,917
2017-09-29,888
2017-09-30,885
2017-10-01,886
2017-10-02,896
2017-10-03,895
2017-10-04,902
2017-10-05,895
2017-10-06,884
2017-10-07,879
2017-10-08,874
2017-10-09,866
2017-10-10,860
2017-10-11,854
2017-10-12,843
2017-10-13,839
2017-10-14,831
2017-10-15,825
2017-10-16,813
2017-10-17,810
2017-10-18,804
2017-10-19,798
2017-10-20,793
2017-10-21,806
2017-10-22,810
2017-10-23,802
2017-10-24,793
2017-10-25,783
2017-10-26,774
2017-10-27,767
2017-10-28,778
2017-10-29,768
2017-10-30,764
2017-10-31,765
2017-11-01,756
2017-11-02,746
2017-11-03,740
2017-11-04,735
2017-11-05,727
2017-11-06,716
2017-11-07,705
2017-11-08,697
2017-11-09,697
2017-11-10,721
2017-11-11,742
2017-11-12,752
2017-11-13,728
2017-11-14,727
2017-11-15,728
2017-11-16,725
2017-11-17,723
2017-11-18,724
2017-11-19,720
2017-11-20,719
2017-11-21,715
2017-11-22,714
2017-11-23,720
2017-11-24,736
2017-11-25,762
2017-11-26,770
2017-11-27,789
2017-11-28,783
2017-11-29,779
2017-11-30,767
2017-12-01,743
2017-12-02,721
2017-12-03,711
2017-12-04,705
2017-12-05,707
2017-12-06,706
2017-12-07,709
2017-12-08,712
2017-12-09,711
2017-12-10,713
2017-12-11,716
2017-12-12,717
2017-12-13,714
2017-12-14,712
2017-12-15,712
2017-12-16,708
2017-12-17,705
2017-12-18,701
2017-12-19,697
2017-12-20,692
2017-12-21,688
2017-12-22,681
