date_obj,Mithril%20crossbow%20(u) price
2018-06-09,529
2018-06-10,529
2018-06-11,529
2018-06-12,529
2018-06-13,531
2018-06-14,531
2018-06-15,531
2018-06-16,531
2018-06-17,531
2018-06-18,531
2018-06-19,531
2018-06-20,531
2018-06-21,531
2018-06-22,531
2018-06-23,531
2018-06-24,531
2018-06-25,533
2018-06-26,533
2018-06-27,533
2018-06-28,533
2018-06-29,533
2018-06-30,533
2018-07-01,533
2018-07-02,533
2018-07-03,533
2018-07-04,533
2018-07-05,533
2018-07-06,533
2018-07-07,539
2018-07-08,539
2018-07-09,539
2018-07-10,539
2018-07-11,539
2018-07-12,539
2018-07-13,539
2018-07-14,539
2018-07-15,539
2018-07-16,539
2018-07-17,539
2018-07-18,539
2018-07-19,539
2018-07-20,512
2018-07-21,512
2018-07-22,512
2018-07-23,512
2018-07-24,512
2018-07-25,512
2018-07-26,512
2018-07-27,533
2018-07-28,533
2018-07-29,533
2018-07-30,533
2018-07-31,533
2018-08-01,533
2018-08-02,534
2018-08-03,534
2018-08-04,534
2018-08-05,534
2018-08-06,534
2018-08-07,534
2018-08-08,528
2018-08-09,528
2018-08-10,528
2018-08-11,528
2018-08-12,528
2018-08-14,543
2018-08-16,543
2018-08-17,543
2018-08-18,543
2018-08-19,543
2018-08-20,552
2018-08-21,552
2018-08-22,552
2018-08-23,552
2018-08-24,552
2018-08-25,552
2018-08-26,552
2018-08-27,552
2018-08-28,552
2018-08-29,552
2018-08-30,552
2018-08-31,552
2018-09-01,529
2018-09-02,529
2018-09-03,529
2018-09-04,529
2018-09-05,529
2018-09-06,529
2018-09-07,529
2018-09-08,529
2018-09-09,529
2018-09-10,529
2018-09-11,529
2018-09-12,529
2018-09-13,523
2018-09-14,523
2018-09-15,523
2018-09-16,523
2018-09-17,523
2018-09-18,523
2018-09-19,511
2018-09-20,511
2018-09-21,511
2018-09-22,511
2018-09-23,511
2018-09-24,511
2018-09-25,517
2018-09-26,517
2018-09-27,517
2018-09-28,517
2018-09-29,517
2018-09-30,517
2018-10-02,540
2018-10-03,540
2018-10-04,540
2018-10-05,540
2018-10-06,540
2018-10-07,540
2018-10-08,565
2018-10-09,565
2018-10-10,565
2018-10-11,565
2018-10-12,565
2018-10-13,565
2018-10-14,565
2018-10-15,587
2018-10-16,587
2018-10-17,587
2018-10-18,587
2018-10-19,587
2018-10-20,587
2018-10-21,587
2018-10-22,587
2018-10-23,587
2018-10-24,583
2018-10-25,583
2018-10-26,583
2018-10-27,583
2018-10-28,583
2018-10-29,583
2018-10-30,583
2018-10-31,583
2018-11-01,568
2018-11-03,568
2018-11-04,568
2018-11-05,568
2018-11-06,589
2018-11-07,589
2018-11-08,589
2018-11-09,589
2018-11-10,568
2018-11-11,568
2018-11-12,568
2018-11-13,561
2018-11-14,561
2018-11-15,561
2018-11-16,548
2018-11-17,548
2018-11-18,548
2018-11-19,548
2018-11-20,548
2018-11-21,548
2018-11-22,548
2018-11-23,548
2018-11-24,575
2018-11-25,575
2018-11-26,575
2018-11-27,597
2018-11-28,597
2018-11-29,597
2018-12-01,620
2018-12-02,620
2018-12-03,620
2018-12-04,620
2018-12-05,621
2018-12-07,621
2018-12-09,604
2018-12-10,604
2018-12-11,604
2018-12-12,601
2018-12-13,601
2018-12-14,601
2018-12-15,601
2018-12-16,575
2018-12-17,575
2018-12-18,575
2018-12-19,575
2018-12-20,580
2018-12-21,580
2018-12-22,580
2018-12-23,580
2018-12-24,601
2018-12-25,601
2018-12-26,601
2018-12-27,601
2018-12-28,603
2018-12-29,603
2018-12-30,603
2018-12-31,603
2019-01-01,627
2019-01-02,627
2019-01-03,627
2019-01-04,627
2019-01-05,611
2019-01-06,611
2019-01-08,611
2019-01-10,599
2019-01-11,599
2019-01-12,599
2019-01-13,587
2019-01-14,587
2019-01-15,587
2019-01-16,587
2019-01-17,578
2019-01-18,578
2019-01-19,578
2019-01-20,578
2019-01-21,568
2019-01-22,568
2019-01-23,568
2019-01-24,568
2019-01-25,547
2019-01-26,547
2019-01-27,547
2019-01-28,547
2019-01-29,533
2019-01-30,533
2019-01-31,533
2019-02-01,533
2019-02-02,533
2019-02-03,507
2019-02-04,507
2019-02-05,507
2019-02-06,507
2019-02-07,524
2019-02-08,524
2019-02-09,524
2019-02-10,524
2019-02-11,526
2019-02-12,526
2019-02-13,526
2019-02-14,526
2019-02-15,550
2019-02-16,550
2019-02-17,550
2019-02-18,550
2019-02-19,550
2019-02-20,544
2019-02-21,544
2019-02-22,544
2019-02-23,544
2019-02-24,542
2019-02-25,542
2019-02-26,542
2019-02-27,542
2019-02-28,542
2019-03-01,542
2019-03-02,542
2019-03-03,542
2019-03-04,542
2019-03-05,532
2019-03-06,532
2019-03-07,532
2019-03-08,532
2019-03-09,532
2019-03-10,532
2019-03-11,525
2019-03-12,525
2019-03-13,525
2019-03-14,525
2019-03-15,525
2019-03-16,525
2019-03-17,533
2019-03-18,533
2019-03-19,533
2019-03-20,533
2019-03-21,533
2019-03-22,533
2019-03-23,529
2019-03-24,529
2019-03-25,529
2019-03-26,529
2019-03-27,529
2019-03-28,529
2019-03-29,529
2019-03-30,504
2019-03-31,504
2019-04-01,504
2019-04-02,504
2019-04-03,504
2019-04-04,479
2019-04-05,479
2019-04-06,479
2019-04-07,479
2019-04-08,479
2019-04-09,479
2019-04-10,494
2019-04-11,494
2019-04-12,494
2019-04-13,494
2019-04-14,494
2019-04-15,494
2019-04-16,501
2019-04-17,501
2019-04-18,501
2019-04-19,501
2019-04-20,501
2019-04-21,501
2019-04-22,500
2019-04-23,500
2019-04-24,500
2019-04-25,500
2019-04-26,500
2019-04-27,500
2019-04-28,491
2019-04-29,491
2019-04-30,491
2019-05-01,491
2019-05-02,491
2019-05-03,476
2019-05-04,476
2019-05-05,476
2019-05-06,476
2019-05-07,476
2019-05-08,476
2019-05-09,476
2019-05-10,493
2019-05-11,493
2019-05-12,493
2019-05-13,493
2019-05-14,493
2019-05-15,493
2019-05-16,496
2019-05-17,496
2019-05-18,496
2019-05-19,496
2019-05-20,496
2019-05-21,496
2019-05-22,518
2019-05-23,518
2019-05-24,518
2019-05-25,518
2019-05-26,518
2019-05-27,518
2019-05-28,514
2019-05-29,514
2019-05-30,514
2019-05-31,514
2019-06-01,514
2019-06-02,514
2019-06-03,533
2019-06-04,533
2019-06-05,533
2019-06-06,533
2019-06-07,533
2019-06-08,533
2019-06-09,522
2019-06-10,522
2019-06-11,522
2019-06-12,522
2019-06-13,522
2019-06-14,522
2019-06-15,522
2019-06-16,532
2019-06-17,532
2019-06-18,532
2019-06-19,532
2019-06-20,532
2019-06-21,532
2019-06-22,532
2019-06-23,553
2019-06-24,553
2019-06-25,553
2019-06-26,553
2019-06-27,553
2019-06-28,553
2019-06-29,553
2019-06-30,553
2019-07-01,532
2019-07-02,532
2019-07-03,532
2019-07-04,532
2019-07-05,532
2019-07-06,532
2019-07-07,532
2019-07-08,524
2019-07-09,524
2019-07-10,524
2019-07-11,524
2019-07-12,524
2019-07-13,524
