date_obj,Gilded%20boots price
2017-02-28,7125643
2017-03-01,7125643
2017-03-02,7156015
2017-03-03,7156015
2017-03-04,7342364
2017-03-05,7342364
2017-03-06,7653382
2017-03-07,7653382
2017-03-08,7653382
2017-03-09,7610439
2017-03-10,7610439
2017-03-11,7407388
2017-03-12,7407388
2017-03-13,7276810
2017-03-14,7276810
2017-03-15,7085067
2017-03-16,7085067
2017-03-17,6945644
2017-03-18,6945644
2017-03-19,6776099
2017-03-20,6776099
2017-03-21,6540132
2017-03-22,6540132
2017-03-23,6396618
2017-03-24,6396618
2017-03-25,6410696
2017-03-26,6410696
2017-03-27,6558879
2017-03-28,6558879
2017-03-29,6485742
2017-03-30,6485742
2017-03-31,6678800
2017-04-01,6678800
2017-04-02,6678800
2017-04-03,6738792
2017-04-04,6738792
2017-04-12,6610960
2017-04-13,6340741
2017-04-14,6340741
2017-04-15,6191339
2017-04-16,6191339
2017-04-17,6198998
2017-04-18,6198998
2017-04-19,6083840
2017-04-20,6083840
2017-04-21,6183444
2017-04-22,6183444
2017-04-23,6037331
2017-04-24,6037331
2017-04-25,5979473
2017-04-26,5979473
2017-04-27,6103738
2017-04-28,6310563
2017-04-29,6580614
2017-04-30,6830791
2017-05-01,6830791
2017-05-02,7156160
2017-05-03,7156160
2017-05-04,7382875
2017-05-05,7526061
2017-05-06,7526061
2017-05-07,7513513
2017-05-08,7513513
2017-05-09,7477273
2017-05-10,7477273
2017-05-11,7583211
2017-05-12,7645182
2017-05-13,7624225
2017-05-14,7624225
2017-05-15,7636848
2017-05-16,7636848
2017-05-17,7546635
2017-05-18,7546635
2017-05-19,7426474
2017-05-20,7635942
2017-05-21,7635942
2017-05-22,7917049
2017-05-23,7917049
2017-05-24,8161632
2017-05-25,8161632
2017-05-26,8094764
2017-05-27,8094764
2017-05-28,7998663
2017-05-29,7998663
2017-05-30,7738177
2017-05-31,7738177
2017-06-01,7451319
2017-06-02,7451319
2017-06-03,7576761
2017-06-04,7576761
2017-06-05,7525227
2017-06-06,7525227
2017-06-07,7407173
2017-06-08,7407173
2017-06-09,7453963
2017-06-10,7456386
2017-06-11,7456386
2017-06-12,7402805
2017-06-13,7402805
2017-06-14,7241029
2017-06-15,7241029
2017-06-16,7034528
2017-06-17,7034528
2017-06-18,6950872
2017-06-19,6950872
2017-06-20,6828664
2017-06-21,6828664
2017-06-22,6828664
2017-06-23,6909132
2017-06-24,6909132
2017-06-25,6923355
2017-06-26,6923355
2017-06-27,6792234
2017-06-28,6792234
2017-06-29,6891471
2017-06-30,6891471
2017-07-01,7113365
2017-07-02,7113365
2017-07-03,7095267
2017-07-04,7364073
2017-07-05,7364073
2017-07-06,7541019
2017-07-07,7541019
2017-07-08,7541019
2017-07-13,7331168
2017-07-14,7147473
2017-07-15,7147473
2017-07-16,7147473
2017-07-17,7046786
2017-07-18,7046786
2017-07-19,6888957
2017-07-20,6895377
2017-07-21,6823722
2017-07-22,6993952
2017-07-23,7168903
2017-07-24,7168903
2017-07-25,7485410
2017-07-26,7485410
2017-07-27,7681522
2017-07-28,7848017
2017-07-29,7848017
2017-07-30,8074024
2017-07-31,8074024
2017-08-01,7889903
2017-08-02,7889903
2017-08-03,7812709
2017-08-04,7812709
2017-08-05,7760195
2017-08-06,7760195
2017-08-09,7649807
2017-08-10,7649807
2017-08-11,7551597
2017-08-12,7551597
2017-08-13,7336589
2017-08-14,7336589
2017-08-15,7389669
2017-08-16,7389669
2017-08-17,7455202
2017-08-18,7455202
2017-08-19,7467971
2017-08-20,7467971
2017-08-21,7533802
2017-08-22,7533802
2017-08-23,7430051
2017-08-24,7430051
2017-08-25,7267006
2017-08-26,7231696
2017-08-27,7231696
2017-08-28,7148185
2017-08-29,7148185
2017-08-30,6924652
2017-08-31,6924652
2017-09-01,6924652
2017-09-02,6709035
2017-09-03,6709035
2017-09-04,6432975
2017-09-05,6432975
2017-09-06,6291589
2017-09-07,6040339
2017-09-08,6040339
2017-09-09,5837670
2017-09-10,5837670
2017-09-11,5806569
2017-09-12,5806569
2017-09-13,5941719
2017-09-14,6139809
2017-09-15,6139809
2017-09-16,6415435
2017-09-17,6721696
2017-09-18,6721696
2017-09-19,6721696
2017-09-20,6955555
2017-09-21,6955555
2017-09-22,6898862
2017-09-23,6898862
2017-09-24,6828905
2017-09-25,6828905
2017-09-26,6746758
2017-09-27,6746758
2017-09-28,6740123
2017-09-29,6740123
2017-09-30,6754582
2017-10-01,6754582
2017-10-02,6794098
2017-10-03,6794098
2017-10-04,6794098
2017-10-05,6712740
2017-10-06,6712740
2017-10-07,6691763
2017-10-08,6691763
2017-10-09,6848355
2017-10-10,6848355
2017-10-11,7048060
2017-10-12,7247114
2017-10-13,7536475
2017-10-14,7536475
2017-10-15,7837510
2017-10-16,7930839
2017-10-17,7930839
2017-10-18,7771765
2017-10-19,7771765
2017-10-20,7751975
2017-10-21,7751975
2017-10-22,7748842
2017-10-23,7748842
2017-10-24,7810516
2017-10-25,7810516
2017-10-26,7889105
2017-10-27,7889105
2017-10-28,8193569
2017-10-29,8193569
2017-10-30,8344542
2017-10-31,8344542
2017-11-01,8261827
2017-11-02,8261827
2017-11-03,8151691
2017-11-04,8151691
2017-11-05,8130084
2017-11-06,8130084
2017-11-07,8200000
2017-11-08,8200000
2017-11-09,8139325
2017-11-10,8139325
2017-11-11,8008908
2017-11-12,8008908
2017-11-13,7875042
2017-11-14,7875042
2017-11-15,7911092
2017-11-16,7911092
2017-11-17,7878828
2017-11-18,7878828
2017-11-19,7802781
2017-11-20,7802781
2017-11-21,7574195
2017-11-22,7574195
2017-11-23,7643420
2017-11-24,7643420
2017-11-25,7764609
2017-11-26,7764609
2017-11-27,7631451
2017-11-28,7631451
2017-11-29,7568366
2017-11-30,7568366
2017-12-01,7469626
2017-12-02,7469626
2017-12-03,7380305
2017-12-04,7380305
2017-12-05,7385962
2017-12-06,7385962
2017-12-07,7322644
2017-12-08,7322644
2017-12-09,7277106
2017-12-10,7277106
2017-12-11,7274144
2017-12-12,7274144
2017-12-13,7244540
2017-12-14,7244540
2017-12-15,7271348
2017-12-16,7271348
2017-12-17,7354376
2017-12-18,7361393
2017-12-19,7361393
2017-12-20,7373309
2017-12-21,7373309
2017-12-22,7402683
2017-12-23,7402683
2017-12-24,7415750
2017-12-25,7415750
2017-12-26,7383058
2017-12-27,7391332
2017-12-28,7391332
2017-12-29,7504906
2017-12-30,7583819
2017-12-31,7583819
2018-01-01,7571335
2018-01-02,7571335
2018-01-03,7455711
2018-01-04,7455711
2018-01-05,7236893
2018-01-06,7236893
2018-01-07,7048085
2018-01-08,7048085
2018-01-09,6809673
2018-01-10,6809673
2018-01-11,6656046
2018-01-12,6656046
2018-01-13,6546323
2018-01-14,6546323
2018-01-15,6453622
2018-01-16,6453622
2018-01-17,6210613
2018-01-18,6210613
2018-01-19,6202458
2018-01-20,6217496
2018-01-21,6217496
2018-01-22,6273504
2018-01-23,6369633
2018-01-24,6369633
2018-01-25,6225670
2018-01-26,6225670
2018-01-27,6128799
2018-01-28,6128799
2018-01-29,6108805
2018-01-30,6108805
2018-01-31,6069805
2018-02-01,6069805
2018-02-02,6063551
2018-02-03,5953908
2018-02-04,5953908
2018-02-05,5922258
2018-02-06,5781528
2018-02-07,5781528
2018-02-08,5813984
2018-02-09,5787670
2018-02-10,5787670
2018-02-11,5747211
2018-02-12,5747211
2018-02-13,5669712
2018-02-14,5669712
2018-02-15,5569656
2018-02-16,5569656
2018-02-17,5470599
2018-02-18,5470599
2018-02-19,5502480
2018-02-20,5502480
2018-02-21,5518745
2018-02-22,5518745
2018-02-23,5616359
2018-02-24,5616359
2018-02-25,5705202
2018-02-26,5705202
2018-02-27,5921111
2018-02-28,5921111
2018-03-01,5982102
2018-03-02,6068070
2018-03-03,6068070
2018-03-04,6121129
2018-03-05,6184105
2018-03-06,6184105
2018-03-07,6222895
2018-03-08,6222895
2018-03-09,6499738
2018-03-10,6499738
2018-03-11,6600875
2018-03-12,6747621
2018-03-13,6747621
2018-03-14,6874305
2018-03-15,6874305
2018-03-16,6835909
2018-03-17,6877342
2018-03-18,6877342
2018-03-20,7154420
2018-03-21,7154420
2018-03-23,7138592
2018-03-24,7054536
2018-03-25,7030436
2018-03-26,7030436
2018-03-27,6853468
2018-03-28,6853468
2018-03-29,6730349
2018-03-30,6730349
2018-03-31,6719048
2018-04-01,6719048
2018-04-02,6693920
2018-04-03,6669725
2018-04-04,6669725
2018-04-05,6620862
2018-04-06,6665388
2018-04-07,6665388
2018-04-08,6840957
2018-04-09,6789442
2018-04-10,6789442
2018-04-11,6707311
2018-04-12,6669446
2018-04-13,6669446
2018-04-14,6669446
2018-04-15,6733075
2018-04-16,6733075
2018-04-17,6690734
2018-04-18,6690734
2018-04-19,6770868
2018-04-20,6770868
2018-04-21,6752645
2018-04-22,6752645
2018-04-23,6752645
2018-04-24,6699921
2018-04-25,6699921
2018-04-26,6469560
2018-04-27,6444869
2018-04-28,6364330
2018-04-29,6364330
2018-04-30,6470625
2018-05-01,6548975
2018-05-02,6548975
2018-05-03,6620517
2018-05-04,6620517
2018-05-05,6719214
2018-05-06,6719214
2018-05-07,6618061
2018-05-08,6618061
2018-05-09,6566545
2018-05-10,6566545
2018-05-11,6509923
2018-05-12,6509923
2018-05-13,6469168
2018-05-14,6469168
2018-05-15,6374482
2018-05-16,6374482
2018-05-17,6317257
2018-05-18,6238103
2018-05-19,6326654
2018-05-20,6326654
2018-05-21,6301956
2018-05-22,6301956
2018-05-23,6287869
2018-05-24,6287869
2018-05-25,6226149
2018-05-26,6278797
2018-05-27,6278797
2018-05-28,6291098
2018-05-29,6212004
2018-05-30,6212004
2018-05-31,6103467
2018-06-01,6103467
2018-06-02,5979106
2018-06-03,5979106
2018-06-04,5885196
2018-06-05,5772593
2018-06-06,5772593
2018-06-07,5679524
2018-06-08,5446303
2018-06-09,5446303
2018-06-10,5489321
2018-06-11,5489321
2018-06-12,5653693
2018-06-13,5590966
2018-06-14,5590966
2018-06-15,5492496
2018-06-16,5492496
2018-06-17,5379140
2018-06-18,5379140
2018-06-19,5344370
2018-06-20,5344370
2018-06-21,5355261
2018-06-22,5414726
2018-06-23,5414726
2018-06-24,5475878
2018-06-25,5426193
2018-06-26,5426193
2018-06-27,5386610
2018-06-28,5386610
2018-06-29,5450462
2018-06-30,5450462
2018-07-01,5457136
2018-07-02,5457136
2018-07-03,5448447
2018-07-04,5448447
2018-07-05,5492309
2018-07-06,5602140
2018-07-07,5602140
2018-07-08,5557487
2018-07-09,5557487
