date_obj,Avernic%20defender%20hilt price
2019-12-17,90683141
2019-12-18,91811831
2019-12-19,90954043
2019-12-20,90582346
2019-12-21,90504924
2019-12-22,90502927
2019-12-23,90782735
2019-12-24,90722837
2019-12-25,92714427
2019-12-26,92885493
2019-12-27,92714840
2019-12-28,92901989
2019-12-29,94205559
2019-12-30,95097358
2019-12-31,94540239
2020-01-01,95013997
2020-01-02,94532286
2020-01-03,93225641
2020-01-04,92008102
2020-01-05,90596756
2020-01-06,88270812
2020-01-07,87262515
2020-01-08,86904499
2020-01-09,86489644
2020-01-10,86780432
2020-01-11,86443862
2020-01-12,86491371
2020-01-13,86681446
2020-01-14,86897153
2020-01-15,86621690
2020-01-16,86321243
2020-01-17,85770277
2020-01-18,84405348
2020-01-19,82679279
2020-01-20,82877043
2020-01-21,81085875
2020-01-22,80569214
2020-01-23,77835316
2020-01-24,76717757
2020-01-25,77634984
2020-01-26,79915149
2020-01-27,80177360
2020-01-28,77947361
2020-01-29,76741275
2020-01-30,74310628
2020-01-31,75402371
2020-02-01,75981970
2020-02-02,76016503
2020-02-03,75509535
2020-02-04,74764962
2020-02-05,73872366
2020-02-06,75379993
2020-02-07,79081435
2020-02-08,82488890
2020-02-09,83870743
2020-02-10,84361232
2020-02-11,82069887
2020-02-12,79612749
2020-02-13,81053013
2020-02-14,82107896
2020-02-15,83176034
2020-02-16,84958437
2020-02-17,83999275
2020-02-18,82501120
2020-02-19,81167882
2020-02-20,79915081
2020-02-21,79331990
2020-02-22,77268732
2020-02-23,77551109
2020-02-24,78104933
2020-02-25,79368128
2020-02-26,78681627
2020-02-27,78174757
2020-02-28,78651093
2020-02-29,79005772
2020-03-01,79055895
2020-03-02,80811980
2020-03-03,80374964
2020-03-04,79766198
2020-03-05,79550569
2020-03-06,79073661
2020-03-07,78437001
2020-03-08,78260472
2020-03-09,77511360
2020-03-10,77233917
2020-03-11,76627509
2020-03-12,76538757
2020-03-13,76609736
2020-03-14,76643587
2020-03-15,78144627
2020-03-16,78158217
2020-03-17,78821077
2020-03-18,78734764
2020-03-19,78630794
2020-03-20,78909361
2020-03-21,80859459
2020-03-22,83136631
2020-03-23,83636792
2020-03-24,85745742
2020-03-25,88330825
2020-03-26,90964751
2020-03-27,89312424
2020-03-28,86508678
2020-03-29,83987061
2020-03-30,84178599
2020-03-31,84940809
2020-04-01,85012748
2020-04-02,85959363
2020-04-03,88311866
2020-04-04,88270696
2020-04-05,87880130
2020-04-06,87408080
2020-04-07,86310267
2020-04-08,84094244
2020-04-09,81246784
2020-04-10,80721046
2020-04-11,81838561
2020-04-12,82076713
2020-04-13,81812544
2020-04-14,81459138
2020-04-15,81600342
2020-04-16,81676170
2020-04-17,81900240
2020-04-18,83332877
2020-04-19,83598824
2020-04-20,83503755
2020-04-21,83146499
2020-04-22,81138950
2020-04-23,77758844
2020-04-24,76844263
2020-04-25,76625785
2020-04-26,78390815
2020-04-27,79778677
2020-04-28,77731774
2020-04-29,77372457
2020-04-30,75762072
2020-05-01,75452109
2020-05-02,76550740
2020-05-03,77328156
2020-05-04,76794949
2020-05-05,76009144
2020-05-06,75076813
2020-05-07,74035344
2020-05-08,73220753
2020-05-09,72814651
2020-05-10,72642872
2020-05-11,73164285
2020-05-12,73197408
2020-05-13,73340852
