date_obj,Red%20d'hide%20vambraces price
2019-04-07,1897
2019-04-08,1913
2019-04-09,1920
2019-04-10,1960
2019-04-11,1922
2019-04-12,1871
2019-04-13,1878
2019-04-14,1884
2019-04-15,1859
2019-04-16,1879
2019-04-17,1852
2019-04-18,1848
2019-04-19,1868
2019-04-20,1852
2019-04-21,1890
2019-04-22,1907
2019-04-23,1911
2019-04-24,1910
2019-04-25,1883
2019-04-26,1851
2019-04-27,1881
2019-04-28,1878
2019-04-29,1858
2019-04-30,1864
2019-05-01,1891
2019-05-02,1908
2019-05-03,1916
2019-05-04,1890
2019-05-05,1896
2019-05-06,1858
2019-05-07,1876
2019-05-08,1895
2019-05-09,1860
2019-05-10,1876
2019-05-11,1856
2019-05-12,1863
2019-05-13,1871
2019-05-14,1837
2019-05-15,1888
2019-05-16,1896
2019-05-17,1892
2019-05-18,1910
2019-05-19,1914
2019-05-20,1878
2019-05-21,1885
2019-05-22,1882
2019-05-23,1867
2019-05-24,1892
2019-05-25,1867
2019-05-26,1862
2019-05-27,1876
2019-05-28,1883
2019-05-29,1900
2019-05-30,1912
2019-05-31,1874
2019-06-01,1877
2019-06-02,1889
2019-06-03,1880
2019-06-04,1880
2019-06-05,1886
2019-06-06,1903
2019-06-07,1881
2019-06-08,1864
2019-06-09,1891
2019-06-10,1919
2019-06-11,1923
2019-06-12,1907
2019-06-13,1920
2019-06-14,1889
2019-06-15,1846
2019-06-16,1848
2019-06-17,1900
2019-06-18,1930
2019-06-19,1960
2019-06-20,1930
2019-06-21,1858
2019-06-22,1831
2019-06-23,1847
2019-06-24,1878
2019-06-25,1863
2019-06-26,1896
2019-06-27,1892
2019-06-28,1873
2019-06-29,1863
2019-06-30,1861
2019-07-01,1846
2019-07-02,1835
2019-07-03,1766
2019-07-04,1845
2019-07-05,1902
2019-07-06,1832
2019-07-07,1843
2019-07-08,1839
2019-07-09,1851
2019-07-10,1907
2019-07-11,1873
2019-07-12,1856
2019-07-13,1877
2019-07-14,1887
2019-07-15,1827
2019-07-16,1866
2019-07-17,1856
2019-07-18,1863
2019-07-19,1901
2019-07-20,1937
2019-07-21,1917
2019-07-22,1902
2019-07-23,1904
2019-07-24,1892
2019-07-25,1842
2019-07-26,1890
2019-07-27,1869
2019-07-28,1820
2019-07-29,1808
2019-07-30,1817
2019-07-31,1816
2019-08-01,1774
2019-08-02,1789
2019-08-03,1845
2019-08-04,1871
2019-08-05,1863
2019-08-06,1780
2019-08-07,1779
2019-08-08,1821
2019-08-09,1775
2019-08-10,1781
2019-08-11,1795
2019-08-12,1759
2019-08-13,1787
2019-08-14,1798
2019-08-15,1824
2019-08-16,1835
2019-08-17,1806
2019-08-18,1831
2019-08-19,1846
2019-08-20,1894
2019-08-21,1914
2019-08-22,1869
2019-08-23,1857
2019-08-24,1861
2019-08-24,1861
2019-08-25,1809
2019-08-25,1809
2019-08-26,1842
2019-08-26,1842
2019-08-27,1818
2019-08-27,1818
2019-08-28,1811
2019-08-29,1804
2019-08-30,1830
2019-08-31,1827
2019-09-01,1846
2019-09-02,1810
2019-09-03,1847
2019-09-04,1792
2019-09-05,1778
2019-09-06,1791
2019-09-07,1791
2019-09-08,1817
2019-09-09,1834
2019-09-10,1797
2019-09-11,1753
2019-09-12,1707
2019-09-13,1712
2019-09-14,1769
2019-09-15,1808
2019-09-16,1825
2019-09-17,1838
2019-09-18,1839
2019-09-19,1880
2019-09-20,1878
2019-09-21,1842
2019-09-22,1800
2019-09-23,1764
2019-09-24,1749
2019-09-25,1815
2019-09-26,1841
2019-09-27,1785
2019-09-28,1736
2019-09-29,1770
2019-09-30,1798
2019-10-01,1847
2019-10-02,1775
2019-10-03,1835
2019-10-04,1782
2019-10-05,1823
2019-10-06,1798
2019-10-07,1836
2019-10-08,1862
2019-10-09,1869
2019-10-10,1858
2019-10-11,1843
2019-10-12,1828
2019-10-13,1814
2019-10-14,1793
2019-10-15,1790
2019-10-16,1796
2019-10-17,1785
2019-10-18,1789
2019-10-19,1811
2019-10-20,1758
2019-10-21,1742
2019-10-22,1763
2019-10-23,1753
2019-10-24,1768
2019-10-25,1795
2019-10-26,1822
2019-10-27,1800
2019-10-28,1794
2019-10-29,1753
2019-10-30,1786
2019-10-31,1799
2019-11-01,1771
2019-11-02,1749
2019-11-03,1678
2019-11-04,1707
2019-11-05,1746
2019-11-06,1707
2019-11-07,1774
2019-11-08,1810
2019-11-09,1814
2019-11-10,1785
2019-11-11,1774
2019-11-12,1712
2019-11-13,1723
2019-11-14,1717
2019-11-15,1741
2019-11-16,1728
2019-11-17,1655
2019-11-18,1733
2019-11-19,1685
2019-11-20,1689
2019-11-21,1742
2019-11-22,1771
2019-11-23,1782
2019-11-24,1780
2019-11-25,1789
2019-11-26,1776
2019-11-27,1747
2019-11-28,1759
2019-11-29,1750
2019-11-30,1746
2019-12-01,1757
2019-12-02,1726
2019-12-03,1740
2019-12-04,1786
2019-12-05,1717
2019-12-06,1723
2019-12-07,1755
2019-12-08,1756
2019-12-09,1777
2019-12-10,1794
2019-12-11,1789
2019-12-12,1803
2019-12-13,1805
2019-12-14,1778
2019-12-15,1797
2019-12-16,1784
2019-12-17,1792
2019-12-18,1828
2019-12-19,1832
2019-12-20,1849
2019-12-21,1857
2019-12-22,1837
2019-12-23,1817
2019-12-24,1784
2019-12-25,1740
2019-12-26,1738
2019-12-27,1748
2019-12-28,1743
2019-12-29,1729
2019-12-30,1717
2019-12-31,1754
2020-01-01,1709
2020-01-02,1767
2020-01-03,1801
2020-01-04,1797
2020-01-05,1795
2020-01-06,1825
2020-01-07,1820
2020-01-08,1770
2020-01-09,1794
2020-01-10,1784
2020-01-11,1828
2020-01-12,1809
2020-01-13,1799
2020-01-14,1786
2020-01-15,1791
2020-01-16,1829
2020-01-17,1810
2020-01-18,1808
2020-01-19,1788
2020-01-20,1807
2020-01-21,1753
2020-01-22,1807
2020-01-23,1782
2020-01-24,1775
2020-01-25,1729
2020-01-26,1717
2020-01-27,1717
2020-01-28,1742
2020-01-29,1708
2020-01-30,1771
2020-01-31,1756
2020-02-01,1756
2020-02-02,1755
2020-02-03,1787
2020-02-04,1794
2020-02-05,1802
2020-02-06,1772
2020-02-07,1747
2020-02-08,1757
2020-02-09,1771
2020-02-10,1764
2020-02-11,1724
2020-02-12,1761
2020-02-13,1765
2020-02-14,1748
2020-02-15,1720
2020-02-16,1764
2020-02-17,1762
2020-02-18,1780
2020-02-19,1777
2020-02-20,1805
2020-02-21,1797
2020-02-22,1809
2020-02-23,1779
2020-02-24,1766
2020-02-25,1794
2020-02-26,1768
2020-02-27,1815
2020-02-28,1788
2020-02-29,1763
2020-03-01,1748
2020-03-02,1734
2020-03-03,1752
2020-03-04,1762
2020-03-05,1767
2020-03-06,1741
2020-03-07,1777
2020-03-08,1787
2020-03-09,1827
2020-03-10,1805
2020-03-11,1827
2020-03-12,1842
2020-03-13,1794
2020-03-14,1771
2020-03-15,1803
2020-03-16,1821
2020-03-17,1814
2020-03-18,1813
2020-03-19,1819
2020-03-20,1859
2020-03-21,1846
2020-03-22,1812
2020-03-23,1802
2020-03-24,1835
2020-03-25,1771
2020-03-26,1800
2020-03-27,1818
2020-03-28,1792
2020-03-29,1817
2020-03-30,1800
2020-03-31,1798
2020-04-01,1832
2020-04-02,1828
2020-04-03,1853
2020-04-04,1860
2020-04-05,1866
2020-04-06,1831
2020-04-07,1837
2020-04-08,1815
2020-04-09,1825
2020-04-10,1821
2020-04-11,1815
2020-04-12,1812
2020-04-13,1855
2020-04-14,1868
2020-04-15,1834
2020-04-16,1845
2020-04-17,1827
2020-04-18,1825
2020-04-19,1809
2020-04-20,1818
2020-04-21,1825
2020-04-22,1777
2020-04-23,1823
2020-04-24,1857
2020-04-25,1853
2020-04-26,1868
2020-04-27,1839
2020-04-28,1832
2020-04-29,1855
2020-04-30,1866
2020-05-01,1876
2020-05-02,1871
2020-05-03,1859
2020-05-04,1861
2020-05-05,1845
2020-05-06,1872
2020-05-07,1861
2020-05-08,1873
2020-05-09,1908
2020-05-10,1877
2020-05-11,1888
2020-05-12,1896
2020-05-13,1866
