date_obj,Onyx%20dragon%20bolts price
2019-12-21,9057
2019-12-22,9057
2019-12-23,9057
2019-12-24,9057
2019-12-25,9051
2019-12-26,9051
2019-12-27,9051
2019-12-28,9051
2019-12-29,9051
2019-12-30,9051
2019-12-31,9140
2020-01-01,9140
2020-01-02,9140
2020-01-03,9140
2020-01-04,9140
2020-01-05,9140
2020-01-06,9140
2020-01-07,9137
2020-01-08,9137
2020-01-09,9137
2020-01-10,9137
2020-01-11,9137
2020-01-12,9137
2020-01-13,9137
2020-01-14,9137
2020-01-15,9262
2020-01-16,9262
2020-01-17,9262
2020-01-18,9262
2020-01-19,9262
2020-01-20,9262
2020-01-21,9262
2020-01-22,9206
2020-01-23,9206
2020-01-24,9206
2020-01-25,9206
2020-01-26,9206
2020-01-27,9206
2020-01-28,9487
2020-01-29,9487
2020-01-30,9487
2020-01-31,9487
2020-02-01,9487
2020-02-02,9336
2020-02-03,9336
2020-02-04,9336
2020-02-05,9336
2020-02-06,9336
2020-02-07,9336
2020-02-08,9447
2020-02-09,9447
2020-02-10,9447
2020-02-11,9447
2020-02-12,9311
2020-02-13,9311
2020-02-14,9311
2020-02-15,9311
2020-02-16,9311
2020-02-17,9311
2020-02-18,9087
2020-02-19,9087
2020-02-20,9087
2020-02-21,9087
2020-02-22,9087
2020-02-23,9321
2020-02-24,9321
2020-02-25,9321
2020-02-26,9321
2020-02-27,9321
2020-02-28,9168
2020-02-29,9168
2020-03-01,9168
2020-03-02,9168
2020-03-03,9168
2020-03-04,9335
2020-03-05,9335
2020-03-06,9335
2020-03-07,9335
2020-03-08,9335
2020-03-09,9126
2020-03-10,9126
2020-03-11,9126
2020-03-12,9126
2020-03-13,9126
2020-03-14,9126
2020-03-15,9235
2020-03-16,9235
2020-03-17,9235
2020-03-18,9235
2020-03-19,9245
2020-03-20,9245
2020-03-21,9245
2020-03-22,9245
2020-03-23,9019
2020-03-24,9019
2020-03-25,9019
2020-03-26,9227
2020-03-27,9227
2020-03-28,9227
2020-03-29,9353
2020-03-30,9353
2020-03-31,9353
2020-04-01,9353
2020-04-02,9263
2020-04-03,9263
2020-04-04,9263
2020-04-05,9263
2020-04-06,9263
2020-04-07,9346
2020-04-08,9346
2020-04-09,9346
2020-04-10,9346
2020-04-11,9429
2020-04-12,9429
2020-04-13,9429
2020-04-14,9429
2020-04-15,9472
2020-04-16,9472
2020-04-17,9472
2020-04-18,9361
2020-04-19,9361
2020-04-20,9361
2020-04-21,9361
2020-04-22,9546
2020-04-23,9546
2020-04-24,9546
2020-04-25,9546
2020-04-26,9428
2020-04-27,9428
2020-04-28,9428
2020-04-29,9406
2020-04-30,9406
2020-05-01,9406
2020-05-02,9406
2020-05-03,9564
2020-05-04,9564
2020-05-05,9564
2020-05-06,9382
2020-05-07,9382
2020-05-08,9382
2020-05-09,9382
2020-05-10,9380
2020-05-11,9380
2020-05-12,9380
2020-05-13,9380
