date_obj,Bagged%20nice%20tree price
2018-09-22,3087
2018-09-23,3087
2018-09-24,3087
2018-09-25,3087
2018-09-26,3087
2018-09-27,3087
2018-09-28,3087
2018-09-29,3087
2018-09-30,3087
2018-10-01,3087
2018-10-02,3087
2018-10-03,3087
2018-10-04,3133
2018-10-05,3133
2018-10-06,3133
2018-10-07,3133
2018-10-08,3133
2018-10-09,3133
2018-10-10,3133
2018-10-11,3133
2018-10-12,3133
2018-10-13,3133
2018-10-14,3133
2018-10-15,3133
2018-10-16,3133
2018-10-17,3055
2018-10-18,3055
2018-10-19,3055
2018-10-20,3055
2018-10-21,3055
2018-10-22,3055
2018-10-23,3055
2018-10-24,3055
2018-10-25,3055
2018-10-26,3055
2018-10-27,3055
2018-10-28,3055
2018-10-29,3055
2018-10-30,3003
2018-10-31,3003
2018-11-01,3003
2018-11-03,3003
2018-11-04,3003
2018-11-05,3003
2018-11-06,3003
2018-11-07,3003
2018-11-08,3003
2018-11-09,2958
2018-11-10,2958
2018-11-11,2958
2018-11-12,2958
2018-11-13,2958
2018-11-14,2958
2018-11-15,2958
2018-11-16,2976
2018-11-17,2976
2018-11-18,2976
2018-11-19,2976
2018-11-20,2976
2018-11-21,2976
2018-11-22,2976
2018-11-23,2976
2018-11-24,2934
2018-11-25,2934
2018-11-26,2934
2018-11-27,2934
2018-11-28,2934
2018-11-29,2934
2018-12-01,2934
2018-12-02,2973
2018-12-03,2973
2018-12-04,2973
2018-12-05,2973
2018-12-07,2973
2018-12-09,2973
2018-12-10,2991
2018-12-11,2991
2018-12-12,2991
2018-12-13,2991
2018-12-14,2991
2018-12-15,2991
2018-12-16,2991
2018-12-17,2991
2018-12-18,3099
2018-12-19,3099
2018-12-20,3099
2018-12-21,3099
2018-12-22,3099
2018-12-23,3099
2018-12-24,3099
2018-12-25,3099
2018-12-26,3099
2018-12-27,3116
2018-12-28,3116
2018-12-29,3116
2018-12-30,3116
2018-12-31,3116
2019-01-01,3116
2019-01-02,3116
2019-01-03,3116
2019-01-04,3185
2019-01-05,3185
2019-01-06,3185
2019-01-08,3185
2019-01-10,3185
2019-01-11,3265
2019-01-12,3265
2019-01-13,3265
2019-01-14,3265
2019-01-15,3265
2019-01-16,3265
2019-01-17,3265
2019-01-18,3156
2019-01-19,3156
2019-01-20,3156
2019-01-21,3156
2019-01-22,3156
2019-01-23,3156
2019-01-24,3156
2019-01-25,3205
2019-01-26,3205
2019-01-27,3205
2019-01-28,3205
2019-01-29,3205
2019-01-30,3205
2019-01-31,3205
2019-02-01,3102
2019-02-02,3102
2019-02-03,3102
2019-02-04,3102
2019-02-05,3102
2019-02-06,3102
2019-02-07,3102
2019-02-08,3102
2019-02-09,3039
2019-02-10,3039
2019-02-11,3039
2019-02-12,3039
2019-02-13,3039
2019-02-14,3039
2019-02-15,3039
2019-02-16,3039
2019-02-17,2961
2019-02-18,2961
2019-02-19,2961
2019-02-20,2961
2019-02-21,2961
2019-02-22,2961
2019-02-23,2961
2019-02-24,2961
2019-02-25,2950
2019-02-26,2950
2019-02-27,2950
2019-02-28,2950
2019-03-01,2950
2019-03-02,2950
2019-03-03,2950
2019-03-04,2950
2019-03-05,2950
2019-03-06,2950
2019-03-07,2954
2019-03-08,2954
2019-03-09,2954
2019-03-10,2954
2019-03-11,2954
2019-03-12,2954
2019-03-13,2954
2019-03-14,2954
2019-03-15,2954
2019-03-16,3026
