date_obj,Kitchen%20knife price
2016-10-04,6301
2016-10-05,6301
2016-10-06,6301
2016-10-07,6301
2016-10-08,6301
2016-10-09,6301
2016-10-10,6301
2016-10-11,6301
2016-10-12,6301
2016-10-13,6301
2016-10-14,6301
2016-10-15,6301
2016-10-16,6301
2016-10-17,6301
2016-10-18,6301
2016-10-19,6301
2016-10-20,6301
2016-10-21,6301
2016-10-22,6301
2016-10-23,6301
2016-10-24,6301
2016-10-25,6301
2016-10-26,6301
2016-10-27,6301
2016-10-28,6301
2016-10-29,6301
2016-10-30,6301
2016-10-31,6301
2016-11-01,6301
2016-11-02,6301
2016-11-03,6301
2016-11-04,6301
2016-11-05,6301
2016-11-06,6301
2016-11-07,6301
2016-11-08,6301
2016-11-09,6301
2016-11-10,6301
2016-11-11,6301
2016-11-12,6301
2016-11-13,6301
2016-11-14,6301
2016-12-07,6368
2016-12-08,6368
2016-12-09,6368
2016-12-10,6368
2016-12-11,6368
2016-12-12,6368
2016-12-13,6368
2016-12-14,6368
2016-12-15,6368
2016-12-16,6368
2016-12-17,6368
2016-12-18,6368
2016-12-19,6368
2016-12-20,6368
2016-12-21,6368
2016-12-22,6368
2016-12-23,6368
2016-12-24,6368
2016-12-25,6368
2016-12-26,6368
2016-12-27,6368
2016-12-28,6368
2016-12-29,6368
2016-12-30,6368
2016-12-31,6368
2017-01-01,6368
2017-01-02,6368
2017-01-03,6368
2017-01-04,6368
2017-01-05,6368
2017-01-06,6368
2017-01-07,6368
2017-01-08,6368
2017-01-09,6368
2017-01-10,6368
2017-01-11,6368
2017-01-12,6368
2017-01-13,6368
2017-01-14,6368
2017-01-15,6368
2017-01-16,6368
2017-01-17,6368
2017-01-18,6368
2017-01-19,6368
2017-01-20,6368
2017-01-21,6368
2017-01-22,6368
2017-01-27,6368
2017-01-28,6368
2017-01-29,6368
2017-01-30,6368
2017-01-31,6368
2017-02-01,6368
2017-02-02,6368
2017-02-03,6368
2017-02-04,6368
2017-02-05,6368
2017-02-06,6368
2017-02-07,6368
2017-02-08,6368
2017-02-09,6368
2017-02-10,6368
2017-02-11,6368
2017-02-12,6368
2017-02-13,6368
2017-02-14,6368
2017-02-15,6368
2017-02-16,6368
2017-02-18,6368
2017-02-19,6368
2017-02-20,6368
2017-02-21,6368
2017-02-22,6368
2017-02-23,6368
2017-02-24,6368
2017-02-25,6368
2017-02-26,6368
2017-02-27,6368
2017-02-28,6368
2017-03-01,6368
2017-03-02,6368
2017-03-03,6368
2017-03-04,6368
2017-03-05,6368
2017-03-06,6368
2017-03-07,6368
2017-03-08,6368
2017-03-09,6368
2017-03-10,6368
2017-03-11,6368
2017-03-12,6368
2017-03-13,6368
2017-03-14,6368
2017-03-15,6368
2017-03-16,6368
2017-03-17,6368
2017-03-18,6368
2017-03-19,6368
2017-03-20,6368
2017-03-21,6368
2017-03-22,6368
2017-03-23,6368
2017-03-24,6368
2017-03-25,6368
2017-03-26,6368
2017-03-27,6368
2017-03-28,6368
2017-03-29,6368
2017-03-30,6368
2017-03-31,6368
2017-04-01,6368
2017-04-02,6368
2017-04-03,6368
2017-04-04,6368
2017-04-12,6368
2017-04-13,6368
2017-04-14,6368
2017-04-15,6368
2017-04-16,6368
2017-04-17,6433
2017-04-18,6433
2017-04-19,6433
2017-04-20,6433
2017-04-21,6433
2017-04-22,6433
2017-04-23,6433
2017-04-24,6433
2017-04-25,6433
2017-04-26,6433
2017-04-27,6433
2017-04-28,6433
2017-04-29,6433
2017-04-30,6433
2017-05-01,6433
2017-05-02,6433
2017-05-03,6433
2017-05-04,6433
2017-05-05,6433
2017-05-06,6433
2017-05-07,6433
2017-05-08,6433
2017-05-09,6433
2017-05-10,6433
2017-05-11,6433
2017-05-12,6433
2017-05-13,6433
2017-05-14,6433
2017-05-15,6433
2017-05-16,6433
2017-05-17,6433
2017-05-18,6433
2017-05-19,6433
2017-05-20,6433
2017-05-21,6433
2017-05-22,6433
2017-05-23,6433
2017-05-24,6433
2017-05-25,6433
2017-05-26,6433
2017-05-27,6433
2017-05-28,6433
2017-05-29,6433
2017-05-30,6433
2017-05-31,6433
2017-06-01,6433
2017-06-02,6433
2017-06-03,6433
2017-06-04,6433
2017-06-06,6433
2017-06-07,6433
2017-06-08,6433
2017-06-09,6433
2017-06-10,6433
2017-06-11,6433
2017-06-12,6433
2017-06-13,6433
2017-06-14,6433
2017-06-15,6433
2017-06-16,6433
2017-06-17,6433
2017-06-18,6433
2017-06-19,6433
2017-06-20,6433
2017-06-21,6433
2017-06-22,6433
2017-06-23,6433
2017-06-24,6433
2017-06-25,6433
2017-06-26,6433
2017-06-27,6433
2017-06-28,6433
2017-06-29,6433
2017-06-30,6433
2017-07-01,6433
2017-07-02,6433
2017-07-03,6433
2017-07-04,6433
2017-07-05,6433
2017-07-06,6433
2017-07-07,6433
2017-07-08,6433
2017-07-13,6433
2017-07-14,6433
2017-07-15,6433
2017-07-16,6433
2017-07-17,6433
2017-07-18,6433
2017-07-19,6433
2017-07-20,6433
2017-07-21,6433
2017-07-22,6433
2017-07-23,6433
2017-07-24,6433
2017-07-25,6433
2017-07-26,6433
2017-07-27,6433
2017-07-28,6433
2017-07-29,6433
2017-07-30,6433
2017-07-31,6433
2017-08-01,6433
2017-08-02,6433
2017-08-03,6433
2017-08-04,6433
2017-08-05,6433
2017-08-06,6433
2017-08-09,6433
2017-08-10,6433
2017-08-11,6433
2017-08-12,6433
2017-08-13,6433
2017-08-14,6433
2017-08-15,6433
2017-08-17,6433
2017-08-18,6433
2017-08-19,6433
2017-08-20,6482
2017-08-21,6482
2017-08-22,6482
2017-08-23,6482
2017-08-24,6482
2017-08-25,6482
2017-08-26,6482
2017-08-27,6482
2017-08-28,6482
2017-08-29,6482
2017-08-30,6482
2017-08-31,6482
2017-09-01,6482
2017-09-02,6482
2017-09-03,6482
2017-09-04,6482
2017-09-05,6482
2017-09-06,6482
2017-09-07,6482
2017-09-08,6482
2017-09-09,6482
2017-09-10,6482
2017-09-11,6482
2017-09-12,6482
2017-09-13,6482
2017-09-14,6482
2017-09-15,6482
2017-09-16,6482
2017-09-17,6482
2017-09-19,6482
2017-09-20,6482
2017-09-21,6482
2017-09-22,6482
2017-09-23,6482
2017-09-24,6482
2017-09-25,6482
2017-09-26,6482
2017-09-27,6482
2017-09-28,6482
2017-09-29,6482
2017-09-30,6482
2017-10-01,6482
2017-10-02,6482
2017-10-03,6482
2017-10-04,6482
2017-10-05,6482
2017-10-06,6482
2017-10-07,6482
2017-10-08,6482
2017-10-09,6482
2017-10-10,6482
2017-10-11,6482
2017-10-12,6482
2017-10-13,6482
2017-10-14,6482
2017-10-15,6482
2017-10-16,6482
2017-10-17,6482
2017-10-18,6482
2017-10-19,6482
2017-10-20,6482
2017-10-21,6482
2017-10-22,6482
2017-10-23,6482
2017-10-24,6482
2017-10-25,6482
2017-10-26,6482
2017-10-27,6482
2017-10-28,6482
2017-10-29,6482
