date_obj,Enchant%20sapphire%20or%20opal price
2017-03-21,258
2017-03-22,258
2017-03-23,258
2017-03-24,258
2017-03-25,258
2017-03-26,258
2017-03-27,258
2017-03-28,258
2017-03-29,258
2017-03-30,258
2017-03-31,258
2017-04-01,258
2017-04-02,258
2017-04-03,258
2017-04-04,258
2017-04-12,258
2017-04-13,258
2017-04-14,258
2017-04-15,258
2017-04-16,258
2017-04-17,258
2017-04-18,258
2017-04-19,258
2017-04-20,258
2017-04-21,258
2017-04-22,258
2017-04-23,258
2017-04-24,258
2017-04-25,258
2017-04-26,258
2017-04-27,258
2017-04-28,258
2017-04-29,258
2017-04-30,258
2017-05-01,258
2017-05-02,258
2017-05-03,258
2017-05-04,258
2017-05-05,258
2017-05-06,258
2017-05-07,258
2017-05-08,258
2017-05-09,258
2017-05-10,258
2017-05-11,258
2017-05-12,258
2017-05-13,258
2017-05-14,258
2017-05-15,258
2017-05-16,258
2017-05-17,258
2017-05-18,258
2017-05-19,258
2017-05-20,258
2017-05-21,258
2017-05-22,258
2017-05-23,258
2017-05-24,258
2017-05-25,258
2017-05-26,258
2017-05-27,258
2017-05-28,258
2017-05-29,258
2017-05-30,258
2017-05-31,258
2017-06-01,258
2017-06-02,258
2017-06-03,258
2017-06-04,258
2017-06-05,258
2017-06-06,258
2017-06-07,258
2017-06-08,258
2017-06-09,258
2017-06-10,250
2017-06-11,250
2017-06-12,250
2017-06-13,250
2017-06-14,250
2017-06-15,250
2017-06-16,250
2017-06-17,250
2017-06-18,250
2017-06-19,250
2017-06-20,250
2017-06-21,250
2017-06-22,250
2017-06-23,250
2017-06-24,250
2017-06-25,250
2017-06-26,250
2017-06-27,250
2017-06-28,250
2017-06-29,250
2017-06-30,250
2017-07-01,250
2017-07-02,250
2017-07-03,250
2017-07-04,250
2017-07-05,250
2017-07-06,250
2017-07-07,250
2017-07-08,250
2017-07-13,250
2017-07-14,250
2017-07-15,250
2017-07-16,250
2017-07-17,250
2017-07-18,250
2017-07-19,250
2017-07-20,250
2017-07-21,250
2017-07-22,250
2017-07-23,250
2017-07-24,250
2017-07-25,250
2017-07-26,250
2017-07-27,250
2017-07-28,250
2017-07-29,250
2017-07-30,250
2017-07-31,250
2017-08-01,250
2017-08-02,250
2017-08-03,250
2017-08-04,250
2017-08-05,250
2017-08-06,250
2017-08-09,250
2017-08-10,250
2017-08-11,250
2017-08-12,250
2017-08-13,250
2017-08-14,250
2017-08-15,250
2017-08-16,250
2017-08-17,250
2017-08-18,250
2017-08-19,250
2017-08-20,250
2017-08-21,250
2017-08-22,250
2017-08-23,250
2017-08-24,250
2017-08-25,250
2017-08-26,250
2017-08-27,250
2017-08-28,250
2017-08-29,250
2017-08-30,250
2017-08-31,250
2017-09-01,250
2017-09-03,250
2017-09-04,250
2017-09-05,250
2017-09-06,250
2017-09-07,250
2017-09-08,250
2017-09-09,250
2017-09-10,250
2017-09-11,250
2017-09-12,250
2017-09-13,250
2017-09-14,250
2017-09-15,250
2017-09-16,250
2017-09-17,250
2017-09-18,250
2017-09-19,250
2017-09-20,250
2017-09-21,250
2017-09-22,250
2017-09-23,250
2017-09-24,250
2017-09-25,250
2017-09-26,250
2017-09-27,250
2017-09-28,250
2017-09-29,250
2017-09-30,250
2017-10-01,250
2017-10-02,250
2017-10-03,250
2017-10-04,250
2017-10-05,250
2017-10-06,250
2017-10-07,250
2017-10-08,250
2017-10-09,250
2017-10-10,250
2017-10-11,240
2017-10-12,240
2017-10-13,240
2017-10-14,240
2017-10-15,240
2017-10-16,240
2017-10-17,240
2017-10-18,240
2017-10-19,240
2017-10-20,240
2017-10-21,240
2017-10-22,240
2017-10-23,240
2017-10-24,240
2017-10-25,240
2017-10-26,240
2017-10-27,240
2017-10-28,240
2017-10-29,240
2017-10-30,240
2017-10-31,240
2017-11-01,240
2017-11-02,240
2017-11-03,240
2017-11-04,240
2017-11-05,240
2017-11-06,240
2017-11-07,240
2017-11-08,240
2017-11-09,240
2017-11-10,240
2017-11-11,240
2017-11-12,240
2017-11-13,240
2017-11-14,240
2017-11-15,240
2017-11-16,240
2017-11-17,240
2017-11-18,240
2017-11-19,240
2017-11-20,240
2017-11-21,240
2017-11-22,240
2017-11-23,240
2017-11-24,240
2017-11-25,240
2017-11-26,240
2017-11-27,240
2017-11-28,240
2017-11-29,240
2017-11-30,240
2017-12-01,240
2017-12-02,240
2017-12-03,240
2017-12-04,240
2017-12-05,240
2017-12-06,240
2017-12-07,240
2017-12-08,240
2017-12-09,240
2017-12-10,240
2017-12-11,240
2017-12-12,240
2017-12-13,240
2017-12-14,240
2017-12-15,240
2017-12-16,240
2017-12-17,240
2017-12-18,240
2017-12-19,240
2017-12-20,240
2017-12-21,240
2017-12-22,240
2017-12-23,240
2017-12-24,240
2017-12-25,240
2017-12-26,240
2017-12-27,240
2017-12-28,240
2017-12-29,240
2017-12-30,240
2017-12-31,240
2018-01-01,240
2018-01-02,240
2018-01-03,240
2018-01-04,240
2018-01-05,240
2018-01-06,240
