date_obj,Orange%20boater price
2017-04-26,1626
2017-04-27,1626
2017-04-28,1596
2017-04-29,1596
2017-04-30,1596
2017-05-01,1596
2017-05-02,1596
2017-05-03,1568
2017-05-04,1568
2017-05-05,1568
2017-05-06,1568
2017-05-07,1568
2017-05-08,1512
2017-05-09,1512
2017-05-10,1512
2017-05-11,1512
2017-05-12,1512
2017-05-13,1475
2017-05-14,1475
2017-05-15,1475
2017-05-16,1475
2017-05-17,1475
2017-05-18,1475
2017-05-19,1475
2017-05-20,1447
2017-05-21,1447
2017-05-22,1447
2017-05-23,1447
2017-05-24,1447
2017-05-25,1447
2017-05-26,1447
2017-05-27,1407
2017-05-28,1407
2017-05-29,1407
2017-05-30,1407
2017-05-31,1407
2017-06-01,1407
2017-06-02,1364
2017-06-03,1364
2017-06-06,1364
2017-06-07,1364
2017-06-08,1341
2017-06-09,1341
2017-06-10,1341
2017-06-11,1341
2017-06-12,1341
2017-06-13,1341
2017-06-14,1284
2017-06-15,1284
2017-06-16,1284
2017-06-17,1284
2017-06-18,1284
2017-06-19,1284
2017-06-20,1225
2017-06-21,1225
2017-06-22,1225
2017-06-23,1225
2017-06-24,1225
2017-06-25,1225
2017-06-26,1225
2017-06-27,1167
2017-06-28,1167
2017-06-29,1167
2017-06-30,1167
2017-07-01,1167
2017-07-02,1167
2017-07-03,1167
2017-07-04,1128
2017-07-05,1128
2017-07-06,1128
2017-07-07,1128
2017-07-08,1128
2017-07-13,1117
2017-07-14,1117
2017-07-15,1117
2017-07-16,1117
2017-07-17,1117
2017-07-18,1148
2017-07-19,1148
2017-07-20,1148
2017-07-21,1148
2017-07-22,1148
2017-07-23,1148
2017-07-24,1134
2017-07-25,1134
2017-07-26,1134
2017-07-27,1134
2017-07-28,1134
2017-07-29,1134
2017-07-30,1093
2017-07-31,1093
2017-08-01,1093
2017-08-02,1093
2017-08-03,1093
2017-08-04,1093
2017-08-05,1093
2017-08-06,1051
2017-08-09,1051
2017-08-10,1051
2017-08-11,1051
2017-08-12,1031
2017-08-13,1031
2017-08-14,1031
2017-08-15,1031
2017-08-17,1031
2017-08-18,1033
2017-08-19,1033
2017-08-20,1033
2017-08-21,1033
2017-08-22,1033
2017-08-23,1033
2017-08-24,1022
2017-08-25,1022
2017-08-26,1022
2017-08-27,1022
2017-08-28,1022
2017-08-29,1022
2017-08-30,1049
2017-08-31,1049
2017-09-01,1049
2017-09-02,1049
2017-09-03,1049
2017-09-04,1049
2017-09-05,1043
2017-09-06,1043
2017-09-07,1043
2017-09-08,1043
2017-09-09,1043
2017-09-10,1043
2017-09-11,1080
2017-09-12,1080
2017-09-13,1080
2017-09-14,1080
2017-09-15,1080
2017-09-16,1080
2017-09-17,1114
2017-09-19,1114
2017-09-20,1114
2017-09-21,1114
2017-09-22,1114
2017-09-23,1114
2017-09-24,1151
2017-09-25,1151
2017-09-26,1151
2017-09-27,1151
2017-09-28,1151
2017-09-29,1151
2017-09-30,1151
2017-10-01,1139
2017-10-02,1139
2017-10-03,1139
2017-10-04,1139
2017-10-05,1139
2017-10-06,1139
2017-10-07,1139
2017-10-08,1132
2017-10-09,1132
2017-10-10,1132
2017-10-11,1132
2017-10-12,1132
2017-10-13,1132
2017-10-14,1127
2017-10-15,1127
2017-10-16,1127
2017-10-17,1127
2017-10-18,1127
2017-10-19,1127
2017-10-20,1127
2017-10-21,1120
2017-10-22,1120
2017-10-23,1120
2017-10-24,1120
2017-10-25,1120
2017-10-26,1105
2017-10-27,1105
2017-10-28,1105
2017-10-29,1105
2017-10-30,1105
2017-10-31,1057
2017-11-01,1057
2017-11-02,1057
2017-11-03,1057
2017-11-04,1057
2017-11-05,1057
2017-11-06,1057
2017-11-07,1018
2017-11-08,1018
2017-11-09,1018
2017-11-10,1018
2017-11-11,1018
2017-11-12,1018
2017-11-13,1018
2017-11-14,1010
2017-11-15,1010
2017-11-16,1010
2017-11-17,1010
2017-11-18,1010
2017-11-19,1010
2017-11-20,1010
2017-11-21,1036
2017-11-22,1036
2017-11-23,1036
2017-11-24,1036
2017-11-25,1036
2017-11-26,1036
2017-11-27,1036
2017-11-28,1018
2017-11-29,1018
2017-11-30,1018
2017-12-01,1018
2017-12-02,1018
2017-12-03,1018
2017-12-04,1018
2017-12-05,1031
2017-12-06,1031
2017-12-07,1031
2017-12-08,1031
2017-12-09,1031
2017-12-10,1031
2017-12-11,1044
2017-12-12,1044
2017-12-14,1044
2017-12-15,1044
2017-12-16,1044
2017-12-17,1044
2017-12-18,1054
2017-12-19,1054
2017-12-20,1054
2017-12-21,1054
2017-12-22,1054
2017-12-23,1054
2017-12-24,1054
2017-12-25,1054
2017-12-26,1045
2017-12-27,1045
2017-12-28,1045
2017-12-29,1045
2017-12-30,1045
2017-12-31,1045
2018-01-01,1002
2018-01-02,1002
2018-01-03,1002
2018-01-04,1002
2018-01-05,1002
2018-01-06,1002
2018-01-07,974
2018-01-08,974
2018-01-09,974
2018-01-10,974
2018-01-11,974
2018-01-12,974
2018-01-13,987
2018-01-14,987
2018-01-15,987
2018-01-16,987
2018-01-17,987
2018-01-18,1006
2018-01-19,1006
2018-01-20,1006
2018-01-21,1006
2018-01-22,1006
2018-01-23,1038
2018-01-24,1038
2018-01-25,1038
2018-01-26,1055
2018-01-27,1055
2018-01-28,1055
2018-01-29,1053
2018-01-31,1053
2018-02-01,1053
2018-02-02,1053
2018-02-03,1018
2018-02-04,1018
2018-02-05,1018
2018-02-06,1050
2018-02-07,1050
2018-02-08,1050
2018-02-09,1031
2018-02-10,1031
2018-02-11,1031
2018-02-12,994
2018-02-13,994
2018-02-14,994
2018-02-15,999
2018-02-16,999
2018-02-17,999
2018-02-18,1034
2018-02-19,1034
2018-02-20,1009
2018-02-21,1009
2018-02-22,1009
2018-02-23,960
2018-02-24,960
2018-02-25,973
2018-02-26,973
2018-02-27,973
2018-03-01,1018
2018-03-02,1024
2018-03-03,1024
2018-03-04,1024
2018-03-05,1030
2018-03-06,1030
2018-03-07,1030
2018-03-08,1023
2018-03-09,1023
2018-03-10,1028
2018-03-11,1028
2018-03-12,1028
2018-03-13,1049
2018-03-14,1049
2018-03-15,1049
2018-03-16,1049
2018-03-17,1054
2018-03-18,1054
2018-03-19,1054
2018-03-20,1071
2018-03-21,1071
2018-03-23,1071
2018-03-24,1047
2018-03-26,1047
2018-03-27,1076
2018-03-28,1076
2018-03-29,1076
2018-03-30,1076
2018-03-31,1065
2018-04-01,1065
2018-04-02,1065
2018-04-03,1027
2018-04-04,1027
2018-04-05,1027
2018-04-06,991
2018-04-08,991
2018-04-09,1007
2018-04-10,1007
2018-04-11,1007
2018-04-12,1016
2018-04-13,1016
2018-04-14,1016
2018-04-15,1031
2018-04-16,1031
2018-04-17,1031
2018-04-18,999
2018-04-19,999
2018-04-20,999
2018-04-21,981
2018-04-22,981
2018-04-23,981
2018-04-24,970
2018-04-25,970
2018-04-26,970
2018-04-27,969
2018-04-28,969
2018-04-29,969
2018-04-30,992
2018-05-01,992
2018-05-02,992
2018-05-04,1036
2018-05-05,1073
2018-05-06,1073
2018-05-07,1073
2018-05-08,1073
2018-05-09,1115
2018-05-10,1115
2018-05-11,1115
2018-05-12,1164
2018-05-13,1164
2018-05-14,1164
2018-05-15,1164
2018-05-16,1199
2018-05-17,1199
2018-05-18,1199
2018-05-19,1214
2018-05-20,1214
2018-05-21,1214
2018-05-22,1232
2018-05-23,1232
2018-05-24,1228
2018-05-25,1228
2018-05-26,1228
2018-05-27,1277
2018-05-28,1277
2018-05-29,1294
2018-05-30,1294
2018-05-31,1294
2018-06-01,1341
2018-06-02,1341
2018-06-03,1380
2018-06-04,1380
2018-06-05,1436
2018-06-06,1436
2018-06-07,1436
2018-06-08,1477
2018-06-09,1477
2018-06-10,1477
2018-06-11,1515
2018-06-12,1515
2018-06-13,1515
2018-06-14,1515
2018-06-15,1515
2018-06-16,1582
2018-06-17,1582
2018-06-18,1582
2018-06-19,1626
2018-06-20,1626
2018-06-21,1626
2018-06-22,1604
2018-06-23,1604
2018-06-24,1604
2018-06-25,1636
2018-06-26,1636
2018-06-27,1636
2018-06-28,1647
2018-06-29,1647
2018-06-30,1647
2018-07-01,1627
2018-07-02,1627
2018-07-03,1627
2018-07-04,1622
2018-07-05,1622
2018-07-06,1622
2018-07-07,1635
2018-07-08,1635
2018-07-09,1627
2018-07-10,1627
2018-07-11,1627
2018-07-12,1627
2018-07-13,1593
2018-07-14,1593
2018-07-15,1537
2018-07-16,1537
2018-07-17,1481
2018-07-18,1481
2018-07-19,1481
2018-07-20,1418
2018-07-21,1418
2018-07-22,1367
2018-07-23,1367
2018-07-24,1367
2018-07-25,1357
2018-07-26,1357
2018-07-27,1392
2018-07-28,1392
2018-07-29,1392
2018-07-30,1438
2018-07-31,1438
2018-08-01,1478
2018-08-02,1478
2018-08-03,1478
2018-08-04,1519
2018-08-05,1519
2018-08-06,1473
2018-08-07,1473
2018-08-08,1502
2018-08-09,1502
2018-08-10,1502
2018-08-11,1499
2018-08-12,1499
2018-08-14,1539
2018-08-16,1603
