date_obj,Ensouled%20dagannoth%20head price
2018-07-23,3869
2018-07-24,3690
2018-07-25,3641
2018-07-26,3477
2018-07-27,3408
2018-07-28,3455
2018-07-29,3429
2018-07-30,3426
2018-07-31,3556
2018-08-01,3550
2018-08-02,3504
2018-08-03,3538
2018-08-04,3511
2018-08-05,3434
2018-08-06,3461
2018-08-07,3433
2018-08-08,3404
2018-08-09,3421
2018-08-10,3451
2018-08-11,3424
2018-08-12,3436
2018-08-14,3206
2018-08-16,3295
2018-08-17,3270
2018-08-18,3237
2018-08-19,3180
2018-08-20,3135
2018-08-21,3171
2018-08-22,3207
2018-08-23,3318
2018-08-24,3307
2018-08-25,3395
2018-08-26,3560
2018-08-27,3587
2018-08-28,3592
2018-08-29,3642
2018-08-30,3582
2018-08-31,3576
2018-09-01,3598
2018-09-02,3595
2018-09-03,3523
2018-09-04,3625
2018-09-05,3520
2018-09-06,3431
2018-09-07,3335
2018-09-08,3348
2018-09-09,3297
2018-09-10,3402
2018-09-11,3378
2018-09-12,3357
2018-09-13,3321
2018-09-14,3350
2018-09-15,3403
2018-09-16,3443
2018-09-17,3491
2018-09-18,3503
2018-09-19,3543
2018-09-20,3571
2018-09-21,3588
2018-09-22,3565
2018-09-23,3554
2018-09-24,3535
2018-09-25,3513
2018-09-26,3440
2018-09-27,3315
2018-09-28,3478
2018-09-29,3532
2018-09-30,3421
2018-10-01,3505
2018-10-02,3590
2018-10-03,3454
2018-10-04,3359
2018-10-05,3405
2018-10-06,3491
2018-10-07,3629
2018-10-08,3619
2018-10-09,3521
2018-10-10,3367
2018-10-11,3405
2018-10-12,3440
2018-10-13,3420
2018-10-14,3373
2018-10-15,3367
2018-10-16,3346
2018-10-17,3326
2018-10-18,3322
2018-10-19,3326
2018-10-20,3311
2018-10-21,3349
2018-10-22,3323
2018-10-23,3309
2018-10-24,3390
2018-10-25,3494
2018-10-26,3384
2018-10-27,3343
2018-10-28,3367
2018-10-29,3301
2018-10-30,3353
2018-10-31,3297
2018-11-01,3343
2018-11-03,3322
2018-11-04,3350
2018-11-05,3362
2018-11-06,3306
2018-11-07,3228
2018-11-08,3269
2018-11-09,3306
2018-11-10,3286
2018-11-11,3406
2018-11-12,3331
2018-11-13,3278
2018-11-14,3241
2018-11-15,3320
2018-11-16,3357
2018-11-17,3337
2018-11-18,3256
2018-11-19,3229
2018-11-20,3333
2018-11-21,3221
2018-11-22,3217
2018-11-23,3204
2018-11-24,3236
2018-11-25,3312
2018-11-26,3326
2018-11-27,3304
2018-11-28,3229
2018-11-29,3212
2018-12-01,3212
2018-12-02,3107
2018-12-03,2984
2018-12-04,2998
2018-12-05,3089
2018-12-07,3309
2018-12-09,3290
2018-12-10,3188
2018-12-11,3214
2018-12-12,3167
2018-12-13,3291
2018-12-14,3178
2018-12-15,3142
2018-12-16,3102
2018-12-17,3234
2018-12-18,3181
2018-12-19,3092
2018-12-20,3183
2018-12-21,3077
2018-12-22,3103
2018-12-23,3009
2018-12-24,3001
2018-12-25,2872
2018-12-26,2752
2018-12-27,2805
2018-12-28,2921
2018-12-29,2996
2018-12-30,3134
2018-12-31,3079
2019-01-01,3020
2019-01-02,3007
2019-01-03,3055
2019-01-04,3005
2019-01-05,3056
2019-01-06,3011
2019-01-08,2929
2019-01-10,3005
2019-01-11,3031
2019-01-12,2960
2019-01-13,2821
2019-01-14,2742
2019-01-15,2764
2019-01-16,2707
2019-01-17,2798
2019-01-18,2701
2019-01-19,2799
2019-01-20,2809
2019-01-21,2827
2019-01-22,2815
2019-01-23,2803
2019-01-24,2864
2019-01-25,2823
2019-01-26,2862
2019-01-27,2900
2019-01-28,2985
2019-01-29,2970
2019-01-30,2905
2019-01-31,3019
2019-02-01,2980
2019-02-02,2889
2019-02-03,2794
2019-02-04,2913
2019-02-05,2984
2019-02-06,2963
2019-02-07,2885
2019-02-08,2930
2019-02-09,2830
2019-02-10,2831
2019-02-11,2911
2019-02-12,2978
2019-02-13,2985
2019-02-14,3006
2019-02-15,3016
2019-02-16,3078
2019-02-17,2961
2019-02-18,3044
2019-02-19,3103
2019-02-20,3135
2019-02-21,3197
2019-02-22,3184
2019-02-23,3067
2019-02-24,3017
2019-02-25,2948
2019-02-26,3003
2019-02-27,3036
2019-02-28,3063
2019-03-01,3095
2019-03-02,3012
2019-03-03,3050
2019-03-04,3183
2019-03-05,3177
2019-03-06,3101
2019-03-07,3054
2019-03-08,3062
2019-03-09,3065
2019-03-10,3157
2019-03-11,3218
2019-03-12,3261
2019-03-13,3161
2019-03-14,3220
2019-03-15,3139
2019-03-16,3157
2019-03-17,3158
2019-03-18,3218
2019-03-19,3149
2019-03-20,3148
2019-03-21,3174
2019-03-22,3151
2019-03-23,3174
2019-03-24,3118
2019-03-25,3162
2019-03-26,3210
2019-03-27,3117
2019-03-28,3123
2019-03-29,3131
2019-03-30,3153
2019-03-31,3032
2019-04-01,2979
2019-04-02,2986
2019-04-03,3071
2019-04-04,3090
2019-04-05,3106
2019-04-06,3161
2019-04-07,3115
2019-04-08,3051
2019-04-09,3053
2019-04-10,3016
2019-04-11,3010
2019-04-12,3063
2019-04-13,3034
2019-04-14,2985
2019-04-15,2900
2019-04-16,2892
2019-04-17,2929
2019-04-18,2960
2019-04-19,2931
2019-04-20,3013
2019-04-21,3132
2019-04-22,3150
2019-04-23,3118
2019-04-24,3122
2019-04-25,3131
2019-04-26,3188
2019-04-27,3075
2019-04-28,3032
2019-04-29,2973
2019-04-30,2960
2019-05-01,2887
2019-05-02,2822
2019-05-03,2816
2019-05-04,2928
2019-05-05,3007
2019-05-06,3064
2019-05-07,3034
2019-05-08,2985
2019-05-09,2937
2019-05-10,2890
2019-05-11,2929
2019-05-12,2946
2019-05-13,2873
2019-05-14,2788
2019-05-15,2697
2019-05-16,2754
2019-05-17,2891
2019-05-18,2870
2019-05-19,2932
2019-05-20,3059
2019-05-21,3187
2019-05-22,3309
2019-05-23,3202
2019-05-24,3212
2019-05-25,3189
2019-05-26,3048
2019-05-27,2898
2019-05-28,2857
2019-05-29,2967
2019-05-30,2985
2019-05-31,2940
2019-06-01,2912
2019-06-02,2922
2019-06-03,2909
2019-06-04,2967
2019-06-05,2926
2019-06-06,2951
2019-06-07,3016
2019-06-08,2968
2019-06-09,2866
2019-06-10,2873
2019-06-11,2871
2019-06-12,2880
2019-06-13,2921
2019-06-14,2925
2019-06-15,2987
2019-06-16,2996
2019-06-17,2973
2019-06-18,2985
2019-06-19,2988
2019-06-20,2883
2019-06-21,2851
2019-06-22,2871
