date_obj,Raw%20anglerfish price
2018-02-05,1386
2018-02-06,1395
2018-02-07,1386
2018-02-08,1363
2018-02-09,1354
2018-02-10,1339
2018-02-11,1355
2018-02-12,1363
2018-02-13,1366
2018-02-14,1369
2018-02-15,1380
2018-02-16,1379
2018-02-17,1350
2018-02-18,1361
2018-02-19,1362
2018-02-20,1365
2018-02-21,1361
2018-02-22,1358
2018-02-23,1340
2018-02-24,1359
2018-02-25,1349
2018-02-26,1351
2018-02-27,1359
2018-02-28,1358
2018-03-01,1359
2018-03-02,1341
2018-03-03,1326
2018-03-04,1326
2018-03-05,1322
2018-03-06,1319
2018-03-07,1320
2018-03-08,1313
2018-03-09,1300
2018-03-10,1307
2018-03-11,1311
2018-03-12,1319
2018-03-13,1333
2018-03-14,1331
2018-03-15,1313
2018-03-16,1293
2018-03-17,1303
2018-03-18,1312
2018-03-19,1317
2018-03-20,1329
2018-03-21,1313
2018-03-23,1313
2018-03-24,1313
2018-03-26,1323
2018-03-27,1321
2018-03-28,1284
2018-03-29,1280
2018-03-30,1286
2018-03-31,1279
2018-04-01,1272
2018-04-02,1257
2018-04-03,1250
2018-04-04,1256
2018-04-05,1256
2018-04-06,1232
2018-04-08,1212
2018-04-09,1223
2018-04-10,1221
2018-04-11,1224
2018-04-12,1246
2018-04-13,1225
2018-04-14,1188
2018-04-15,1167
2018-04-16,1163
2018-04-17,1173
2018-04-18,1176
2018-04-19,1167
2018-04-20,1163
2018-04-21,1142
2018-04-22,1133
2018-04-23,1153
2018-04-24,1143
2018-04-25,1127
2018-04-26,1128
2018-04-27,1089
2018-04-28,1095
2018-04-29,1124
2018-04-30,1140
2018-05-01,1130
2018-05-02,1179
2018-05-03,1167
2018-05-04,1160
2018-05-05,1134
2018-05-06,1134
2018-05-07,1124
2018-05-08,1134
2018-05-09,1148
2018-05-10,1201
2018-05-11,1199
2018-05-12,1185
2018-05-13,1185
2018-05-14,1193
2018-05-15,1213
2018-05-16,1209
2018-05-17,1184
2018-05-18,1184
2018-05-19,1152
2018-05-20,1176
2018-05-21,1163
2018-05-22,1163
2018-05-23,1205
2018-05-24,1201
2018-05-25,1230
2018-05-26,1242
2018-05-27,1267
2018-05-28,1261
2018-05-29,1239
2018-05-30,1240
