date_obj,Larupia%20hat price
2018-08-25,4275
2018-08-26,4275
2018-08-27,4275
2018-08-28,4402
2018-08-29,4402
2018-08-30,4402
2018-08-31,4408
2018-09-01,4408
2018-09-02,4408
2018-09-03,4383
2018-09-04,4383
2018-09-05,4340
2018-09-06,4340
2018-09-07,4340
2018-09-08,4266
2018-09-09,4266
2018-09-10,4266
2018-09-11,4058
2018-09-12,4058
2018-09-13,3881
2018-09-14,3881
2018-09-15,3686
2018-09-16,3686
2018-09-17,3686
2018-09-18,3602
2018-09-19,3602
2018-09-20,3602
2018-09-21,3497
2018-09-22,3497
2018-09-23,3395
2018-09-24,3395
2018-09-25,3395
2018-09-26,3451
2018-09-27,3451
2018-09-28,3451
2018-09-29,3536
2018-09-30,3536
2018-10-02,3557
2018-10-03,3557
2018-10-04,3557
2018-10-05,3396
2018-10-06,3396
2018-10-07,3396
2018-10-08,3226
2018-10-09,3226
2018-10-10,3226
2018-10-11,3131
2018-10-12,3131
2018-10-13,3131
2018-10-14,3103
2018-10-15,3103
2018-10-16,3103
2018-10-17,3082
2018-10-18,3082
2018-10-19,3082
2018-10-20,3155
2018-10-21,3155
2018-10-22,3155
2018-10-23,3035
2018-10-24,3035
2018-10-25,3035
2018-10-26,3035
2018-10-27,3037
2018-10-28,3037
2018-10-29,3037
2018-10-30,2998
2018-10-31,2998
2018-11-01,2998
2018-11-03,2983
2018-11-04,2983
2018-11-05,2840
2018-11-06,2840
2018-11-07,2711
2018-11-08,2711
2018-11-09,2711
2018-11-10,2777
2018-11-11,2777
2018-11-12,2884
2018-11-13,2884
2018-11-14,3026
2018-11-15,3026
2018-11-16,2906
2018-11-17,2906
2018-11-18,2794
2018-11-19,2794
2018-11-20,2654
2018-11-21,2654
2018-11-22,2590
2018-11-23,2590
2018-11-24,2460
2018-11-25,2460
2018-11-26,2375
2018-11-27,2375
2018-11-28,2345
2018-11-29,2345
2018-12-01,2236
2018-12-02,2128
2018-12-03,2128
2018-12-04,2128
2018-12-05,2090
2018-12-07,2090
2018-12-09,2129
2018-12-10,2231
2018-12-11,2231
2018-12-12,2231
2018-12-13,2227
2018-12-14,2227
2018-12-15,2227
2018-12-16,2249
2018-12-17,2249
2018-12-18,2249
2018-12-19,2219
2018-12-20,2219
2018-12-21,2238
2018-12-22,2238
2018-12-23,2250
2018-12-24,2250
2018-12-25,2250
2018-12-26,2278
2018-12-27,2278
2018-12-28,2278
2018-12-29,2312
2018-12-30,2312
2018-12-31,2312
2019-01-01,2234
2019-01-02,2234
