date_obj,Old%20school%20bond price
2018-01-20,2785628
2018-01-21,2864344
2018-01-22,2939547
2018-01-23,2981924
2018-01-24,2964449
2018-01-25,2886735
2018-01-26,2815241
2018-01-27,2782479
2018-01-28,2842356
2018-01-29,2912448
2018-01-31,2878321
2018-02-01,2838333
2018-02-02,2775809
2018-02-03,2788205
2018-02-04,2835194
2018-02-05,2889159
2018-02-06,2854075
2018-02-07,2839526
2018-02-08,2829334
2018-02-09,2817392
2018-02-10,2806548
2018-02-11,2838435
2018-02-12,2892017
2018-02-13,2960850
2018-02-14,2955382
2018-02-15,2951323
2018-02-16,2846812
2018-02-17,2793728
2018-02-18,2873372
2018-02-19,2949755
2018-02-20,3022012
2018-02-21,3008554
2018-02-22,2890130
2018-02-23,2823315
2018-02-24,2805800
2018-02-25,2842990
2018-02-26,2872701
2018-02-27,2749463
2018-03-01,2653173
2018-03-02,2678449
2018-03-03,2723063
2018-03-04,2790897
2018-03-05,2856264
2018-03-06,2886085
2018-03-07,2871237
2018-03-08,2850808
2018-03-09,2770844
2018-03-10,2716489
2018-03-11,2689337
2018-03-12,2778779
2018-03-13,2860529
2018-03-14,2912234
2018-03-15,2973558
2018-03-16,2962412
2018-03-17,2938928
2018-03-18,2973567
2018-03-19,3024179
2018-03-20,3127340
2018-03-21,3190254
2018-03-23,3138218
2018-03-24,3058018
2018-03-26,3133305
2018-03-27,3239020
2018-03-28,3271788
2018-03-29,3217942
2018-03-30,3108284
2018-03-31,3136325
2018-04-01,3170270
2018-04-02,3273252
2018-04-03,3369249
2018-04-04,3408608
2018-04-05,3374546
2018-04-06,3312259
2018-04-08,3275385
2018-04-09,3390194
2018-04-10,3554895
2018-04-11,3711492
2018-04-12,3734290
2018-04-13,3598500
2018-04-14,3477622
2018-04-15,3505612
2018-04-16,3632518
2018-04-17,3725510
2018-04-18,3797568
2018-04-19,3860830
2018-04-20,3747426
2018-04-21,3639300
2018-04-22,3700311
2018-04-23,3810377
2018-04-24,3880091
2018-04-25,3884570
2018-04-26,3916105
2018-04-27,3822420
2018-04-28,3717281
2018-04-29,3696410
2018-04-30,3720520
2018-05-01,3827737
2018-05-02,3923535
2018-05-04,3789978
2018-05-05,3718248
2018-05-06,3736978
2018-05-07,3762074
2018-05-08,3793730
2018-05-09,3839852
2018-05-10,3739921
2018-05-11,3580698
2018-05-12,3568727
2018-05-13,3580599
2018-05-14,3717100
2018-05-15,3802845
2018-05-16,3866413
2018-05-17,3866029
