date_obj,Mithril%20plateskirt price
2018-10-28,1348
2018-10-29,1348
2018-10-30,1351
2018-10-31,1370
2018-11-01,1359
2018-11-03,1400
2018-11-04,1383
2018-11-05,1378
2018-11-06,1379
2018-11-07,1377
2018-11-08,1350
2018-11-09,1380
2018-11-10,1427
2018-11-11,1430
2018-11-12,1432
2018-11-13,1406
2018-11-14,1450
2018-11-15,1447
2018-11-16,1407
2018-11-17,1406
2018-11-18,1379
2018-11-19,1359
2018-11-20,1381
2018-11-21,1418
2018-11-22,1368
2018-11-23,1345
2018-11-24,1330
2018-11-25,1339
2018-11-26,1404
2018-11-27,1417
2018-11-28,1418
2018-11-29,1370
2018-12-01,1466
2018-12-02,1455
2018-12-03,1444
2018-12-04,1438
2018-12-05,1446
2018-12-07,1402
2018-12-09,1408
2018-12-10,1418
2018-12-11,1395
2018-12-12,1402
2018-12-13,1380
2018-12-14,1404
2018-12-15,1418
2018-12-16,1415
2018-12-17,1351
2018-12-18,1322
2018-12-19,1335
2018-12-20,1339
2018-12-21,1332
2018-12-22,1341
2018-12-23,1377
2018-12-24,1343
2018-12-25,1337
2018-12-26,1346
2018-12-27,1335
2018-12-28,1363
2018-12-29,1361
2018-12-30,1394
2018-12-31,1384
2019-01-01,1320
2019-01-02,1317
2019-01-03,1335
2019-01-04,1343
2019-01-05,1361
2019-01-06,1366
2019-01-08,1317
2019-01-10,1411
2019-01-11,1374
2019-01-12,1352
2019-01-13,1392
2019-01-14,1382
2019-01-15,1446
2019-01-16,1455
2019-01-17,1417
2019-01-18,1385
2019-01-19,1353
2019-01-20,1344
2019-01-21,1319
2019-01-22,1338
2019-01-23,1332
2019-01-25,1296
2019-01-26,1312
2019-01-28,1305
2019-01-29,1329
2019-01-30,1352
2019-01-31,1393
2019-02-01,1368
2019-02-02,1320
2019-02-03,1331
2019-02-04,1350
2019-02-05,1345
2019-02-06,1328
2019-02-07,1377
2019-02-08,1366
2019-02-09,1331
2019-02-10,1379
2019-02-11,1389
2019-02-12,1350
2019-02-13,1377
2019-02-14,1377
2019-02-15,1381
2019-02-16,1340
2019-02-17,1348
2019-02-18,1387
2019-02-19,1384
2019-02-20,1373
2019-02-21,1366
2019-02-22,1389
2019-02-23,1355
2019-02-24,1339
2019-02-25,1359
2019-02-26,1352
2019-02-27,1380
2019-02-28,1357
2019-03-01,1351
2019-03-02,1351
2019-03-03,1341
2019-03-04,1354
2019-03-05,1382
2019-03-06,1382
2019-03-07,1383
2019-03-08,1383
2019-03-09,1369
2019-03-10,1328
2019-03-11,1294
2019-03-12,1338
2019-03-13,1369
2019-03-14,1339
2019-03-15,1341
2019-03-16,1343
2019-03-17,1346
2019-03-18,1346
2019-03-19,1332
2019-03-20,1326
2019-03-21,1373
2019-03-22,1328
2019-03-23,1378
2019-03-24,1387
2019-03-25,1368
2019-03-26,1370
2019-03-27,1370
2019-03-28,1379
2019-03-29,1362
2019-03-30,1362
2019-03-31,1332
2019-04-01,1366
2019-04-02,1340
2019-04-03,1317
2019-04-04,1340
