date_obj,Tinderbox price
2019-07-03,9
2019-07-04,9
2019-07-05,8
2019-07-06,8
2019-07-07,7
2019-07-08,7
2019-07-09,6
2019-07-10,5
2019-07-11,6
2019-07-12,5
2019-07-13,5
2019-07-14,4
2019-07-15,4
2019-07-16,3
2019-07-17,4
2019-07-18,5
2019-07-19,6
2019-07-20,7
2019-07-21,8
2019-07-22,8
2019-07-23,9
2019-07-24,10
2019-07-25,11
2019-07-26,12
2019-07-27,13
2019-07-28,14
2019-07-29,15
2019-07-30,16
2019-07-31,17
2019-08-01,18
2019-08-02,19
2019-08-03,20
2019-08-04,21
2019-08-05,23
2019-08-06,24
2019-08-07,26
2019-08-08,28
2019-08-09,30
2019-08-10,32
2019-08-11,34
2019-08-12,36
2019-08-13,38
2019-08-14,40
2019-08-15,42
2019-08-16,45
2019-08-17,48
2019-08-18,50
2019-08-19,53
2019-08-20,55
2019-08-21,58
2019-08-22,61
2019-08-23,64
2019-08-24,65
2019-08-24,65
2019-08-25,68
2019-08-25,68
2019-08-26,68
2019-08-26,68
2019-08-27,67
2019-08-27,67
2019-08-28,67
2019-08-29,69
2019-08-30,70
2019-08-31,72
2019-09-01,74
2019-09-02,77
2019-09-03,76
2019-09-04,72
