date_obj,Asgarnian%20ale price
2017-04-05,125
2017-04-12,119
2017-04-13,113
2017-04-14,107
2017-04-15,101
2017-04-16,102
2017-04-17,106
2017-04-18,111
2017-04-19,115
2017-04-20,120
2017-04-21,121
2017-04-22,122
2017-04-23,122
2017-04-24,127
2017-04-25,131
2017-04-26,136
2017-04-27,142
2017-04-28,143
2017-04-29,138
2017-04-30,140
2017-05-01,136
2017-05-02,141
2017-05-03,144
2017-05-04,149
2017-05-05,146
2017-05-06,141
2017-05-07,147
2017-05-08,144
2017-05-09,146
2017-05-10,153
2017-05-11,158
2017-05-12,163
2017-05-13,165
2017-05-14,164
2017-05-15,171
2017-05-16,170
2017-05-17,177
2017-05-18,185
2017-05-19,186
2017-05-20,185
2017-05-21,185
2017-05-22,183
2017-05-23,177
2017-05-24,170
2017-05-25,162
2017-05-26,157
2017-05-27,156
2017-05-28,157
2017-05-29,155
2017-05-30,155
2017-05-31,151
2017-06-01,144
2017-06-02,136
2017-06-03,129
2017-06-04,130
2017-06-05,133
2017-06-06,133
2017-06-07,132
2017-06-08,132
2017-06-09,135
2017-06-10,132
2017-06-11,129
2017-06-12,122
2017-06-13,115
2017-06-14,109
2017-06-15,103
2017-06-16,97
2017-06-17,92
2017-06-18,87
2017-06-19,87
2017-06-20,82
2017-06-21,77
2017-06-22,73
2017-06-23,70
2017-06-24,70
2017-06-25,68
2017-06-26,68
2017-06-27,69
2017-06-28,65
2017-06-29,64
2017-06-30,60
2017-07-01,60
2017-07-02,57
2017-07-03,54
2017-07-04,51
2017-07-05,48
2017-07-06,45
2017-07-07,42
2017-07-08,40
2017-07-09,41
2017-07-13,48
2017-07-14,51
2017-07-15,51
2017-07-16,53
2017-07-17,55
2017-07-18,58
2017-07-19,61
2017-07-20,64
2017-07-21,66
2017-07-22,69
2017-07-23,70
2017-07-24,71
2017-07-25,73
2017-07-26,74
2017-07-27,77
2017-07-28,80
2017-07-29,81
2017-07-30,79
2017-07-31,79
2017-08-01,79
2017-08-02,82
2017-08-03,86
2017-08-04,89
2017-08-05,89
2017-08-06,90
2017-08-07,89
2017-08-08,87
2017-08-09,84
2017-08-10,87
2017-08-11,87
2017-08-12,89
2017-08-13,89
2017-08-14,89
2017-08-15,89
2017-08-16,89
2017-08-17,90
2017-08-18,90
2017-08-19,90
2017-08-20,90
2017-08-21,87
2017-08-22,89
2017-08-23,89
2017-08-24,89
2017-08-25,89
2017-08-26,88
2017-08-27,89
2017-08-28,88
2017-08-29,89
2017-08-30,89
2017-08-31,86
2017-09-01,86
2017-09-02,88
2017-09-03,88
2017-09-04,90
2017-09-05,88
2017-09-06,85
2017-09-07,86
2017-09-08,86
2017-09-09,85
2017-09-10,83
2017-09-11,83
2017-09-12,81
2017-09-13,85
2017-09-14,89
2017-09-15,89
2017-09-16,86
2017-09-17,89
2017-09-18,89
2017-09-19,87
2017-09-20,88
2017-09-22,90
2017-09-23,94
2017-09-24,96
2017-09-25,100
2017-09-26,99
2017-09-27,102
2017-09-28,105
2017-09-29,107
2017-09-30,105
2017-10-01,105
2017-10-02,99
2017-10-03,98
2017-10-04,98
2017-10-05,102
2017-10-06,102
2017-10-07,97
2017-10-08,100
2017-10-09,101
2017-10-10,96
2017-10-11,96
2017-10-12,91
2017-10-13,86
2017-10-14,81
2017-10-15,81
2017-10-16,79
2017-10-17,79
2017-10-18,80
2017-10-19,80
2017-10-20,80
2017-10-21,78
2017-10-22,81
2017-10-23,80
2017-10-24,81
2017-10-25,77
2017-10-26,73
2017-10-27,69
2017-10-28,69
2017-10-29,65
2017-10-30,61
2017-10-31,57
2017-11-01,57
2017-11-02,55
2017-11-03,56
2017-11-04,59
2017-11-05,62
2017-11-06,66
2017-11-07,70
2017-11-08,74
2017-11-09,74
2017-11-10,73
2017-11-11,73
2017-11-12,70
2017-11-13,69
2017-11-14,69
2017-11-15,66
2017-11-16,65
2017-11-17,62
2017-11-18,59
2017-11-19,60
2017-11-20,61
2017-11-21,64
2017-11-22,67
2017-11-23,63
2017-11-24,61
2017-11-25,63
2017-11-26,64
2017-11-27,64
2017-11-28,67
2017-11-29,70
2017-11-30,70
2017-12-01,74
2017-12-02,70
2017-12-03,67
2017-12-04,67
2017-12-05,66
2017-12-06,69
2017-12-07,66
2017-12-08,66
2017-12-09,65
2017-12-10,67
2017-12-11,70
2017-12-12,70
2017-12-13,68
2017-12-14,69
2017-12-15,71
2017-12-16,75
2017-12-17,75
2017-12-18,78
2017-12-19,82
2017-12-20,86
2017-12-21,91
2017-12-22,86
2017-12-23,89
2017-12-24,90
2017-12-25,88
2017-12-26,83
2017-12-27,82
2017-12-28,77
2017-12-29,75
2017-12-30,77
2017-12-31,76
2018-01-01,74
2018-01-02,76
2018-01-03,77
2018-01-04,75
2018-01-05,74
2018-01-06,76
2018-01-07,75
2018-01-08,72
2018-01-09,72
2018-01-10,75
2018-01-11,74
2018-01-12,75
2018-01-13,75
2018-01-14,76
2018-01-15,80
2018-01-16,84
2018-01-17,89
2018-01-18,91
2018-01-19,91
2018-01-20,91
2018-01-21,87
2018-01-22,83
2018-01-23,80
2018-01-24,78
2018-01-25,77
2018-01-26,81
2018-01-27,82
2018-01-28,84
2018-01-29,87
2018-01-30,84
2018-01-31,79
2018-02-01,75
2018-02-02,71
2018-02-03,68
2018-02-04,71
2018-02-05,75
2018-02-06,79
2018-02-07,83
2018-02-08,88
2018-02-09,93
2018-02-10,96
2018-02-11,98
2018-02-12,102
2018-02-13,105
2018-02-14,105
2018-02-15,103
2018-02-16,98
2018-02-17,99
2018-02-18,97
2018-02-19,93
2018-02-20,96
2018-02-21,98
2018-02-22,97
2018-02-23,93
2018-02-24,94
2018-02-25,93
2018-02-26,95
