date_obj,Lesser%20demon%20mask price
2018-01-06,26147
2018-01-07,26147
2018-01-08,26147
2018-01-09,26147
2018-01-10,25147
2018-01-11,25147
2018-01-12,25147
2018-01-13,25147
2018-01-14,25147
2018-01-15,25147
2018-01-16,25147
2018-01-17,25147
2018-01-18,23973
2018-01-19,23973
2018-01-20,23973
2018-01-21,23973
2018-01-22,23973
2018-01-23,23973
2018-01-25,22878
2018-01-26,22878
2018-01-27,22878
2018-01-28,22214
2018-01-29,22214
2018-01-31,22214
2018-02-01,21694
2018-02-02,21694
2018-02-03,21694
2018-02-04,21694
2018-02-05,21147
2018-02-06,21147
2018-02-07,21147
2018-02-08,21147
2018-02-09,20880
2018-02-10,20880
2018-02-11,20880
2018-02-12,20880
2018-02-13,20094
2018-02-14,20094
2018-02-15,20094
2018-02-16,20094
2018-02-17,19981
2018-02-18,19981
2018-02-19,19981
2018-02-20,19981
2018-02-21,19914
2018-02-22,19914
2018-02-23,19914
2018-02-24,19914
2018-02-25,20314
2018-02-26,20314
2018-02-27,20314
2018-02-28,20314
2018-03-01,20935
2018-03-02,20935
2018-03-03,20935
2018-03-04,20935
2018-03-05,21091
2018-03-06,21091
2018-03-07,21091
2018-03-08,21091
2018-03-09,20316
2018-03-10,20316
2018-03-11,20316
2018-03-12,20031
2018-03-13,20031
2018-03-14,20031
2018-03-15,20031
2018-03-16,19092
2018-03-17,19092
2018-03-18,19092
2018-03-19,19092
2018-03-20,18188
2018-03-21,18188
2018-03-23,18188
2018-03-24,17595
2018-03-25,17595
2018-03-26,17595
2018-03-27,17595
2018-03-28,17130
2018-03-29,17130
2018-03-30,17130
2018-03-31,17130
2018-04-01,17130
2018-04-02,16905
2018-04-03,16905
2018-04-04,16905
2018-04-05,16905
2018-04-06,17131
2018-04-07,17131
2018-04-08,17131
2018-04-09,17131
2018-04-10,17131
2018-04-11,17364
2018-04-12,17364
2018-04-13,17364
2018-04-14,17364
2018-04-15,17364
2018-04-16,16714
2018-04-17,16714
2018-04-18,16714
2018-04-19,16714
2018-04-20,16043
2018-04-21,16043
2018-04-22,16043
2018-04-23,16043
2018-04-24,15382
2018-04-25,15382
2018-04-26,15382
2018-04-27,15382
2018-04-28,14670
2018-04-29,14670
2018-04-30,14670
2018-05-01,14162
2018-05-04,14162
2018-05-05,13825
2018-05-06,13825
2018-05-08,13825
2018-05-09,13506
2018-05-10,13506
2018-05-11,13506
2018-05-12,13107
2018-05-13,13107
2018-05-14,13107
2018-05-15,13107
2018-05-16,13025
2018-05-17,13025
2018-05-18,13025
2018-05-19,13025
2018-05-20,13450
2018-05-21,13450
2018-05-22,13450
2018-05-23,13450
2018-05-24,13969
2018-05-25,13969
2018-05-26,13969
2018-05-27,13969
2018-05-28,13758
2018-05-29,13758
2018-05-30,13758
2018-05-31,13758
2018-06-01,13663
2018-06-02,13663
2018-06-03,13663
2018-06-04,13663
2018-06-05,13923
2018-06-06,13923
2018-06-07,13923
2018-06-08,13923
2018-06-09,13944
2018-06-10,13944
2018-06-11,13944
2018-06-12,13944
2018-06-13,13730
2018-06-14,13730
2018-06-15,13730
2018-06-16,13730
2018-06-17,14144
2018-06-18,14144
2018-06-19,14144
2018-06-20,14144
2018-06-21,14144
2018-06-22,14815
2018-06-23,14815
2018-06-24,14815
2018-06-25,14815
2018-06-26,14815
2018-06-27,15457
2018-06-28,15457
2018-06-29,15457
2018-06-30,15457
2018-07-01,16189
2018-07-02,16189
2018-07-03,16189
2018-07-04,16189
2018-07-05,16189
2018-07-06,16528
2018-07-07,16528
2018-07-08,16528
2018-07-09,16528
2018-07-10,16315
2018-07-11,16315
2018-07-12,16315
2018-07-13,16315
2018-07-14,16571
2018-07-15,16571
2018-07-16,16571
2018-07-17,16571
2018-07-18,16831
2018-07-19,16831
2018-07-20,16831
2018-07-21,16831
2018-07-22,17562
2018-07-23,17562
2018-07-24,17562
2018-07-25,18393
2018-07-26,18393
2018-07-27,18393
2018-07-28,18393
2018-07-29,19107
2018-07-30,19107
2018-07-31,19107
2018-08-01,19107
2018-08-02,19106
2018-08-03,19106
2018-08-04,19106
2018-08-05,18492
2018-08-06,18492
2018-08-07,18492
2018-08-08,17768
2018-08-09,17768
2018-08-10,17768
2018-08-11,17768
2018-08-12,18482
2018-08-14,18482
2018-08-16,18800
2018-08-17,18800
2018-08-18,18800
2018-08-19,19222
2018-08-20,19222
2018-08-21,19222
2018-08-22,19591
2018-08-23,19591
2018-08-24,19591
2018-08-25,19919
2018-08-26,19919
2018-08-27,19919
2018-08-28,19952
2018-08-29,19952
2018-08-30,19952
2018-08-31,19952
2018-09-01,19997
2018-09-02,19997
2018-09-03,19997
2018-09-04,20038
2018-09-05,20038
2018-09-06,20038
2018-09-07,20038
2018-09-08,19902
2018-09-09,19902
2018-09-10,19902
2018-09-11,19902
2018-09-12,19756
2018-09-13,19756
2018-09-14,19756
2018-09-15,19290
2018-09-16,19290
2018-09-17,19290
2018-09-18,19290
2018-09-19,18905
2018-09-20,18905
2018-09-21,18905
2018-09-22,18591
2018-09-23,18591
2018-09-24,18591
2018-09-25,18591
2018-09-26,18153
2018-09-27,18153
2018-09-28,18153
2018-09-29,18153
2018-09-30,18428
2018-10-02,18428
2018-10-03,19225
2018-10-04,19225
2018-10-05,19225
2018-10-06,20103
2018-10-07,20103
2018-10-08,20103
2018-10-09,20103
2018-10-10,20322
2018-10-11,20322
2018-10-12,20322
2018-10-13,20322
2018-10-14,20046
2018-10-15,20046
2018-10-16,20046
2018-10-17,20064
2018-10-18,20064
2018-10-19,20064
2018-10-20,20064
2018-10-21,20568
2018-10-22,20568
2018-10-23,20568
2018-10-24,20938
2018-10-25,20938
2018-10-26,20938
2018-10-27,20938
2018-10-28,21057
2018-10-29,21057
2018-10-30,21057
2018-10-31,20953
2018-11-01,20953
2018-11-03,21113
2018-11-04,21113
2018-11-05,21113
2018-11-06,20762
2018-11-07,20762
2018-11-08,20762
2018-11-09,20138
2018-11-10,20138
2018-11-11,19839
2018-11-12,19839
2018-11-13,19971
2018-11-14,19971
2018-11-15,20339
2018-11-16,20339
2018-11-17,21022
2018-11-18,21022
2018-11-19,21583
2018-11-20,21583
2018-11-21,21800
2018-11-22,21800
2018-11-23,22262
2018-11-24,22262
2018-11-25,22985
2018-11-26,22985
2018-11-27,22985
2018-11-28,23092
2018-11-29,23092
2018-12-01,23545
2018-12-02,23545
2018-12-03,23545
2018-12-04,24288
2018-12-05,24288
2018-12-07,25115
2018-12-09,25155
2018-12-10,25282
2018-12-11,25282
2018-12-12,25282
2018-12-13,24525
2018-12-14,24525
2018-12-15,24525
2018-12-16,24184
2018-12-17,24184
2018-12-18,24184
2018-12-19,24184
2018-12-20,25159
2018-12-21,25159
2018-12-22,25159
2018-12-23,24971
2018-12-24,24971
2018-12-25,24971
2018-12-26,24971
2018-12-27,24228
2018-12-28,24228
2018-12-29,24228
2018-12-30,23348
2018-12-31,23348
2019-01-01,23348
2019-01-02,22672
2019-01-03,22672
2019-01-04,22672
2019-01-05,21943
2019-01-06,21943
2019-01-08,21100
2019-01-10,20343
2019-01-11,20343
2019-01-12,19618
2019-01-13,19618
2019-01-14,19471
2019-01-15,19471
2019-01-16,19471
2019-01-17,18931
2019-01-18,18931
2019-01-19,18150
2019-01-20,18150
2019-01-21,18150
2019-01-22,17422
2019-01-23,17422
2019-01-24,17422
2019-01-25,17769
2019-01-26,17769
2019-01-27,17769
2019-01-28,18315
2019-01-29,18315
2019-01-30,18315
2019-01-31,17719
2019-02-01,17719
2019-02-02,17719
2019-02-03,16991
2019-02-04,16991
2019-02-05,16991
2019-02-06,16777
2019-02-07,16777
2019-02-08,17139
2019-02-09,17139
2019-02-10,17139
2019-02-11,16706
2019-02-12,16706
2019-02-13,16706
2019-02-14,16282
2019-02-15,16282
2019-02-16,16282
2019-02-17,15843
2019-02-18,15843
2019-02-19,15843
2019-02-20,15607
2019-02-21,15607
2019-02-22,15607
2019-02-23,15426
2019-02-24,15426
2019-02-25,15426
2019-02-26,15528
2019-02-27,15528
2019-02-28,15528
2019-03-01,15528
2019-03-02,15647
2019-03-03,15647
2019-03-04,15647
2019-03-05,16099
2019-03-06,16099
2019-03-07,16099
2019-03-08,16099
2019-03-09,15870
2019-03-10,15870
2019-03-11,15870
2019-03-12,16025
2019-03-13,16025
2019-03-14,16025
2019-03-15,16256
2019-03-16,16256
2019-03-17,16434
2019-03-18,16434
2019-03-19,16434
2019-03-20,16690
2019-03-21,16690
2019-03-22,16690
2019-03-23,16575
2019-03-24,16575
2019-03-25,16575
2019-03-26,16403
2019-03-27,16403
2019-03-28,16403
2019-03-29,16637
2019-03-30,16637
2019-03-31,16637
2019-04-01,16637
2019-04-02,17434
2019-04-03,17434
2019-04-04,17434
2019-04-05,17434
2019-04-06,18281
2019-04-07,18281
2019-04-08,18281
2019-04-09,19156
2019-04-10,19156
2019-04-11,19156
2019-04-12,19602
2019-04-13,19602
2019-04-14,20103
2019-04-15,20103
2019-04-16,20103
2019-04-17,20991
2019-04-18,20991
2019-04-19,20991
2019-04-20,21915
2019-04-21,21915
2019-04-22,21915
2019-04-23,22880
2019-04-24,22880
2019-04-25,22880
2019-04-26,23078
2019-04-27,23078
2019-04-28,23078
2019-04-29,22501
2019-04-30,22501
2019-05-01,22501
2019-05-02,23060
2019-05-03,23060
2019-05-04,23994
2019-05-05,23994
2019-05-06,23994
2019-05-07,23994
2019-05-08,24309
2019-05-09,24309
2019-05-10,24309
2019-05-11,24309
2019-05-12,23208
2019-05-13,23208
2019-05-14,23208
2019-05-15,22152
2019-05-16,22152
2019-05-17,22152
2019-05-18,22051
2019-05-19,22051
2019-05-20,22051
2019-05-21,22051
2019-05-22,21536
2019-05-23,21536
2019-05-24,21536
2019-05-25,20740
2019-05-26,20740
2019-05-27,20740
2019-05-28,20191
2019-05-29,20191
2019-05-30,20191
2019-05-31,20191
2019-06-01,20081
2019-06-02,20081
2019-06-03,20081
2019-06-04,19161
2019-06-05,19161
2019-06-06,19161
2019-06-07,19161
2019-06-08,19788
2019-06-09,19788
2019-06-10,19788
2019-06-11,20706
2019-06-12,20706
2019-06-13,20706
2019-06-14,21722
2019-06-15,21722
2019-06-16,21722
2019-06-17,22785
2019-06-18,22785
2019-06-19,22785
2019-06-20,22785
2019-06-21,22747
2019-06-22,22747
2019-06-23,22747
2019-06-24,22747
2019-06-25,22250
2019-06-26,22250
2019-06-27,22250
2019-06-28,22250
2019-06-29,23024
2019-06-30,23024
2019-07-01,23024
2019-07-02,23024
2019-07-03,24053
2019-07-04,24053
2019-07-05,24053
2019-07-06,24053
2019-07-07,25118
2019-07-08,25118
2019-07-09,25118
2019-07-10,25118
2019-07-11,26053
2019-07-12,26053
2019-07-13,26053
2019-07-14,26053
2019-07-15,27129
2019-07-16,27129
2019-07-17,27129
2019-07-18,27129
2019-07-19,28197
2019-07-20,28197
2019-07-21,28197
2019-07-22,28197
2019-07-23,28942
2019-07-24,28942
2019-07-25,28942
2019-07-26,28942
2019-07-27,28942
2019-07-28,27847
2019-07-29,27847
2019-07-30,27847
2019-07-31,27049
2019-08-01,27049
2019-08-02,27049
2019-08-03,25747
2019-08-04,25747
2019-08-05,25747
2019-08-06,25747
2019-08-07,24486
2019-08-08,24486
2019-08-09,24486
2019-08-10,23442
2019-08-11,23442
2019-08-12,23442
2019-08-13,23442
2019-08-14,22556
2019-08-15,22556
2019-08-16,22556
2019-08-17,21729
2019-08-18,21729
2019-08-19,21729
2019-08-20,21729
2019-08-21,20996
2019-08-22,20996
2019-08-23,20996
2019-08-24,20011
2019-08-24,20011
2019-08-25,20011
2019-08-25,20011
2019-08-26,20011
2019-08-26,20011
2019-08-27,20011
2019-08-27,20011
2019-08-28,19434
2019-08-29,19434
2019-08-30,19434
2019-08-31,19434
2019-09-01,18850
2019-09-02,18850
2019-09-03,18850
2019-09-04,18850
2019-09-05,17993
2019-09-06,17993
2019-09-07,17993
2019-09-08,17993
2019-09-09,17875
