date_obj,Gilded%20med%20helm price
2019-02-11,336250
2019-02-12,336250
2019-02-13,337351
2019-02-14,337351
2019-02-15,337670
2019-02-16,337670
2019-02-17,332857
2019-02-18,332857
2019-02-19,325651
2019-02-20,325651
2019-02-21,317834
2019-02-22,317834
2019-02-23,309379
2019-02-24,300950
2019-02-25,296743
2019-02-26,296743
2019-02-27,292777
2019-02-28,292777
2019-03-01,283927
2019-03-02,280387
2019-03-03,276735
2019-03-04,275077
2019-03-05,275777
2019-03-06,284832
2019-03-07,284832
2019-03-08,284815
2019-03-09,284815
2019-03-10,280219
2019-03-11,280219
2019-03-12,285514
2019-03-13,285514
2019-03-14,290818
2019-03-15,293787
2019-03-16,289753
2019-03-17,282341
2019-03-18,282341
2019-03-19,277720
2019-03-20,277587
2019-03-21,272073
2019-03-22,267441
2019-03-23,264652
2019-03-24,262569
2019-03-25,262569
2019-03-26,259095
2019-03-27,259095
2019-03-28,255391
2019-03-29,250742
2019-03-30,250742
2019-03-31,246703
2019-04-01,246225
2019-04-02,246225
2019-04-03,252553
2019-04-04,257534
2019-04-05,261284
2019-04-06,261284
2019-04-07,261120
2019-04-08,268389
2019-04-09,272412
2019-04-10,276976
2019-04-11,277152
2019-04-12,275739
2019-04-13,277714
2019-04-14,278302
2019-04-15,278197
2019-04-16,265856
2019-04-17,265856
2019-04-18,258360
2019-04-19,248695
2019-04-20,240229
2019-04-21,240229
2019-04-22,233803
2019-04-23,229470
2019-04-24,229470
2019-04-25,224909
2019-04-26,221434
2019-04-27,221434
2019-04-28,216791
2019-04-29,216791
2019-04-30,214140
2019-05-01,214140
2019-05-02,220699
2019-05-03,224112
2019-05-04,227527
2019-05-05,230302
2019-05-06,230302
2019-05-07,233142
2019-05-08,233142
2019-05-09,238680
2019-05-10,240662
2019-05-11,242392
2019-05-12,247415
2019-05-13,249300
2019-05-14,251132
2019-05-15,251132
2019-05-16,253055
2019-05-17,253055
2019-05-18,252172
2019-05-19,258174
2019-05-20,257479
2019-05-21,257479
2019-05-22,256124
2019-05-23,258579
2019-05-24,255972
2019-05-25,255213
2019-05-26,255213
2019-05-27,255162
2019-05-28,255165
2019-05-29,252374
2019-05-30,252374
2019-05-31,255259
2019-06-01,254667
2019-06-02,254780
2019-06-03,254064
2019-06-04,257838
2019-06-05,264732
2019-06-06,266357
2019-06-07,260767
2019-06-08,262897
2019-06-09,257521
2019-06-10,257521
2019-06-11,259458
2019-06-12,258152
2019-06-13,264169
2019-06-14,275838
2019-06-15,286329
2019-06-16,278154
2019-06-17,268413
2019-06-18,264551
2019-06-19,267618
2019-06-20,270791
2019-06-21,269636
2019-06-22,269636
2019-06-23,271445
2019-06-24,268489
2019-06-25,275697
2019-06-26,283555
2019-06-27,287772
2019-06-28,287772
2019-06-29,293974
2019-06-30,294145
2019-07-01,295172
2019-07-02,282429
2019-07-03,280302
2019-07-04,280302
2019-07-05,279278
2019-07-06,281399
2019-07-07,281399
2019-07-08,280949
2019-07-09,280949
2019-07-10,280337
2019-07-11,280337
2019-07-12,276866
2019-07-13,276866
2019-07-14,280368
2019-07-15,280368
2019-07-16,286473
2019-07-17,288113
2019-07-18,289028
2019-07-19,293988
2019-07-20,298627
2019-07-21,307199
2019-07-22,311523
2019-07-23,322740
2019-07-24,326189
2019-07-25,324016
2019-07-26,324016
2019-07-27,330598
2019-07-28,336266
2019-07-29,336266
2019-07-30,344443
2019-07-31,344806
2019-08-01,344806
2019-08-02,351752
2019-08-03,359129
2019-08-04,359129
2019-08-05,366185
2019-08-06,366185
2019-08-07,375389
2019-08-08,375389
2019-08-09,377991
