date_obj,Red%20d'hide%20chaps price
2017-02-21,4179
2017-02-22,4086
2017-02-23,4207
2017-02-24,4359
2017-02-25,4466
2017-02-26,4509
2017-02-27,4598
2017-02-28,4709
2017-03-01,4502
2017-03-02,4449
2017-03-03,4448
2017-03-04,4312
2017-03-05,4143
2017-03-06,3991
2017-03-07,4004
2017-03-08,4021
2017-03-09,3922
2017-03-10,3954
2017-03-11,3901
2017-03-12,3943
2017-03-13,3945
2017-03-14,3850
2017-03-15,3782
2017-03-16,3852
2017-03-17,3900
2017-03-18,4040
2017-03-19,4109
2017-03-20,4259
2017-03-21,4224
2017-03-22,4345
2017-03-23,4198
2017-03-24,4292
2017-03-25,4378
2017-03-26,4471
2017-03-27,4511
2017-03-28,4637
2017-03-29,4697
2017-03-30,4721
2017-03-31,4674
2017-04-01,4447
2017-04-02,4374
2017-04-03,4362
2017-04-04,4423
2017-04-12,4593
2017-04-13,4685
2017-04-14,4642
2017-04-15,4733
2017-04-16,4697
2017-04-17,4599
2017-04-18,4647
2017-04-19,4743
2017-04-20,4782
2017-04-21,4827
2017-04-22,4965
2017-04-23,4788
2017-04-24,4630
2017-04-25,4506
2017-04-26,4506
2017-04-27,4368
2017-04-28,4404
2017-04-29,4411
2017-04-30,4482
2017-05-01,4559
2017-05-02,4615
2017-05-03,4581
2017-05-04,4613
2017-05-05,4643
2017-05-06,4696
2017-05-07,4623
2017-05-08,4617
2017-05-09,4581
2017-05-10,4541
2017-05-11,4453
2017-05-12,4531
2017-05-13,4523
2017-05-14,4486
2017-05-15,4511
2017-05-16,4488
2017-05-17,4403
2017-05-18,4283
2017-05-19,4069
2017-05-20,3873
2017-05-21,3859
2017-05-22,3810
2017-05-23,3748
2017-05-24,3768
2017-05-25,3779
2017-05-26,3753
2017-05-27,3819
2017-05-28,3806
2017-05-29,3758
2017-05-30,3688
2017-05-31,3607
2017-06-01,3543
2017-06-02,3539
2017-06-03,3556
2017-06-06,3522
2017-06-07,3504
2017-06-08,3364
2017-06-09,3252
2017-06-10,3176
2017-06-11,3153
2017-06-12,3185
2017-06-13,3312
2017-06-14,3290
2017-06-15,3403
2017-06-16,3479
2017-06-17,3516
2017-06-18,3599
2017-06-19,3668
2017-06-20,3789
2017-06-21,3939
2017-06-22,4041
2017-06-23,4197
2017-06-24,4298
2017-06-25,4222
2017-06-26,4351
2017-06-27,4406
2017-06-28,4317
2017-06-29,4312
2017-06-30,4323
2017-07-01,4386
2017-07-02,4415
2017-07-03,4203
2017-07-04,4282
2017-07-05,4243
2017-07-06,4232
2017-07-07,4260
2017-07-08,4337
2017-07-13,4245
2017-07-14,4158
2017-07-15,3966
2017-07-16,3906
2017-07-17,3889
2017-07-18,3756
2017-07-19,3720
2017-07-20,3606
2017-07-21,3667
2017-07-22,3534
2017-07-23,3503
2017-07-24,3491
2017-07-25,3499
2017-07-26,3604
2017-07-27,3717
2017-07-28,3820
2017-07-29,3798
2017-07-30,3794
2017-07-31,3871
2017-08-01,3968
2017-08-02,3949
2017-08-03,4012
2017-08-04,4126
2017-08-05,4091
2017-08-06,4138
2017-08-09,4161
2017-08-10,4198
2017-08-11,4197
2017-08-12,4179
2017-08-13,4013
2017-08-14,3999
2017-08-15,3922
2017-08-16,3906
2017-08-17,3992
2017-08-18,3962
2017-08-19,3949
2017-08-20,3939
2017-08-22,4006
2017-08-23,4079
2017-08-24,4214
2017-08-25,4201
2017-08-26,4188
2017-08-27,4263
2017-08-28,4343
2017-08-29,4125
2017-08-30,4171
2017-08-31,3994
2017-09-01,3937
2017-09-02,3812
2017-09-03,3740
2017-09-04,3816
2017-09-05,3894
2017-09-06,3893
2017-09-07,3943
2017-09-08,3992
2017-09-09,4017
2017-09-10,4103
2017-09-11,4058
2017-09-12,4067
2017-09-13,4127
2017-09-14,4062
2017-09-15,3992
2017-09-16,3875
