date_obj,Fremennik%20red%20shirt price
2016-12-21,1750
2016-12-22,1750
2016-12-23,1750
2016-12-24,1769
2016-12-25,1769
2016-12-26,1769
2016-12-27,1769
2016-12-28,1769
2016-12-29,1769
2016-12-30,1769
2016-12-31,1769
2017-01-01,1769
2017-01-02,1769
2017-01-03,1769
2017-01-04,1720
2017-01-05,1720
2017-01-06,1720
2017-01-07,1720
2017-01-08,1720
2017-01-09,1720
2017-01-10,1720
2017-01-11,1720
2017-01-12,1720
2017-01-13,1720
2017-01-14,1745
2017-01-15,1745
2017-01-16,1745
2017-01-17,1745
2017-01-18,1745
2017-01-19,1745
2017-01-20,1745
2017-01-21,1745
2017-01-22,1745
2017-01-23,1745
2017-01-27,1739
2017-01-28,1739
2017-01-29,1739
2017-01-30,1739
2017-01-31,1739
2017-02-01,1724
2017-02-02,1724
2017-02-03,1724
2017-02-04,1724
2017-02-05,1724
2017-02-06,1724
2017-02-07,1724
2017-02-08,1724
2017-02-09,1724
2017-02-10,1760
2017-02-11,1760
2017-02-12,1760
2017-02-13,1760
2017-02-14,1760
2017-02-15,1760
2017-02-16,1760
2017-02-18,1760
2017-02-19,1789
2017-02-20,1789
2017-02-21,1789
2017-02-22,1789
2017-02-23,1789
2017-02-24,1789
2017-02-25,1789
2017-02-26,1789
2017-02-27,1789
2017-02-28,1824
2017-03-01,1824
2017-03-02,1824
2017-03-03,1824
2017-03-04,1824
2017-03-05,1824
2017-03-06,1824
2017-03-07,1824
2017-03-08,1810
2017-03-09,1810
2017-03-10,1810
2017-03-11,1810
2017-03-12,1810
2017-03-13,1810
2017-03-14,1810
2017-03-15,1812
2017-03-16,1812
2017-03-17,1812
2017-03-18,1812
2017-03-19,1812
2017-03-20,1812
2017-03-21,1812
2017-03-22,1812
2017-03-23,1793
2017-03-24,1793
2017-03-25,1793
2017-03-26,1793
2017-03-27,1793
2017-03-28,1793
2017-03-29,1793
2017-03-30,1765
2017-03-31,1765
2017-04-01,1765
2017-04-02,1765
2017-04-03,1765
2017-04-04,1765
2017-04-12,1755
2017-04-13,1755
2017-04-14,1755
2017-04-15,1755
2017-04-16,1755
2017-04-17,1734
2017-04-18,1734
2017-04-19,1734
2017-04-20,1734
2017-04-21,1734
2017-04-22,1734
2017-04-23,1734
2017-04-24,1734
2017-04-25,1703
2017-04-26,1703
2017-04-27,1703
2017-04-28,1703
2017-04-29,1703
2017-04-30,1703
2017-05-01,1703
2017-05-02,1703
2017-05-03,1703
2017-05-04,1728
2017-05-05,1728
2017-05-06,1728
2017-05-07,1728
2017-05-08,1728
2017-05-09,1728
2017-05-10,1728
2017-05-11,1728
2017-05-12,1694
2017-05-13,1694
2017-05-14,1694
2017-05-15,1694
2017-05-16,1694
2017-05-17,1694
2017-05-18,1694
2017-05-19,1686
2017-05-20,1686
2017-05-21,1686
2017-05-22,1686
2017-05-23,1686
2017-05-24,1686
2017-05-25,1686
2017-05-26,1686
2017-05-27,1686
2017-05-28,1647
2017-05-29,1647
2017-05-30,1647
2017-05-31,1647
2017-06-01,1647
2017-06-02,1647
2017-06-03,1647
2017-06-04,1647
2017-06-05,1647
2017-06-06,1603
2017-06-07,1603
2017-06-08,1603
2017-06-09,1603
2017-06-10,1603
2017-06-11,1603
2017-06-12,1603
2017-06-13,1569
2017-06-14,1569
2017-06-15,1569
2017-06-16,1569
2017-06-17,1569
2017-06-18,1569
2017-06-19,1569
2017-06-20,1569
2017-06-21,1569
2017-06-22,1517
2017-06-23,1517
2017-06-24,1517
2017-06-25,1517
2017-06-26,1517
2017-06-27,1517
2017-06-28,1517
2017-06-29,1517
2017-06-30,1487
2017-07-01,1487
2017-07-02,1487
2017-07-03,1487
2017-07-04,1487
2017-07-05,1487
2017-07-06,1487
2017-07-07,1487
2017-07-08,1487
2017-07-13,1481
2017-07-14,1481
2017-07-15,1481
2017-07-16,1481
2017-07-17,1481
2017-07-18,1481
2017-07-19,1481
2017-07-20,1488
2017-07-21,1488
2017-07-22,1488
2017-07-23,1488
2017-07-24,1488
2017-07-25,1488
2017-07-26,1488
2017-07-27,1488
2017-07-28,1488
2017-07-29,1445
2017-07-30,1445
2017-07-31,1445
2017-08-01,1445
2017-08-02,1445
2017-08-03,1445
2017-08-04,1445
2017-08-05,1445
2017-08-06,1445
2017-08-09,1432
2017-08-10,1432
2017-08-11,1432
2017-08-12,1432
2017-08-13,1432
2017-08-14,1432
2017-08-15,1393
2017-08-16,1393
2017-08-17,1393
2017-08-18,1393
2017-08-19,1393
2017-08-20,1393
2017-08-21,1393
2017-08-22,1393
2017-08-23,1393
2017-08-24,1381
2017-08-25,1381
2017-08-26,1381
2017-08-27,1381
2017-08-28,1381
2017-08-29,1381
2017-08-30,1381
2017-08-31,1381
2017-09-01,1381
2017-09-02,1352
2017-09-03,1352
2017-09-04,1352
2017-09-05,1352
2017-09-06,1352
2017-09-07,1352
2017-09-08,1352
2017-09-09,1352
2017-09-10,1352
2017-09-11,1363
2017-09-12,1363
2017-09-13,1363
2017-09-14,1363
2017-09-15,1363
2017-09-16,1363
2017-09-17,1363
2017-09-18,1363
2017-09-19,1358
2017-09-20,1358
2017-09-21,1358
2017-09-22,1358
2017-09-23,1358
2017-09-24,1358
2017-09-25,1358
2017-09-26,1358
2017-09-27,1358
2017-09-28,1401
2017-09-29,1401
2017-09-30,1401
2017-10-01,1401
2017-10-02,1401
2017-10-03,1401
2017-10-04,1401
2017-10-05,1401
2017-10-06,1401
2017-10-07,1375
2017-10-08,1375
2017-10-09,1375
2017-10-10,1375
2017-10-11,1375
2017-10-12,1375
2017-10-13,1375
2017-10-14,1375
2017-10-15,1375
2017-10-16,1350
2017-10-17,1350
2017-10-18,1350
2017-10-19,1350
2017-10-20,1350
2017-10-21,1350
2017-10-22,1350
2017-10-23,1350
2017-10-24,1350
2017-10-25,1348
2017-10-26,1348
2017-10-27,1348
2017-10-28,1348
2017-10-29,1348
2017-10-30,1348
2017-10-31,1348
2017-11-01,1348
2017-11-02,1298
2017-11-03,1298
2017-11-04,1298
2017-11-05,1298
2017-11-06,1298
2017-11-07,1298
2017-11-08,1298
2017-11-09,1298
2017-11-10,1298
2017-11-11,1252
2017-11-12,1252
2017-11-13,1252
2017-11-14,1252
2017-11-15,1252
2017-11-16,1252
2017-11-17,1252
2017-11-18,1252
2017-11-19,1252
2017-11-20,1252
2017-11-21,1235
2017-11-22,1235
2017-11-23,1235
2017-11-24,1235
2017-11-25,1235
2017-11-26,1235
2017-11-27,1235
2017-11-28,1235
2017-11-29,1235
2017-11-30,1181
2017-12-01,1181
2017-12-02,1181
2017-12-03,1181
2017-12-04,1181
2017-12-05,1181
2017-12-06,1181
2017-12-07,1210
2017-12-08,1210
2017-12-09,1210
2017-12-10,1210
2017-12-11,1210
2017-12-12,1210
2017-12-13,1210
2017-12-14,1210
2017-12-15,1220
2017-12-16,1220
2017-12-17,1220
2017-12-18,1220
2017-12-19,1220
2017-12-20,1220
2017-12-21,1220
2017-12-22,1220
2017-12-23,1220
2017-12-24,1219
2017-12-25,1219
2017-12-26,1219
2017-12-27,1219
2017-12-28,1219
2017-12-29,1219
2017-12-30,1219
2017-12-31,1219
2018-01-01,1219
2018-01-02,1233
2018-01-03,1233
2018-01-04,1233
2018-01-05,1233
2018-01-06,1233
2018-01-07,1233
2018-01-08,1233
2018-01-09,1240
2018-01-10,1240
2018-01-11,1240
2018-01-12,1240
2018-01-13,1240
2018-01-14,1240
2018-01-15,1240
2018-01-16,1240
2018-01-17,1239
2018-01-18,1239
2018-01-19,1239
2018-01-20,1239
2018-01-21,1239
2018-01-22,1239
2018-01-23,1239
2018-01-24,1228
2018-01-25,1228
2018-01-26,1228
2018-01-27,1228
2018-01-28,1246
2018-01-29,1246
2018-01-30,1246
2018-01-31,1246
2018-02-01,1246
2018-02-02,1262
2018-02-03,1262
2018-02-04,1262
2018-02-05,1262
2018-02-06,1273
2018-02-07,1273
2018-02-08,1273
2018-02-09,1273
2018-02-10,1273
2018-02-11,1241
2018-02-12,1241
2018-02-13,1241
2018-02-14,1241
2018-02-15,1258
2018-02-16,1258
2018-02-17,1258
2018-02-18,1258
2018-02-19,1240
2018-02-20,1240
2018-02-21,1240
2018-02-22,1240
2018-02-23,1228
2018-02-24,1228
2018-02-25,1228
2018-02-26,1228
2018-02-27,1204
2018-02-28,1204
2018-03-01,1204
2018-03-02,1204
2018-03-03,1177
2018-03-04,1177
2018-03-05,1177
2018-03-06,1177
2018-03-07,1177
2018-03-08,1168
2018-03-09,1168
2018-03-10,1168
2018-03-11,1168
2018-03-12,1168
2018-03-13,1142
2018-03-14,1142
2018-03-15,1142
2018-03-16,1142
2018-03-17,1142
2018-03-18,1142
2018-03-20,1155
2018-03-21,1155
2018-03-23,1155
2018-03-24,1155
2018-03-25,1179
2018-03-26,1179
2018-03-27,1179
2018-03-28,1179
2018-03-29,1179
2018-03-30,1155
2018-03-31,1155
2018-04-01,1155
2018-04-02,1155
2018-04-03,1139
2018-04-04,1139
2018-04-05,1139
2018-04-06,1139
