date_obj,Saradomin%20page%204 price
2017-06-19,3158
2017-06-20,3162
2017-06-21,3162
2017-06-22,3211
2017-06-23,3211
2017-06-24,3309
2017-06-25,3309
2017-06-26,3365
2017-06-27,3365
2017-06-28,3465
2017-06-29,3465
2017-06-30,3449
2017-07-01,3449
2017-07-02,3449
2017-07-03,3515
2017-07-04,3515
2017-07-05,3512
2017-07-06,3512
2017-07-07,3379
2017-07-08,3379
2017-07-13,3231
2017-07-14,3297
2017-07-15,3297
2017-07-16,3385
2017-07-17,3385
2017-07-18,3463
2017-07-19,3463
2017-07-20,3538
2017-07-21,3538
2017-07-22,3562
2017-07-23,3562
2017-07-24,3554
2017-07-25,3554
2017-07-26,3457
2017-07-27,3457
2017-07-28,3468
2017-07-29,3468
2017-07-30,3486
2017-07-31,3486
2017-08-01,3564
2017-08-02,3561
2017-08-03,3561
2017-08-04,3548
2017-08-05,3511
2017-08-06,3511
2017-08-09,3540
2017-08-10,3600
2017-08-11,3600
2017-08-12,3638
2017-08-13,3638
2017-08-14,3666
2017-08-15,3728
2017-08-17,3777
2017-08-18,3777
2017-08-19,3777
2017-08-20,3858
2017-08-21,3858
2017-08-22,3874
2017-08-23,3874
2017-08-24,3825
2017-08-25,3825
2017-08-26,3811
2017-08-27,3811
2017-08-28,3882
2017-08-29,3882
2017-08-30,3950
2017-08-31,3950
2017-09-01,3950
2017-09-02,4051
2017-09-03,4051
2017-09-04,4047
2017-09-05,4047
2017-09-06,4016
2017-09-07,4016
2017-09-08,3893
2017-09-09,3723
2017-09-10,3723
2017-09-11,3578
2017-09-12,3578
2017-09-13,3461
2017-09-14,3461
2017-09-15,3366
2017-09-16,3366
2017-09-17,3236
2017-09-19,3129
2017-09-20,3074
2017-09-21,3074
2017-09-22,3027
2017-09-23,3027
2017-09-24,2991
2017-09-25,2991
2017-09-26,2977
2017-09-27,2977
2017-09-28,2923
2017-09-29,2923
2017-09-30,2925
2017-10-01,2925
2017-10-02,2886
2017-10-03,2886
2017-10-04,2886
2017-10-05,2855
2017-10-06,2855
2017-10-07,2813
2017-10-08,2813
2017-10-09,2806
2017-10-10,2806
2017-10-11,2822
2017-10-12,2822
2017-10-13,2848
2017-10-14,2848
2017-10-15,2865
2017-10-16,2913
2017-10-17,2913
2017-10-18,2990
2017-10-19,2990
2017-10-20,3053
2017-10-21,3053
2017-10-22,3087
2017-10-23,3087
2017-10-24,3115
2017-10-25,3115
2017-10-26,3180
2017-10-27,3180
2017-10-28,3160
2017-10-29,3080
2017-10-30,3080
2017-10-31,3059
