date_obj,Tuna%20potato price
2016-10-11,1713
2016-10-12,1695
2016-10-13,1704
2016-10-14,1691
2016-10-15,1694
2016-10-16,1711
2016-10-17,1761
2016-10-18,1810
2016-10-19,1844
2016-10-20,1811
2016-10-21,1793
2016-10-22,1793
2016-10-23,1763
2016-10-24,1752
2016-10-25,1752
2016-10-26,1766
2016-10-27,1773
2016-10-28,1719
2016-10-29,1776
2016-10-30,1763
2016-10-31,1770
2016-11-01,1770
2016-11-02,1761
2016-11-03,1747
2016-11-04,1757
2016-11-05,1757
2016-11-06,1808
2016-11-07,1854
2016-11-08,1841
2016-11-09,1820
2016-11-10,1795
2016-11-11,1772
2016-11-12,1766
2016-11-13,1767
2016-11-14,1765
2016-12-08,1716
2016-12-09,1676
2016-12-10,1657
2016-12-11,1636
2016-12-12,1625
2016-12-13,1629
2016-12-14,1630
2016-12-15,1630
2016-12-16,1632
2016-12-17,1627
2016-12-18,1625
2016-12-19,1622
2016-12-20,1621
2016-12-21,1609
2016-12-22,1609
2016-12-23,1596
2016-12-24,1596
2016-12-25,1598
2016-12-26,1547
2016-12-27,1591
2016-12-28,1587
2016-12-29,1579
2016-12-30,1504
2016-12-31,1444
2017-01-01,1418
2017-01-02,1455
2017-01-03,1467
2017-01-04,1503
2017-01-05,1472
2017-01-06,1451
2017-01-07,1431
2017-01-08,1360
2017-01-09,1332
2017-01-10,1319
2017-01-11,1303
2017-01-12,1339
2017-01-13,1338
2017-01-14,1348
2017-01-15,1353
2017-01-16,1354
2017-01-17,1379
2017-01-18,1427
2017-01-19,1412
2017-01-20,1425
2017-01-21,1414
2017-01-22,1419
2017-01-27,1395
2017-01-28,1361
2017-01-29,1341
2017-01-30,1360
2017-01-31,1338
2017-02-01,1333
2017-02-02,1340
2017-02-03,1327
2017-02-04,1323
2017-02-05,1321
2017-02-06,1341
2017-02-07,1381
2017-02-08,1372
2017-02-09,1346
2017-02-10,1345
2017-02-11,1346
2017-02-12,1365
2017-02-13,1360
2017-02-14,1382
2017-02-15,1412
2017-02-16,1385
2017-02-18,1354
2017-02-19,1362
2017-02-20,1363
2017-02-21,1363
2017-02-22,1385
2017-02-23,1415
2017-02-24,1435
2017-02-25,1416
2017-02-26,1388
2017-02-27,1374
2017-02-28,1365
2017-03-01,1402
2017-03-02,1402
2017-03-03,1403
2017-03-04,1392
2017-03-05,1376
2017-03-06,1363
2017-03-07,1420
2017-03-08,1468
2017-03-09,1471
2017-03-10,1450
2017-03-11,1421
2017-03-12,1432
2017-03-13,1454
2017-03-14,1464
2017-03-15,1479
2017-03-16,1428
2017-03-17,1431
2017-03-18,1400
2017-03-19,1390
2017-03-20,1432
2017-03-21,1481
2017-03-22,1466
2017-03-23,1470
2017-03-24,1524
2017-03-25,1584
2017-03-26,1598
2017-03-27,1552
2017-03-28,1529
2017-03-29,1500
2017-03-30,1502
2017-03-31,1514
2017-04-01,1508
2017-04-02,1566
2017-04-03,1513
2017-04-04,1525
2017-04-12,1452
2017-04-13,1457
2017-04-14,1423
2017-04-15,1430
2017-04-16,1425
2017-04-17,1441
2017-04-18,1464
