date_obj,Bucket%20of%20wax price
2018-06-27,535
2018-06-28,535
2018-06-29,535
2018-06-30,559
2018-07-01,559
2018-07-02,559
2018-07-03,584
2018-07-04,584
2018-07-05,584
2018-07-06,613
2018-07-07,613
2018-07-08,613
2018-07-09,604
2018-07-10,604
2018-07-11,604
2018-07-12,604
2018-07-13,604
2018-07-14,621
2018-07-15,621
2018-07-16,621
2018-07-17,646
2018-07-18,646
2018-07-19,646
2018-07-20,657
2018-07-21,657
2018-07-22,679
2018-07-23,679
2018-07-24,711
2018-07-25,711
2018-07-26,711
2018-07-27,739
2018-07-28,739
2018-07-29,739
2018-07-30,771
2018-07-31,771
2018-08-01,734
2018-08-02,734
2018-08-03,697
2018-08-04,697
2018-08-05,676
2018-08-06,676
2018-08-07,676
2018-08-08,667
2018-08-09,667
2018-08-10,667
2018-08-11,648
2018-08-12,648
2018-08-14,665
2018-08-16,673
2018-08-17,673
2018-08-18,671
2018-08-19,671
2018-08-20,663
2018-08-21,663
2018-08-22,663
2018-08-23,657
2018-08-24,657
2018-08-25,654
2018-08-26,654
2018-08-27,654
2018-08-28,640
2018-08-29,640
2018-08-30,640
2018-08-31,615
2018-09-01,615
2018-09-02,611
2018-09-03,611
2018-09-04,593
2018-09-05,593
2018-09-06,593
2018-09-07,592
2018-09-08,592
2018-09-09,592
2018-09-10,611
2018-09-11,611
2018-09-12,611
2018-09-13,588
2018-09-14,588
2018-09-15,564
2018-09-16,564
2018-09-17,564
2018-09-18,535
2018-09-19,535
2018-09-20,535
2018-09-21,508
2018-09-22,508
2018-09-23,501
2018-09-24,501
2018-09-25,501
2018-09-26,510
2018-09-27,510
2018-09-28,510
2018-09-29,513
2018-09-30,513
2018-10-01,529
2018-10-02,529
2018-10-03,517
2018-10-04,517
2018-10-05,517
2018-10-06,535
2018-10-07,535
2018-10-08,535
2018-10-09,533
2018-10-10,533
2018-10-11,533
2018-10-12,520
2018-10-13,520
2018-10-14,520
2018-10-15,520
2018-10-16,520
2018-10-17,523
2018-10-18,523
2018-10-19,535
2018-10-20,535
2018-10-21,535
2018-10-22,549
2018-10-23,549
2018-10-24,549
2018-10-25,567
2018-10-26,567
2018-10-27,567
2018-10-28,554
2018-10-29,554
2018-10-30,554
2018-10-31,534
2018-11-01,534
2018-11-03,554
2018-11-04,554
2018-11-05,580
2018-11-06,580
2018-11-07,586
2018-11-08,586
2018-11-09,577
2018-11-10,573
2018-11-11,573
2018-11-12,566
2018-11-13,566
2018-11-15,552
2018-11-16,535
2018-11-17,535
2018-11-18,515
2018-11-19,515
2018-11-20,489
2018-11-21,489
2018-11-22,464
2018-11-23,464
2018-11-24,447
2018-11-25,429
2018-11-26,429
2018-11-27,432
2018-11-28,427
2018-11-29,427
2018-12-01,394
2018-12-02,401
2018-12-03,401
2018-12-04,398
2018-12-05,383
2018-12-07,390
2018-12-09,397
2018-12-10,411
2018-12-11,411
2018-12-12,427
2018-12-13,427
2018-12-14,438
2018-12-15,438
2018-12-16,439
2018-12-17,439
2018-12-18,449
2018-12-19,449
2018-12-20,444
2018-12-21,444
2018-12-22,446
2018-12-23,455
2018-12-24,455
2018-12-25,468
2018-12-26,468
2018-12-27,469
2018-12-28,469
2018-12-29,473
2018-12-30,473
2018-12-31,465
2019-01-01,465
2019-01-02,467
2019-01-03,467
2019-01-04,443
2019-01-05,420
2019-01-06,404
2019-01-08,409
2019-01-10,410
2019-01-11,410
2019-01-12,413
2019-01-13,402
2019-01-14,402
2019-01-15,415
2019-01-16,415
2019-01-17,428
2019-01-18,428
2019-01-19,427
2019-01-20,426
2019-01-21,426
2019-01-22,441
2019-01-23,441
2019-01-24,445
2019-01-25,433
2019-01-26,433
2019-01-27,424
2019-01-28,424
2019-01-29,414
2019-01-30,412
2019-01-31,412
2019-02-01,413
2019-02-02,413
2019-02-03,423
2019-02-04,423
2019-02-05,421
2019-02-06,421
2019-02-07,438
2019-02-08,438
2019-02-09,439
2019-02-10,439
2019-02-11,460
2019-02-12,460
2019-02-13,457
2019-02-14,457
2019-02-15,439
2019-02-16,439
2019-02-17,459
2019-02-18,459
2019-02-19,477
2019-02-20,477
2019-02-21,491
2019-02-22,491
2019-02-23,510
2019-02-24,518
2019-02-25,540
2019-02-26,540
2019-02-27,541
2019-02-28,541
2019-03-01,548
2019-03-02,548
2019-03-03,571
2019-03-04,572
2019-03-05,572
2019-03-06,575
2019-03-07,575
2019-03-08,600
