date_obj,Blue%20d'hide%20chaps price
2017-05-23,2405
2017-05-24,2401
2017-05-25,2400
2017-05-26,2375
2017-05-27,2343
2017-05-28,2382
2017-05-29,2352
2017-05-30,2363
2017-05-31,2390
2017-06-01,2396
2017-06-02,2365
2017-06-03,2389
2017-06-04,2393
2017-06-05,2430
2017-06-06,2397
2017-06-07,2362
2017-06-08,2388
2017-06-09,2370
2017-06-10,2388
2017-06-11,2373
2017-06-12,2404
2017-06-13,2373
2017-06-14,2372
2017-06-15,2365
2017-06-16,2395
2017-06-17,2368
2017-06-18,2352
2017-06-19,2389
2017-06-20,2404
2017-06-21,2419
2017-06-22,2389
2017-06-23,2392
2017-06-24,2375
2017-06-25,2355
2017-06-26,2405
2017-06-27,2419
2017-06-28,2368
2017-06-29,2374
2017-06-30,2409
2017-07-01,2403
2017-07-02,2320
2017-07-03,2309
2017-07-04,2348
2017-07-05,2352
2017-07-06,2357
2017-07-07,2321
2017-07-08,2338
2017-07-13,2384
2017-07-14,2378
2017-07-15,2407
2017-07-16,2429
2017-07-17,2390
2017-07-18,2418
2017-07-19,2361
2017-07-20,2361
2017-07-21,2395
2017-07-22,2401
2017-07-23,2374
2017-07-24,2381
2017-07-25,2410
2017-07-26,2409
2017-07-27,2383
2017-07-28,2365
2017-07-29,2365
2017-07-30,2381
2017-07-31,2433
2017-08-01,2414
2017-08-02,2435
2017-08-03,2445
2017-08-04,2424
2017-08-05,2392
2017-08-06,2377
2017-08-09,2347
2017-08-10,2385
2017-08-11,2348
2017-08-12,2377
2017-08-13,2396
2017-08-14,2361
2017-08-15,2383
2017-08-16,2420
2017-08-17,2405
2017-08-18,2356
2017-08-19,2390
2017-08-20,2410
2017-08-21,2419
2017-08-22,2379
2017-08-23,2391
2017-08-24,2371
2017-08-25,2378
2017-08-26,2403
2017-08-27,2356
2017-08-28,2396
2017-08-29,2367
2017-08-30,2366
2017-08-31,2320
2017-09-01,2366
2017-09-02,2392
2017-09-03,2343
2017-09-04,2338
2017-09-05,2359
2017-09-06,2386
2017-09-07,2401
2017-09-08,2424
2017-09-09,2397
2017-09-10,2362
2017-09-11,2384
2017-09-12,2386
2017-09-13,2350
2017-09-14,2341
2017-09-15,2409
2017-09-16,2393
2017-09-17,2388
2017-09-18,2357
2017-09-19,2354
2017-09-20,2355
2017-09-22,2343
2017-09-23,2386
2017-09-24,2342
2017-09-25,2384
2017-09-26,2412
2017-09-27,2344
2017-09-28,2341
2017-09-29,2332
2017-09-30,2338
2017-10-01,2335
2017-10-02,2339
2017-10-03,2379
2017-10-04,2413
2017-10-05,2444
2017-10-06,2402
