date_obj,Desert%20goat%20horn price
2018-01-17,110
2018-01-18,110
2018-01-19,115
2018-01-20,115
2018-01-21,115
2018-01-22,117
2018-01-23,117
2018-01-25,120
2018-01-26,120
2018-01-27,126
2018-01-28,126
2018-01-29,126
2018-01-30,126
2018-01-31,126
2018-02-01,119
2018-02-02,119
2018-02-03,113
2018-02-04,113
2018-02-05,113
2018-02-06,110
2018-02-07,110
2018-02-08,110
2018-02-09,107
2018-02-10,107
2018-02-11,107
2018-02-12,101
2018-02-13,101
2018-02-14,101
2018-02-15,95
2018-02-16,95
2018-02-17,95
2018-02-18,93
2018-02-19,93
2018-02-20,92
2018-02-21,92
2018-02-22,92
2018-02-23,90
2018-02-24,90
2018-02-25,90
2018-02-26,88
2018-02-27,88
2018-02-28,88
2018-03-01,90
2018-03-02,90
2018-03-03,88
2018-03-04,88
2018-03-05,88
2018-03-06,83
2018-03-07,83
2018-03-08,83
2018-03-09,81
2018-03-10,81
2018-03-11,81
2018-03-12,78
2018-03-13,78
2018-03-14,78
2018-03-15,75
2018-03-16,75
2018-03-17,75
2018-03-18,72
2018-03-19,72
2018-03-20,72
2018-03-21,71
2018-03-23,71
2018-03-24,70
2018-03-25,70
2018-03-26,70
2018-03-27,73
2018-03-28,73
2018-03-29,73
2018-03-30,75
2018-03-31,75
2018-04-01,75
2018-04-02,78
2018-04-03,78
2018-04-04,78
2018-04-05,82
2018-04-06,82
2018-04-07,82
2018-04-08,83
2018-04-09,83
2018-04-10,83
2018-04-11,84
2018-04-12,84
2018-04-13,84
2018-04-14,87
2018-04-15,87
2018-04-16,87
2018-04-17,87
2018-04-18,87
2018-04-19,88
2018-04-20,88
2018-04-21,90
2018-04-22,90
2018-04-23,90
2018-04-24,93
2018-04-25,93
2018-04-26,93
2018-04-27,93
2018-04-28,93
2018-04-29,97
2018-04-30,97
2018-05-01,97
2018-05-03,98
2018-05-04,98
2018-05-05,99
2018-05-07,99
2018-05-08,104
2018-05-09,104
2018-05-10,110
2018-05-11,110
2018-05-12,115
2018-05-13,115
2018-05-14,115
2018-05-15,121
2018-05-16,121
2018-05-17,121
2018-05-18,128
2018-05-19,128
2018-05-20,128
2018-05-21,133
2018-05-22,133
2018-05-23,133
2018-05-24,140
2018-05-25,140
2018-05-26,140
2018-05-27,139
2018-05-28,139
2018-05-29,135
2018-05-30,135
2018-05-31,135
2018-06-01,129
2018-06-02,129
2018-06-03,129
2018-06-04,129
2018-06-05,123
2018-06-06,123
2018-06-07,123
2018-06-08,119
2018-06-09,119
2018-06-10,119
2018-06-11,115
2018-06-12,115
2018-06-13,109
2018-06-14,109
2018-06-15,109
2018-06-16,104
2018-06-17,104
2018-06-18,104
2018-06-19,104
2018-06-20,104
2018-06-21,104
2018-06-22,106
2018-06-23,106
2018-06-24,106
2018-06-25,101
2018-06-26,101
2018-06-27,101
2018-06-28,98
2018-06-29,98
2018-06-30,98
2018-07-01,101
2018-07-02,101
2018-07-03,101
2018-07-04,101
2018-07-05,101
2018-07-06,101
2018-07-07,101
2018-07-08,101
2018-07-09,101
2018-07-10,100
2018-07-11,100
2018-07-12,100
2018-07-13,100
2018-07-14,98
2018-07-15,98
2018-07-16,98
2018-07-17,97
2018-07-18,97
2018-07-19,97
2018-07-20,99
2018-07-21,99
2018-07-22,98
2018-07-23,98
2018-07-24,98
2018-07-25,96
2018-07-26,96
2018-07-27,97
2018-07-28,97
2018-07-29,97
2018-07-30,102
2018-07-31,102
