date_obj,Infinity%20bottoms price
2018-04-15,6834547
2018-04-16,6834547
2018-04-17,6834547
2018-04-18,6798565
2018-04-19,6798565
2018-04-20,6798565
2018-04-21,6683131
2018-04-22,6683131
2018-04-23,6683131
2018-04-24,6562922
2018-04-25,6562922
2018-04-26,6562922
2018-04-27,6562922
2018-04-28,6437261
2018-04-29,6437261
2018-04-30,6547550
2018-05-01,6547550
2018-05-03,6705130
2018-05-04,6705130
2018-05-05,6964732
2018-05-06,6964732
2018-05-07,6964732
2018-05-08,7115620
2018-05-09,7115620
2018-05-10,7115620
2018-05-11,7035814
2018-05-12,7035814
2018-05-13,7035814
2018-05-14,6742070
2018-05-15,6742070
2018-05-16,6742070
2018-05-17,6534348
2018-05-18,6534348
2018-05-19,6519960
2018-05-20,6519960
2018-05-21,6519960
2018-05-22,6589534
2018-05-23,6589534
2018-05-24,6589534
2018-05-25,6591924
2018-05-26,6591924
2018-05-27,6591924
2018-05-28,6581034
2018-05-29,6581034
2018-05-30,6581034
2018-05-31,6437781
2018-06-01,6437781
2018-06-02,6570724
2018-06-03,6570724
2018-06-04,6570724
2018-06-05,6697427
2018-06-06,6697427
2018-06-07,6697427
2018-06-08,6437245
2018-06-09,6437245
2018-06-10,6437245
2018-06-11,6135202
2018-06-12,6135202
2018-06-13,5924946
2018-06-14,5924946
2018-06-15,5924946
2018-06-16,5692931
2018-06-17,5692931
2018-06-18,5692931
2018-06-19,5670405
2018-06-20,5670405
2018-06-21,5670405
2018-06-22,5599214
2018-06-23,5599214
2018-06-24,5599214
2018-06-25,5604133
2018-06-26,5604133
2018-06-27,5604133
2018-06-28,5697938
2018-06-29,5697938
2018-06-30,5754465
2018-07-01,5754465
2018-07-02,5754465
2018-07-03,5849993
2018-07-04,5849993
2018-07-05,5849993
2018-07-06,6076789
2018-07-07,6076789
2018-07-08,6076789
2018-07-09,6352434
2018-07-10,6352434
2018-07-11,6352434
2018-07-12,6352434
2018-07-13,6473162
2018-07-14,6473162
2018-07-15,6473162
2018-07-16,6598562
2018-07-17,6598562
2018-07-18,6926653
2018-07-19,6926653
2018-07-20,6926653
2018-07-21,6997977
2018-07-22,6997977
2018-07-23,6900929
2018-07-24,6900929
2018-07-25,6900929
2018-07-26,6816518
2018-07-27,6816518
2018-07-28,6759332
2018-07-29,6759332
2018-07-30,6914924
2018-07-31,6914924
2018-08-01,6811502
2018-08-02,6811502
2018-08-03,6673159
2018-08-04,6673159
2018-08-05,6388255
2018-08-06,6388255
2018-08-07,6131270
2018-08-08,6131270
2018-08-09,5824706
2018-08-10,5824706
2018-08-11,5533470
2018-08-12,5533470
2018-08-14,5292479
2018-08-16,5363226
2018-08-17,5266229
2018-08-18,5266229
2018-08-19,5266229
2018-08-20,5214682
2018-08-21,5214682
2018-08-22,5357007
2018-08-23,5357007
2018-08-24,5561439
2018-08-25,5561439
2018-08-26,5806886
2018-08-27,5806886
2018-08-28,6085487
2018-08-29,6085487
2018-08-30,6338961
2018-08-31,6338961
2018-09-01,6124660
2018-09-02,6124660
2018-09-03,5868602
2018-09-04,5868602
2018-09-05,5600757
2018-09-06,5600757
2018-09-07,5360423
2018-09-08,5360423
2018-09-09,5294484
2018-09-10,5294484
2018-09-11,5296883
2018-09-12,5296883
2018-09-13,5152741
2018-09-14,5152741
2018-09-15,5141682
2018-09-16,5141682
2018-09-17,5261285
2018-09-18,5261285
2018-09-19,5348623
2018-09-20,5348623
2018-09-21,5390822
2018-09-22,5390822
