date_obj,Bandos%20kiteshield price
2018-10-09,36794
2018-10-10,37088
2018-10-11,36677
2018-10-12,36677
2018-10-13,35961
2018-10-14,34435
2018-10-15,33809
2018-10-16,34321
2018-10-17,34055
2018-10-18,34449
2018-10-19,35035
2018-10-20,35035
2018-10-21,35212
2018-10-22,35352
2018-10-23,35017
2018-10-24,35566
2018-10-25,35694
2018-10-26,35797
2018-10-27,36261
2018-10-28,35934
2018-10-29,35934
2018-10-30,35818
2018-10-31,35067
2018-11-01,35960
2018-11-03,36976
2018-11-04,36820
2018-11-05,37999
2018-11-06,39304
2018-11-07,40668
2018-11-08,42552
2018-11-09,44339
2018-11-10,46286
2018-11-11,48376
2018-11-12,50685
2018-11-13,52857
2018-11-14,55500
2018-11-15,58137
2018-11-16,60681
2018-11-17,63716
2018-11-18,66902
2018-11-19,70163
2018-11-20,73565
2018-11-21,76419
2018-11-22,78827
2018-11-23,81643
2018-11-24,84877
2018-11-25,87501
2018-11-26,90790
2018-11-27,93647
2018-11-28,91730
2018-11-29,92423
2018-12-01,85969
2018-12-02,83150
2018-12-03,82439
2018-12-04,81946
2018-12-05,82002
2018-12-07,79342
2018-12-09,74209
2018-12-10,72314
2018-12-11,69192
2018-12-12,66806
2018-12-13,65002
2018-12-14,65605
2018-12-15,63236
2018-12-16,60753
2018-12-17,58804
2018-12-18,57222
2018-12-19,54841
2018-12-20,53762
2018-12-21,52632
2018-12-22,50397
2018-12-23,48548
2018-12-24,48093
2018-12-25,46342
2018-12-26,44733
2018-12-27,42579
2018-12-28,41559
2018-12-29,40690
2018-12-30,40494
2018-12-31,40494
2019-01-01,39113
2019-01-02,38419
2019-01-03,37190
2019-01-04,35861
2019-01-05,34987
2019-01-06,34619
2019-01-08,35158
2019-01-10,35564
2019-01-11,34888
2019-01-12,34186
2019-01-13,33798
2019-01-14,33353
2019-01-15,33288
2019-01-16,33650
2019-01-17,33770
2019-01-18,34451
2019-01-19,34477
2019-01-20,34560
2019-01-21,34404
2019-01-22,34329
2019-01-23,34525
2019-01-24,34612
2019-01-25,34711
2019-01-26,34596
2019-01-27,34459
2019-01-28,34374
2019-01-29,34541
2019-01-30,34605
2019-01-31,34259
2019-02-01,33999
2019-02-02,33875
2019-02-03,34095
2019-02-04,35133
2019-02-05,35937
2019-02-06,36589
2019-02-07,36260
2019-02-08,35789
2019-02-09,35333
2019-02-10,35290
2019-02-11,35670
2019-02-12,35111
2019-02-13,34765
2019-02-14,34097
2019-02-15,33561
2019-02-16,33856
2019-02-17,33959
2019-02-18,34418
2019-02-19,34083
2019-02-20,33642
2019-02-21,33581
2019-02-22,33737
2019-02-23,33906
2019-02-24,34126
2019-02-25,33578
2019-02-26,33760
2019-02-27,34348
2019-02-28,34427
2019-03-01,34151
2019-03-02,33993
2019-03-03,33982
2019-03-04,35060
2019-03-05,35448
2019-03-06,35372
2019-03-07,35887
2019-03-08,35887
2019-03-09,35688
2019-03-10,34838
2019-03-11,34898
2019-03-12,35623
2019-03-13,35623
2019-03-14,35434
2019-03-15,35379
