date_obj,Bronze%20dragon%20mask price
2017-07-01,8452
2017-07-02,8452
2017-07-03,8452
2017-07-04,8504
2017-07-05,8504
2017-07-06,8504
2017-07-07,8504
2017-07-08,8504
2017-07-13,8517
2017-07-14,8517
2017-07-15,8651
2017-07-16,8651
2017-07-17,8651
2017-07-18,8651
2017-07-19,8754
2017-07-20,8754
2017-07-21,8754
2017-07-22,8754
2017-07-23,8603
2017-07-24,8603
2017-07-25,8603
2017-07-26,8603
2017-07-27,8603
2017-07-28,8639
2017-07-29,8639
2017-07-30,8639
2017-07-31,8639
2017-08-01,8684
2017-08-02,8684
2017-08-03,8684
2017-08-04,8684
2017-08-05,8423
2017-08-06,8423
2017-08-09,8327
2017-08-10,8327
2017-08-11,8327
2017-08-12,8327
2017-08-13,8327
2017-08-14,8157
2017-08-15,8157
2017-08-16,8157
2017-08-17,8157
2017-08-18,8069
2017-08-19,8069
2017-08-20,8069
2017-08-21,8069
2017-08-22,7946
2017-08-23,7946
2017-08-24,7946
2017-08-25,7946
2017-08-26,7946
2017-08-27,7887
2017-08-28,7887
2017-08-29,7887
2017-08-30,7887
2017-08-31,7887
2017-09-01,8120
2017-09-02,8120
2017-09-03,8120
2017-09-04,8120
2017-09-05,8161
2017-09-06,8161
2017-09-07,8161
2017-09-08,8161
2017-09-09,8204
2017-09-10,8204
2017-09-11,8204
2017-09-12,8204
2017-09-13,8119
2017-09-14,8119
2017-09-15,8119
2017-09-16,8119
2017-09-17,8119
2017-09-18,8123
2017-09-19,8123
2017-09-20,8123
2017-09-21,8123
2017-09-22,8123
2017-09-23,8356
2017-09-24,8356
2017-09-25,8356
2017-09-26,8356
2017-09-27,8356
2017-09-28,8229
2017-09-29,8229
2017-09-30,8229
2017-10-01,8229
2017-10-02,8265
2017-10-03,8265
2017-10-04,8265
2017-10-05,8265
2017-10-06,8103
2017-10-07,8103
2017-10-08,8103
2017-10-09,8103
2017-10-10,8113
2017-10-11,8113
2017-10-12,8113
2017-10-13,8113
2017-10-14,8113
2017-10-15,8113
2017-10-16,8301
2017-10-17,8301
2017-10-18,8301
2017-10-19,8301
2017-10-20,8301
2017-10-21,8386
2017-10-22,8386
2017-10-23,8386
2017-10-24,8386
2017-10-25,8362
2017-10-26,8362
2017-10-27,8362
2017-10-28,8362
2017-10-29,8362
2017-10-30,8229
2017-10-31,8229
2017-11-01,8229
2017-11-02,8229
2017-11-03,8120
2017-11-04,8120
2017-11-05,8120
2017-11-06,8120
2017-11-07,8120
2017-11-08,8128
2017-11-09,8128
2017-11-10,8128
2017-11-11,8128
2017-11-12,7790
2017-11-13,7790
2017-11-14,7790
2017-11-15,7790
2017-11-16,7400
2017-11-17,7400
2017-11-18,7400
2017-11-19,7400
2017-11-20,7553
2017-11-21,7553
2017-11-22,7553
2017-11-23,7553
2017-11-24,7603
2017-11-25,7603
2017-11-26,7603
2017-11-27,7603
2017-11-28,7377
2017-11-29,7377
2017-11-30,7377
2017-12-01,7377
2017-12-02,7176
2017-12-03,7176
2017-12-04,7176
2017-12-05,7176
2017-12-06,6959
2017-12-07,6959
2017-12-08,6959
2017-12-09,6959
2017-12-10,6926
2017-12-11,6926
2017-12-12,6926
2017-12-13,6926
2017-12-14,6926
2017-12-15,6912
2017-12-16,6912
2017-12-17,6912
2017-12-18,6912
2017-12-19,6912
2017-12-20,6877
2017-12-21,6877
2017-12-22,6877
2017-12-23,6877
2017-12-24,6877
2017-12-25,7071
2017-12-26,7071
2017-12-27,7071
2017-12-28,7071
2017-12-29,6881
2017-12-30,6881
2017-12-31,6881
2018-01-01,6881
2018-01-02,6818
2018-01-03,6818
2018-01-04,6818
2018-01-05,6834
2018-01-06,6834
2018-01-07,6834
2018-01-08,6834
2018-01-09,6850
2018-01-10,6850
2018-01-11,6850
2018-01-12,6850
2018-01-13,7000
2018-01-14,7000
2018-01-15,7000
2018-01-16,7000
2018-01-17,6920
2018-01-18,6920
2018-01-19,6920
2018-01-20,6920
2018-01-21,6920
2018-01-22,6763
2018-01-23,6763
2018-01-24,6763
2018-01-25,6763
2018-01-26,6763
2018-01-27,6892
2018-01-28,6892
2018-01-29,6892
2018-01-30,6892
2018-01-31,6890
2018-02-01,6890
2018-02-02,6890
2018-02-03,6890
2018-02-04,6832
2018-02-05,6832
2018-02-06,6832
2018-02-07,6832
2018-02-08,6572
2018-02-09,6572
2018-02-10,6572
2018-02-11,6572
2018-02-12,6546
2018-02-13,6546
2018-02-14,6546
2018-02-15,6546
2018-02-16,6546
2018-02-17,6437
2018-02-18,6437
2018-02-19,6437
2018-02-20,6337
2018-02-21,6337
2018-02-22,6337
2018-02-23,6337
2018-02-24,6271
2018-02-25,6271
2018-02-26,6271
2018-02-27,6271
2018-02-28,6334
2018-03-01,6334
2018-03-02,6334
2018-03-03,6207
2018-03-04,6207
2018-03-05,6207
2018-03-06,6207
2018-03-07,6270
2018-03-08,6270
2018-03-09,6270
2018-03-10,6270
2018-03-11,6316
2018-03-12,6316
2018-03-13,6316
2018-03-14,6316
2018-03-15,6358
2018-03-16,6358
2018-03-17,6358
2018-03-18,6358
2018-03-19,6358
2018-03-20,6600
2018-03-21,6600
2018-03-23,6600
2018-03-24,6600
2018-03-25,6679
2018-03-26,6679
2018-03-27,6679
2018-03-28,6679
2018-03-29,6679
2018-03-30,6495
2018-03-31,6495
2018-04-01,6495
2018-04-02,6495
2018-04-03,6758
2018-04-04,6758
2018-04-05,6758
2018-04-06,6758
2018-04-07,6758
2018-04-08,7037
2018-04-09,7037
2018-04-10,7037
2018-04-11,7037
2018-04-12,7037
2018-04-13,7203
2018-04-14,7203
2018-04-15,7203
2018-04-16,7203
2018-04-17,7263
2018-04-18,7263
2018-04-19,7263
2018-04-20,7263
2018-04-21,7263
2018-04-22,7263
2018-04-23,7127
2018-04-24,7127
2018-04-25,7127
2018-04-26,7127
2018-04-27,7127
2018-04-28,7134
2018-04-29,7134
2018-04-30,7134
2018-05-01,7065
2018-05-02,7065
2018-05-03,7065
2018-05-04,7065
2018-05-05,6996
2018-05-06,6996
2018-05-07,6996
2018-05-08,6996
2018-05-09,6996
2018-05-10,6872
2018-05-11,6872
2018-05-12,6872
2018-05-13,6872
2018-05-14,6956
2018-05-15,6956
2018-05-16,6956
2018-05-17,6956
2018-05-18,6801
2018-05-19,6801
2018-05-20,6801
2018-05-21,6801
