date_obj,Circular%20hide price
2017-11-19,64384
2017-11-20,64384
2017-11-21,64384
2017-11-22,64384
2017-11-23,64384
2017-11-24,64384
2017-11-25,64384
2017-11-26,64384
2017-11-27,64384
2017-11-28,64384
2017-11-29,64384
2017-11-30,64384
2017-12-01,64384
2017-12-02,64384
2017-12-03,64384
2017-12-04,64384
2017-12-05,64384
2017-12-06,64384
2017-12-07,64384
2017-12-08,64384
2017-12-09,64384
2017-12-10,64384
2017-12-11,64384
2017-12-12,64384
2017-12-13,64384
2017-12-14,64384
2017-12-15,64384
2017-12-16,64384
2017-12-17,64384
2017-12-18,64384
2017-12-19,64384
2017-12-20,64384
2017-12-21,64384
2017-12-22,64384
2017-12-23,64384
2017-12-24,64384
2017-12-25,64384
2017-12-26,64384
2017-12-27,64384
2017-12-28,64384
2017-12-29,64384
2017-12-30,64384
2017-12-31,64384
2018-01-01,64384
2018-01-02,64384
2018-01-03,64384
2018-01-04,64384
2018-01-05,64384
2018-01-06,64384
2018-01-07,64384
2018-01-08,64384
2018-01-09,64384
2018-01-10,64384
2018-01-11,64384
2018-01-12,64384
2018-01-13,64384
2018-01-14,64384
2018-01-15,64384
2018-01-16,64384
2018-01-17,64384
2018-01-18,64384
2018-01-19,64384
2018-01-20,64384
2018-01-21,64384
2018-01-22,64384
2018-01-23,64384
2018-01-24,64095
2018-01-25,64095
2018-01-26,64095
2018-01-27,64095
2018-01-28,64095
2018-01-29,64095
2018-01-30,64095
2018-01-31,64095
2018-02-01,64095
2018-02-02,64095
2018-02-03,64095
2018-02-04,64095
2018-02-05,64095
2018-02-06,64095
2018-02-07,64095
2018-02-08,64095
2018-02-09,64095
2018-02-10,64095
2018-02-11,64095
2018-02-12,64095
2018-02-13,64095
2018-02-14,64095
2018-02-15,64095
2018-02-16,64095
2018-02-17,64095
2018-02-18,64095
2018-02-19,64095
2018-02-20,64095
2018-02-21,64095
2018-02-22,64095
2018-02-23,64095
2018-02-24,64095
2018-02-25,64095
2018-02-26,64095
2018-02-27,64095
2018-02-28,64095
2018-03-01,64095
